dataset_id,condition,threshold_def,phase,time_s,hazard_probability,at_risk,events
ds004447,task,p75,early,0.0,0.0,1440,0
ds004447,task,p75,early,0.1,0.8868055555555555,1440,1277
ds004447,task,p75,early,0.2,0.950920245398773,163,155
ds004447,task,p75,early,0.3,0.25,8,2
ds004447,task,p75,early,0.4,0.6666666666666666,6,4
ds004447,task,p75,early,0.5,1.0,2,2
ds004447,task,p75,early,0.6,,0,0
ds004447,task,p75,late,0.0,0.0,1393,0
ds004447,task,p75,late,0.1,0.8994974874371859,1393,1253
ds004447,task,p75,late,0.2,0.9571428571428572,140,134
ds004447,task,p75,late,0.3,0.16666666666666666,6,1
ds004447,task,p75,late,0.4,0.8,5,4
ds004447,task,p75,late,0.5,1.0,1,1
ds004447,task,p75,late,0.6,,0,0
