model,term,n_subjects,coefficient,p_value,r_squared,status,control_metric,outcome_metric,n,spearman_rho,spearman_p
ols_mean_s1_dwell_time_s_change,const,22.0,0.0001569568213751582,0.950789724525608,0.2969218955369589,fit_success,,,,,
ols_mean_s1_dwell_time_s_change,high_beta_power_change,22.0,0.028324176194772906,0.02358662172606786,0.2969218955369589,fit_success,,,,,
ols_mean_s1_dwell_time_s_change,broadband_non_target_power_change,22.0,-0.0004943293823682217,0.6838414970202411,0.2969218955369589,fit_success,,,,,
ols_mean_s1_dwell_time_s_change,spectral_slope_change,22.0,0.0026085856684199757,0.8765769810557438,0.2969218955369589,fit_success,,,,,
ols_mean_s1_dwell_time_s_change,noise_floor_power_change,22.0,-0.022947569331629898,0.5053942838653918,0.2969218955369589,fit_success,,,,,
ols_long_high_beta_burst_fraction_change,const,22.0,-0.00245913159682808,0.8799801690824521,0.23966072734960076,fit_success,,,,,
ols_long_high_beta_burst_fraction_change,high_beta_power_change,22.0,0.13757352388394103,0.07641992558286334,0.23966072734960076,fit_success,,,,,
ols_long_high_beta_burst_fraction_change,broadband_non_target_power_change,22.0,0.004449684515849596,0.5678636657229175,0.23966072734960076,fit_success,,,,,
ols_long_high_beta_burst_fraction_change,spectral_slope_change,22.0,0.10897352352149325,0.31797146599569737,0.23966072734960076,fit_success,,,,,
ols_long_high_beta_burst_fraction_change,noise_floor_power_change,22.0,-0.3032420566183455,0.17817117835730134,0.23966072734960076,fit_success,,,,,
ols_s1_escape_rate_per_s_change,const,22.0,-0.009534881475888851,0.9558514539990787,0.2516927312068318,fit_success,,,,,
ols_s1_escape_rate_per_s_change,high_beta_power_change,22.0,-1.6295968233169833,0.049742999544940984,0.2516927312068318,fit_success,,,,,
ols_s1_escape_rate_per_s_change,broadband_non_target_power_change,22.0,0.03056222330735974,0.7099509375485094,0.2516927312068318,fit_success,,,,,
ols_s1_escape_rate_per_s_change,spectral_slope_change,22.0,-0.10280146562538531,0.9279699824976562,0.2516927312068318,fit_success,,,,,
ols_s1_escape_rate_per_s_change,noise_floor_power_change,22.0,0.901865533150473,0.6978482342337863,0.2516927312068318,fit_success,,,,,
,,,,,,computed,spectral_slope_change,high_beta_power,22.0,-0.08977978543195936,0.691125727099112
,,,,,,computed,spectral_slope_change,high_beta_residual_log10,22.0,-0.2207792207792208,0.3234691059087892
,,,,,,computed,spectral_slope_change,mean_s1_dwell_time_s,22.0,0.019762845849802372,0.9304384215377666
