dataset_id,condition,threshold_def,phase,time_s,survival_probability,n_episodes
ds004447,task,p75,early,0.0,1.0,1440
ds004447,task,p75,early,0.1,0.3138888888888889,1440
ds004447,task,p75,early,0.2,0.0375,1440
ds004447,task,p75,early,0.3,0.005555555555555556,1440
ds004447,task,p75,early,0.4,0.001388888888888889,1440
ds004447,task,p75,early,0.5,0.0,1440
ds004447,task,p75,early,0.6,0.0,1440
ds004447,task,p75,late,0.0,1.0,1393
ds004447,task,p75,late,0.1,0.3165829145728643,1393
ds004447,task,p75,late,0.2,0.033022254127781765,1393
ds004447,task,p75,late,0.3,0.004307250538406317,1393
ds004447,task,p75,late,0.4,0.0007178750897343862,1393
ds004447,task,p75,late,0.5,0.0007178750897343862,1393
ds004447,task,p75,late,0.6,0.0,1393
