dataset_id,subject,session,phase,condition,threshold_def,from_state,to_state,transition_count,transition_probability
ds004447,sub-001,ses-01,early,interval,p75,S0_clean_non_beta,S0_clean_non_beta,244,0.7746031746031746
ds004447,sub-001,ses-01,early,interval,p75,S0_clean_non_beta,S1_high_beta,39,0.12380952380952381
ds004447,sub-001,ses-01,early,interval,p75,S0_clean_non_beta,S2_broadband_artifact,32,0.10158730158730159
ds004447,sub-001,ses-01,early,interval,p75,S1_high_beta,S0_clean_non_beta,37,0.5441176470588235
ds004447,sub-001,ses-01,early,interval,p75,S1_high_beta,S1_high_beta,24,0.35294117647058826
ds004447,sub-001,ses-01,early,interval,p75,S1_high_beta,S2_broadband_artifact,7,0.10294117647058823
ds004447,sub-001,ses-01,early,interval,p75,S2_broadband_artifact,S0_clean_non_beta,32,0.367816091954023
ds004447,sub-001,ses-01,early,interval,p75,S2_broadband_artifact,S1_high_beta,6,0.06896551724137931
ds004447,sub-001,ses-01,early,interval,p75,S2_broadband_artifact,S2_broadband_artifact,49,0.5632183908045977
ds004447,sub-001,ses-01,early,interval,p80,S0_clean_non_beta,S0_clean_non_beta,260,0.8
ds004447,sub-001,ses-01,early,interval,p80,S0_clean_non_beta,S1_high_beta,33,0.10153846153846154
ds004447,sub-001,ses-01,early,interval,p80,S0_clean_non_beta,S2_broadband_artifact,32,0.09846153846153846
ds004447,sub-001,ses-01,early,interval,p80,S1_high_beta,S0_clean_non_beta,31,0.5344827586206896
ds004447,sub-001,ses-01,early,interval,p80,S1_high_beta,S1_high_beta,20,0.3448275862068966
ds004447,sub-001,ses-01,early,interval,p80,S1_high_beta,S2_broadband_artifact,7,0.1206896551724138
ds004447,sub-001,ses-01,early,interval,p80,S2_broadband_artifact,S0_clean_non_beta,33,0.3793103448275862
ds004447,sub-001,ses-01,early,interval,p80,S2_broadband_artifact,S1_high_beta,5,0.05747126436781609
ds004447,sub-001,ses-01,early,interval,p80,S2_broadband_artifact,S2_broadband_artifact,49,0.5632183908045977
