subject,session,condition,aperiodic_slope,aperiodic_intercept,aperiodic_r2,smr_residual_above_1f,hb_residual_above_1f
sub-004,ses-01,rest,-2.123330281049779,-10.424821597457832,0.9642881565379384,0.22289197797804405,0.019084788895108715
sub-004,ses-01,task,-2.2932555692283354,-10.159256363888863,0.9828913393151082,0.06489075282185351,-0.024208461630791222
sub-004,ses-08,rest,-2.122861602713672,-10.348632853886244,0.9411182949880343,0.14971495634218876,0.05302486679488413
sub-004,ses-08,task,-2.288387213484604,-10.130776686289803,0.9621921152022068,0.006654075371705413,-0.024869189623682526
sub-005,ses-01,rest,-1.5249084968525632,-10.777257986131316,0.9879710467204494,-0.27450106323666973,-0.14314238607317134
sub-005,ses-01,task,-1.753072013261266,-10.58351216579171,0.9914890035662708,-0.275407882236666,-0.1448343487940671
sub-005,ses-08,rest,-1.5588716142924315,-10.939690488806004,0.9893351613290159,-0.21190408157301077,0.0009133939595309718
sub-005,ses-08,task,-1.7373948492490823,-10.855883405007958,0.9882670592565034,-0.1775609481408435,-0.04893020759662825
sub-012,ses-01,rest,-1.3586234509366708,-10.914298247040339,0.9717963718807262,-0.43262486249071064,-0.26008159105187695
sub-012,ses-01,task,-1.5142636090033454,-10.922788229200002,0.9911655035921279,-0.28852343247423357,-0.18192323187646045
sub-012,ses-08,rest,-1.7099415294581108,-10.842411736295867,0.982097573756386,-0.25203233860038937,-0.13422068266759954
sub-012,ses-08,task,-1.7323776140712175,-10.881632717904683,0.9802539416585093,-0.19876871360176537,-0.1277310642503637
sub-013,ses-01,rest,-2.2956516844806836,-9.960515897377132,0.9928359354837087,-0.09462784750813978,-0.021339976993925393
sub-013,ses-01,task,-1.6704903778670956,-11.015708482928817,0.9629833606851333,0.18463003258391206,0.1407129126915358
sub-013,ses-08,rest,-2.119294492501018,-10.14042944888777,0.9888299038576075,0.011754772986299336,0.04924459110138756
sub-013,ses-08,task,-1.6339584025065228,-11.059932995280473,0.9399286048997318,0.2025294215079781,0.15678108593876214
sub-018,ses-01,rest,-2.052350010036926,-10.594116961301477,0.9781306014945682,0.013256567608310049,-0.03852479863392861
sub-018,ses-01,task,-2.0436044869771126,-10.604150952615802,0.9783704961226113,0.0015778822649978362,-0.024591539438740276
sub-018,ses-08,rest,-2.419397253569957,-9.91279066876034,0.9659587993012319,-0.15333061721248079,-0.12831149113132967
sub-018,ses-08,task,-1.9572684196330727,-10.738191026294796,0.8924331402876152,0.12317261604195086,-0.001092375822919929
