subject,session,phase,blocked_by_hb_single,blocked_by_bbnf_single,blocked_by_tr_single,blocked_by_ch_single,blocked_by_full
sub-001,ses-01,early,0.09090909090909091,0.6363636363636364,0.0,0.7272727272727273,1.0
sub-001,ses-19,late,0.14285714285714285,1.0,0.0,0.2857142857142857,1.0
sub-002,ses-01,early,0.4444444444444444,0.7777777777777778,0.1111111111111111,0.4444444444444444,1.0
sub-002,ses-19,late,0.14285714285714285,1.0,0.0,0.2857142857142857,1.0
sub-003,ses-01,early,0.6666666666666666,0.7777777777777778,0.0,0.7777777777777778,1.0
sub-003,ses-19,late,0.1875,0.6875,0.0,0.3125,1.0
sub-004,ses-01,early,0.4,0.4666666666666667,0.0,0.6,1.0
sub-004,ses-19,late,0.0,1.0,0.0,0.3333333333333333,1.0
sub-005,ses-01,early,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.5454545454545454,1.0
sub-005,ses-19,late,0.5714285714285714,0.7142857142857143,0.0,0.5714285714285714,1.0
sub-006,ses-01,early,0.0,0.0,0.0,1.0,1.0
sub-006,ses-19,late,0.16666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0
sub-007,ses-01,early,0.5,0.5,0.0,0.0,1.0
sub-007,ses-19,late,0.4,0.8,0.0,0.2,1.0
sub-008,ses-01,early,0.07692307692307693,0.9230769230769231,0.0,0.46153846153846156,1.0
sub-008,ses-19,late,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0
sub-009,ses-01,early,0.125,0.625,0.0,0.375,1.0
sub-009,ses-19,late,0.75,0.9166666666666666,0.0,0.75,1.0
sub-010,ses-01,early,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0
sub-010,ses-19,late,0.2727272727272727,0.5454545454545454,0.0,0.5909090909090909,1.0
sub-011,ses-01,early,0.42857142857142855,0.42857142857142855,0.0,0.7142857142857143,1.0
sub-011,ses-19,late,0.09523809523809523,0.6190476190476191,0.0,0.6190476190476191,1.0
sub-012,ses-01,early,0.1,0.7,0.3,0.8,1.0
sub-012,ses-19,late,0.09523809523809523,0.6190476190476191,0.0,0.6190476190476191,1.0
sub-013,ses-01,early,0.26666666666666666,0.5333333333333333,0.0,0.5333333333333333,1.0
sub-013,ses-20,late,0.29411764705882354,0.6470588235294118,0.0,0.29411764705882354,1.0
sub-014,ses-01,early,0.25,0.0,0.0,0.75,1.0
sub-014,ses-19,late,0.5882352941176471,0.5294117647058824,0.0,0.47058823529411764,1.0
sub-015,ses-01,early,0.4,0.4,0.0,0.6,1.0
sub-015,ses-19,late,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.16666666666666666,1.0
sub-016,ses-01,early,0.25,0.5,0.0,0.6666666666666666,1.0
sub-016,ses-18,late,0.5,0.7142857142857143,0.0,0.42857142857142855,1.0
sub-017,ses-01,early,0.5,0.5833333333333334,0.25,0.75,1.0
sub-017,ses-19,late,0.15,0.9,0.2,0.35,1.0
sub-018,ses-01,early,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.3333333333333333,1.0
sub-018,ses-19,late,1.0,1.0,0.0,0.0,1.0
sub-019,ses-01,early,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0
sub-019,ses-19,late,0.5,0.6428571428571429,0.0,0.5,1.0
sub-020,ses-01,early,0.16666666666666666,0.5,0.0,0.3333333333333333,1.0
sub-020,ses-19,late,0.2727272727272727,0.45454545454545453,0.0,0.5454545454545454,1.0
sub-021,ses-01,early,0.125,0.625,0.0,0.25,1.0
sub-021,ses-19,late,0.0,0.0,0.0,0.0,0.0
sub-022,ses-01,early,0.5,0.8,0.0,0.5,1.0
sub-022,ses-19,late,0.375,0.5,0.0,0.25,1.0
