subject,session,total_candidates,clean,multi_contaminated,high_beta_only,broadband_only,noise_floor_only,transient_only
sub-001,ses-01,19,0.5789473684210527,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.0,0.0
sub-001,ses-19,14,0.5,0.07142857142857142,0.0,0.42857142857142855,0.0,0.0
sub-002,ses-01,12,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.0,0.16666666666666666,0.0
sub-002,ses-19,14,0.5,0.07142857142857142,0.0,0.42857142857142855,0.0,0.0
sub-003,ses-01,29,0.7241379310344828,0.1724137931034483,0.034482758620689655,0.0,0.06896551724137931,0.0
sub-003,ses-19,30,0.5666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.1,0.0
sub-004,ses-01,32,0.65625,0.0625,0.125,0.09375,0.0625,0.0
sub-004,ses-19,14,0.7857142857142857,0.0,0.0,0.21428571428571427,0.0,0.0
sub-005,ses-01,18,0.4444444444444444,0.2777777777777778,0.0,0.1111111111111111,0.16666666666666666,0.0
sub-005,ses-19,18,0.6111111111111112,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.0
sub-006,ses-01,18,1.0,0.0,0.0,0.0,0.0,0.0
sub-006,ses-19,16,0.75,0.1875,0.0,0.0,0.0625,0.0
sub-007,ses-01,17,0.8823529411764706,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0
sub-007,ses-19,16,0.75,0.125,0.0,0.125,0.0,0.0
sub-008,ses-01,23,0.43478260869565216,0.0,0.043478260869565216,0.43478260869565216,0.08695652173913043,0.0
sub-008,ses-19,16,0.625,0.0625,0.0,0.3125,0.0,0.0
sub-009,ses-01,15,0.6666666666666666,0.13333333333333333,0.0,0.2,0.0,0.0
sub-009,ses-19,14,0.21428571428571427,0.7142857142857143,0.0,0.0,0.07142857142857142,0.0
sub-010,ses-01,19,0.8947368421052632,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0
sub-010,ses-19,39,0.6410256410256411,0.10256410256410256,0.05128205128205128,0.20512820512820512,0.0,0.0
sub-011,ses-01,19,0.7894736842105263,0.10526315789473684,0.05263157894736842,0.0,0.05263157894736842,0.0
sub-011,ses-19,38,0.6052631578947368,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.07894736842105263,0.0
sub-012,ses-01,22,0.6363636363636364,0.13636363636363635,0.0,0.18181818181818182,0.0,0.045454545454545456
sub-012,ses-19,38,0.6052631578947368,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.07894736842105263,0.0
sub-013,ses-01,33,0.6666666666666666,0.030303030303030304,0.09090909090909091,0.15151515151515152,0.06060606060606061,0.0
sub-013,ses-20,37,0.6216216216216216,0.08108108108108109,0.08108108108108109,0.16216216216216217,0.05405405405405406,0.0
sub-014,ses-01,13,0.9230769230769231,0.0,0.07692307692307693,0.0,0.0,0.0
sub-014,ses-19,29,0.4482758620689655,0.13793103448275862,0.2413793103448276,0.10344827586206896,0.06896551724137931,0.0
sub-015,ses-01,20,0.8,0.0,0.1,0.05,0.05,0.0
sub-015,ses-19,20,0.4,0.1,0.05,0.3,0.15,0.0
sub-016,ses-01,25,0.68,0.12,0.08,0.12,0.0,0.0
sub-016,ses-18,17,0.23529411764705882,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.0
sub-017,ses-01,14,0.35714285714285715,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142
sub-017,ses-19,28,0.32142857142857145,0.2857142857142857,0.03571428571428571,0.17857142857142858,0.17857142857142858,0.0
sub-018,ses-01,12,0.5,0.25,0.08333333333333333,0.0,0.16666666666666666,0.0
sub-018,ses-19,12,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0
sub-019,ses-01,12,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0
sub-019,ses-19,21,0.38095238095238093,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.0,0.0
sub-020,ses-01,18,0.7777777777777778,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0
sub-020,ses-19,24,0.7083333333333334,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
sub-021,ses-01,15,0.6,0.0,0.06666666666666667,0.3333333333333333,0.0,0.0
sub-021,ses-19,10,1.0,0.0,0.0,0.0,0.0,0.0
sub-022,ses-01,22,0.5909090909090909,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.0
sub-022,ses-19,13,0.46153846153846156,0.0,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.0
