subject,session,window_size,total_windows,task_windows,rest_windows
sub-001,ses-01,1.0,328,210,118
sub-001,ses-01,0.5,658,422,236
sub-001,ses-01,2.0,163,104,59
sub-001,ses-19,1.0,334,214,120
sub-001,ses-19,0.5,670,430,240
sub-001,ses-19,2.0,166,106,60
sub-002,ses-01,1.0,322,204,118
sub-002,ses-01,0.5,646,411,235
sub-002,ses-01,2.0,160,101,59
sub-002,ses-19,1.0,334,214,120
sub-002,ses-19,0.5,670,430,240
sub-002,ses-19,2.0,166,106,60
sub-003,ses-01,1.0,404,284,120
sub-003,ses-01,0.5,810,570,240
sub-003,ses-01,2.0,201,141,60
sub-003,ses-19,1.0,322,202,120
sub-003,ses-19,0.5,646,406,240
sub-003,ses-19,2.0,160,100,60
sub-004,ses-01,1.0,362,246,116
sub-004,ses-01,0.5,726,494,232
sub-004,ses-01,2.0,180,122,58
sub-004,ses-19,1.0,336,216,120
sub-004,ses-19,0.5,674,434,240
sub-004,ses-19,2.0,167,107,60
sub-005,ses-01,1.0,342,226,116
sub-005,ses-01,0.5,686,454,232
sub-005,ses-01,2.0,170,112,58
sub-005,ses-19,1.0,346,226,120
sub-005,ses-19,0.5,694,454,240
sub-005,ses-19,2.0,172,112,60
sub-006,ses-01,1.0,452,336,116
sub-006,ses-01,0.5,906,674,232
sub-006,ses-01,2.0,225,167,58
sub-006,ses-19,1.0,344,224,120
sub-006,ses-19,0.5,690,450,240
sub-006,ses-19,2.0,171,111,60
sub-007,ses-01,1.0,324,204,120
sub-007,ses-01,0.5,650,410,240
sub-007,ses-01,2.0,161,101,60
sub-007,ses-19,1.0,332,212,120
sub-007,ses-19,0.5,666,426,240
sub-007,ses-19,2.0,165,105,60
sub-008,ses-01,1.0,324,208,116
sub-008,ses-01,0.5,650,418,232
sub-008,ses-01,2.0,161,103,58
sub-008,ses-19,1.0,336,216,120
sub-008,ses-19,0.5,674,434,240
sub-008,ses-19,2.0,167,107,60
sub-009,ses-01,1.0,560,442,118
sub-009,ses-01,0.5,1122,886,236
sub-009,ses-01,2.0,279,220,59
sub-009,ses-19,1.0,344,224,120
sub-009,ses-19,0.5,690,450,240
sub-009,ses-19,2.0,171,111,60
sub-010,ses-01,1.0,404,288,116
sub-010,ses-01,0.5,810,578,232
sub-010,ses-01,2.0,201,143,58
sub-010,ses-19,1.0,384,264,120
sub-010,ses-19,0.5,770,530,240
sub-010,ses-19,2.0,191,131,60
sub-011,ses-01,1.0,324,208,116
sub-011,ses-01,0.5,650,418,232
sub-011,ses-01,2.0,161,103,58
sub-011,ses-19,1.0,316,196,120
sub-011,ses-19,0.5,634,394,240
sub-011,ses-19,2.0,157,97,60
sub-012,ses-01,1.0,340,224,116
sub-012,ses-01,0.5,682,450,232
sub-012,ses-01,2.0,169,111,58
sub-012,ses-19,1.0,316,196,120
sub-012,ses-19,0.5,634,394,240
sub-012,ses-19,2.0,157,97,60
sub-013,ses-01,1.0,340,224,116
sub-013,ses-01,0.5,682,450,232
sub-013,ses-01,2.0,169,111,58
sub-013,ses-20,1.0,326,206,120
sub-013,ses-20,0.5,654,414,240
sub-013,ses-20,2.0,162,102,60
sub-014,ses-01,1.0,336,220,116
sub-014,ses-01,0.5,674,442,232
sub-014,ses-01,2.0,167,109,58
sub-014,ses-19,1.0,332,212,120
sub-014,ses-19,0.5,666,426,240
sub-014,ses-19,2.0,165,105,60
sub-015,ses-01,1.0,328,212,116
sub-015,ses-01,0.5,658,426,232
sub-015,ses-01,2.0,163,105,58
sub-015,ses-19,1.0,326,206,120
sub-015,ses-19,0.5,654,414,240
sub-015,ses-19,2.0,162,102,60
sub-016,ses-01,1.0,334,218,116
sub-016,ses-01,0.5,670,438,232
sub-016,ses-01,2.0,166,108,58
sub-016,ses-18,1.0,336,216,120
sub-016,ses-18,0.5,674,434,240
sub-016,ses-18,2.0,167,107,60
sub-017,ses-01,1.0,340,224,116
sub-017,ses-01,0.5,682,450,232
sub-017,ses-01,2.0,169,111,58
sub-017,ses-19,1.0,328,208,120
sub-017,ses-19,0.5,658,418,240
sub-017,ses-19,2.0,163,103,60
sub-018,ses-01,1.0,324,208,116
sub-018,ses-01,0.5,650,418,232
sub-018,ses-01,2.0,161,103,58
sub-018,ses-19,1.0,400,280,120
sub-018,ses-19,0.5,802,562,240
sub-018,ses-19,2.0,199,139,60
sub-019,ses-01,1.0,384,268,116
sub-019,ses-01,0.5,770,541,229
sub-019,ses-01,2.0,191,133,58
sub-019,ses-19,1.0,334,214,120
sub-019,ses-19,0.5,670,430,240
sub-019,ses-19,2.0,166,106,60
sub-020,ses-01,1.0,382,262,120
sub-020,ses-01,0.5,766,526,240
sub-020,ses-01,2.0,190,130,60
sub-020,ses-19,1.0,332,212,120
sub-020,ses-19,0.5,666,426,240
sub-020,ses-19,2.0,165,105,60
sub-021,ses-01,1.0,336,216,120
sub-021,ses-01,0.5,674,434,240
sub-021,ses-01,2.0,167,107,60
sub-021,ses-19,1.0,340,220,120
sub-021,ses-19,0.5,682,442,240
sub-021,ses-19,2.0,169,109,60
sub-022,ses-01,1.0,324,204,120
sub-022,ses-01,0.5,650,410,240
sub-022,ses-01,2.0,161,101,60
sub-022,ses-19,1.0,334,214,120
sub-022,ses-19,0.5,670,430,240
sub-022,ses-19,2.0,166,106,60
