subject,total_windows,gate_A_admissible,gate_B_admissible,gate_C_admissible,gate_A_false_admissible,gate_B_false_admissible
sub-001,238,33,31,15,17,16
sub-002,238,26,21,10,15,11
sub-003,240,59,50,34,22,16
sub-004,236,46,40,28,16,12
sub-005,236,36,30,18,16,12
sub-006,236,34,33,24,10,9
sub-007,240,33,30,26,6,4
sub-008,236,39,38,17,21,21
sub-009,238,29,19,9,20,10
sub-010,236,58,51,33,23,18
sub-011,236,57,52,29,26,23
sub-012,236,60,57,29,29,28
sub-013,236,70,61,38,29,23
sub-014,236,42,31,21,14,10
sub-015,236,40,37,23,16,14
sub-016,236,42,32,16,22,16
sub-017,236,42,33,10,32,23
sub-018,236,24,19,17,6,2
sub-019,236,33,25,16,14,9
sub-020,240,42,38,25,16,13
sub-021,240,25,24,17,7,7
sub-022,240,35,27,17,14,10
