epsilon,K_beta,sigma_y,seed,p_adm_to_viol,p_viol_to_adm
0.02,0.0,0.05,42,0.038461538461538464,0.0
0.02,0.0,0.05,77,0.038461538461538464,0.0
0.02,0.0,0.05,123,0.038461538461538464,0.0
0.02,0.0,0.15,42,0.038461538461538464,0.0
0.02,0.0,0.15,77,0.038461538461538464,0.0
0.02,0.0,0.15,123,0.038461538461538464,0.0
0.02,0.0,0.3,42,0.037037037037037035,0.0
0.02,0.0,0.3,77,0.038461538461538464,0.0
0.02,0.0,0.3,123,0.038461538461538464,0.0
0.02,0.5,0.05,42,0.037037037037037035,0.0
0.02,0.5,0.05,77,0.038461538461538464,0.0
0.02,0.5,0.05,123,0.038461538461538464,0.0
0.02,0.5,0.15,42,0.037037037037037035,0.0
0.02,0.5,0.15,77,0.038461538461538464,0.0
0.02,0.5,0.15,123,0.038461538461538464,0.0
0.02,0.5,0.3,42,0.037037037037037035,0.0
0.02,0.5,0.3,77,0.038461538461538464,0.0
0.02,0.5,0.3,123,0.038461538461538464,0.0
0.02,1.5,0.05,42,0.037037037037037035,0.0
0.02,1.5,0.05,77,0.038461538461538464,0.0
0.02,1.5,0.05,123,0.038461538461538464,0.0
0.02,1.5,0.15,42,0.037037037037037035,0.0
0.02,1.5,0.15,77,0.037037037037037035,0.0
0.02,1.5,0.15,123,0.038461538461538464,0.0
0.02,1.5,0.3,42,0.037037037037037035,0.0
0.02,1.5,0.3,77,0.037037037037037035,0.0
0.02,1.5,0.3,123,0.038461538461538464,0.0
0.02,3.0,0.05,42,0.037037037037037035,0.0
0.02,3.0,0.05,77,0.038461538461538464,0.0
0.02,3.0,0.05,123,0.038461538461538464,0.0
0.02,3.0,0.15,42,0.037037037037037035,0.0
0.02,3.0,0.15,77,0.038461538461538464,0.0
0.02,3.0,0.15,123,0.038461538461538464,0.0
0.02,3.0,0.3,42,0.037037037037037035,0.0
0.02,3.0,0.3,77,0.037037037037037035,0.0
0.02,3.0,0.3,123,0.038461538461538464,0.0
0.02,5.0,0.05,42,0.037037037037037035,0.0
0.02,5.0,0.05,77,0.038461538461538464,0.0
0.02,5.0,0.05,123,0.038461538461538464,0.0
0.02,5.0,0.15,42,0.037037037037037035,0.0
0.02,5.0,0.15,77,0.038461538461538464,0.0
0.02,5.0,0.15,123,0.038461538461538464,0.0
0.02,5.0,0.3,42,0.037037037037037035,0.0
0.02,5.0,0.3,77,0.037037037037037035,0.0
0.02,5.0,0.3,123,0.037037037037037035,0.0
0.1,0.0,0.05,42,0.038461538461538464,0.0
0.1,0.0,0.05,77,0.038461538461538464,0.0
0.1,0.0,0.05,123,0.038461538461538464,0.0
0.1,0.0,0.15,42,0.038461538461538464,0.0
0.1,0.0,0.15,77,0.038461538461538464,0.0
0.1,0.0,0.15,123,0.038461538461538464,0.0
0.1,0.0,0.3,42,0.038461538461538464,0.0
0.1,0.0,0.3,77,0.038461538461538464,0.0
0.1,0.0,0.3,123,0.038461538461538464,0.0
0.1,0.5,0.05,42,0.038461538461538464,0.0
0.1,0.5,0.05,77,0.038461538461538464,0.0
0.1,0.5,0.05,123,0.038461538461538464,0.0
0.1,0.5,0.15,42,0.038461538461538464,0.0
0.1,0.5,0.15,77,0.038461538461538464,0.0
0.1,0.5,0.15,123,0.038461538461538464,0.0
0.1,0.5,0.3,42,0.038461538461538464,0.0
0.1,0.5,0.3,77,0.038461538461538464,0.0
0.1,0.5,0.3,123,0.038461538461538464,0.0
0.1,1.5,0.05,42,0.038461538461538464,0.0
0.1,1.5,0.05,77,0.038461538461538464,0.0
0.1,1.5,0.05,123,0.038461538461538464,0.0
0.1,1.5,0.15,42,0.038461538461538464,0.0
0.1,1.5,0.15,77,0.038461538461538464,0.0
0.1,1.5,0.15,123,0.038461538461538464,0.0
0.1,1.5,0.3,42,0.038461538461538464,0.0
0.1,1.5,0.3,77,0.038461538461538464,0.0
0.1,1.5,0.3,123,0.038461538461538464,0.0
0.1,3.0,0.05,42,0.037037037037037035,0.0
0.1,3.0,0.05,77,0.038461538461538464,0.0
0.1,3.0,0.05,123,0.038461538461538464,0.0
0.1,3.0,0.15,42,0.038461538461538464,0.0
0.1,3.0,0.15,77,0.038461538461538464,0.0
0.1,3.0,0.15,123,0.038461538461538464,0.0
0.1,3.0,0.3,42,0.038461538461538464,0.0
0.1,3.0,0.3,77,0.038461538461538464,0.0
0.1,3.0,0.3,123,0.038461538461538464,0.0
0.1,5.0,0.05,42,0.037037037037037035,0.0
0.1,5.0,0.05,77,0.038461538461538464,0.0
0.1,5.0,0.05,123,0.038461538461538464,0.0
0.1,5.0,0.15,42,0.037037037037037035,0.0
0.1,5.0,0.15,77,0.038461538461538464,0.0
0.1,5.0,0.15,123,0.038461538461538464,0.0
0.1,5.0,0.3,42,0.037037037037037035,0.0
0.1,5.0,0.3,77,0.038461538461538464,0.0
0.1,5.0,0.3,123,0.038461538461538464,0.0
0.5,0.0,0.05,42,0.037037037037037035,0.0
0.5,0.0,0.05,77,0.038461538461538464,0.0
0.5,0.0,0.05,123,0.038461538461538464,0.0
0.5,0.0,0.15,42,0.037037037037037035,0.0
0.5,0.0,0.15,77,0.038461538461538464,0.0
0.5,0.0,0.15,123,0.038461538461538464,0.0
0.5,0.0,0.3,42,0.038461538461538464,0.0
0.5,0.0,0.3,77,0.038461538461538464,0.0
0.5,0.0,0.3,123,0.038461538461538464,0.0
0.5,0.5,0.05,42,0.037037037037037035,0.0
0.5,0.5,0.05,77,0.038461538461538464,0.0
0.5,0.5,0.05,123,0.038461538461538464,0.0
0.5,0.5,0.15,42,0.037037037037037035,0.0
0.5,0.5,0.15,77,0.038461538461538464,0.0
0.5,0.5,0.15,123,0.038461538461538464,0.0
0.5,0.5,0.3,42,0.038461538461538464,0.0
0.5,0.5,0.3,77,0.038461538461538464,0.0
0.5,0.5,0.3,123,0.038461538461538464,0.0
0.5,1.5,0.05,42,0.037037037037037035,0.0
0.5,1.5,0.05,77,0.038461538461538464,0.0
0.5,1.5,0.05,123,0.038461538461538464,0.0
0.5,1.5,0.15,42,0.037037037037037035,0.0
0.5,1.5,0.15,77,0.038461538461538464,0.0
0.5,1.5,0.15,123,0.038461538461538464,0.0
0.5,1.5,0.3,42,0.038461538461538464,0.0
0.5,1.5,0.3,77,0.038461538461538464,0.0
0.5,1.5,0.3,123,0.038461538461538464,0.0
0.5,3.0,0.05,42,0.037037037037037035,0.0
0.5,3.0,0.05,77,0.038461538461538464,0.0
0.5,3.0,0.05,123,0.038461538461538464,0.0
0.5,3.0,0.15,42,0.037037037037037035,0.0
0.5,3.0,0.15,77,0.038461538461538464,0.0
0.5,3.0,0.15,123,0.038461538461538464,0.0
0.5,3.0,0.3,42,0.038461538461538464,0.0
0.5,3.0,0.3,77,0.038461538461538464,0.0
0.5,3.0,0.3,123,0.038461538461538464,0.0
0.5,5.0,0.05,42,0.037037037037037035,0.0
0.5,5.0,0.05,77,0.038461538461538464,0.0
0.5,5.0,0.05,123,0.038461538461538464,0.0
0.5,5.0,0.15,42,0.037037037037037035,0.0
0.5,5.0,0.15,77,0.038461538461538464,0.0
0.5,5.0,0.15,123,0.038461538461538464,0.0
0.5,5.0,0.3,42,0.038461538461538464,0.0
0.5,5.0,0.3,77,0.038461538461538464,0.0
0.5,5.0,0.3,123,0.038461538461538464,0.0
