subject,session,condition,threshold,outcome,n_blocks,n_violation_blocks,violation_rate,outcome_rate,n_viol_outcome,n_viol_no_outcome,n_noviol_outcome,n_noviol_no_outcome,odds_ratio,phi,fisher_p,perm_p,chi2_p,fisher_p_fdr,bonferroni_p,sig_uncorrected,sig_fdr,sig_bonferroni
sub-004,ses-01,rest,viol_p75,smr_increase,39,10,0.2564102564102564,0.5384615384615384,4,6,17,12,0.47058823529411764,-0.1630980846658687,0.4645685613427548,0.198,0.5152153080626902,0.6920415224913494,1.0,False,False,False
sub-004,ses-01,rest,viol_p75,admissible_next,39,10,0.2564102564102564,0.358974358974359,9,1,5,24,43.2,0.6622918857059334,8.030101408709219e-05,0.0,0.00017419229645065064,0.004015050704354609,0.016060202817418438,True,True,True
sub-004,ses-01,rest,viol_p80,smr_increase,39,8,0.20512820512820512,0.5384615384615384,4,4,17,14,0.8235294117647058,-0.03919309008348103,1.0,0.814,1.0,1.0,1.0,False,False,False
sub-004,ses-01,rest,viol_p80,admissible_next,39,8,0.20512820512820512,0.358974358974359,8,0,6,25,inf,0.6788442333021306,4.8810420327448196e-05,0.0,0.00013022048237922466,0.00325402802182988,0.009762084065489639,True,True,True
sub-004,ses-01,rest,viol_p90,smr_increase,39,4,0.10256410256410256,0.5384615384615384,2,2,19,16,0.8421052631578947,-0.026082026547865053,1.0,0.873,1.0,1.0,1.0,False,False,False
sub-004,ses-01,rest,viol_p90,admissible_next,39,4,0.10256410256410256,0.358974358974359,4,0,10,25,inf,0.45175395145262565,0.012170064801643747,0.0,0.023142859939425962,0.07375796849481059,1.0,True,False,False
sub-004,ses-01,rest,viol_zscore,smr_increase,39,2,0.05128205128205128,0.5384615384615384,0,2,21,16,0.0,-0.2511236011669613,0.2064777327935223,0.044,0.4008283771967889,0.40886679761093525,1.0,False,False,False
sub-004,ses-01,rest,viol_zscore,admissible_next,39,2,0.05128205128205128,0.358974358974359,2,0,12,25,inf,0.3106848830006,0.12280701754385966,0.014,0.23659593694505268,0.27403604563079853,1.0,False,False,False
sub-004,ses-01,rest,viol_mad,smr_increase,39,6,0.15384615384615385,0.5384615384615384,3,3,18,15,0.8333333333333334,-0.03289758474798845,1.0,0.869,1.0,1.0,1.0,False,False,False
sub-004,ses-01,rest,viol_mad,admissible_next,39,6,0.15384615384615385,0.358974358974359,6,0,8,25,inf,0.5698028822981897,0.0009204250690318801,0.0,0.0019626712504040747,0.018900018900018897,0.18408501380637604,True,True,False
sub-004,ses-01,task,viol_p75,smr_increase,34,8,0.23529411764705882,0.5294117647058824,2,6,16,10,0.20833333333333334,-0.3105172139687914,0.1099875282300199,0.031,0.15984119524850232,0.2528448924828044,1.0,False,False,False
sub-004,ses-01,task,viol_p75,admissible_next,34,8,0.23529411764705882,0.5,8,0,9,17,inf,0.5547001962252291,0.0026778725332674167,0.0,0.004652961906319801,0.03347340666584271,0.5355745066534834,True,True,False
sub-004,ses-01,task,viol_p80,smr_increase,34,6,0.17647058823529413,0.5294117647058824,2,4,16,12,0.375,-0.181848241863327,0.3871978966528466,0.242,0.5420603547845925,0.6097604671698372,1.0,False,False,False
sub-004,ses-01,task,viol_p80,admissible_next,34,6,0.17647058823529413,0.5,6,0,11,17,inf,0.4629100498862757,0.018404287592274245,0.0,0.024490966408266823,0.10516735767013854,1.0,True,False,False
sub-004,ses-01,task,viol_p90,smr_increase,34,4,0.11764705882352941,0.5294117647058824,1,3,17,13,0.2549019607843137,-0.20440745438316923,0.3225806451612903,0.145,0.5101038021029247,0.5288207297726071,1.0,False,False,False
sub-004,ses-01,task,viol_p90,admissible_next,34,4,0.11764705882352941,0.5,4,0,13,17,inf,0.3651483716701107,0.1026392961876833,0.005,0.11029425524455441,0.2528448924828044,1.0,False,False,False
sub-004,ses-01,task,viol_zscore,smr_increase,34,1,0.029411764705882353,0.5294117647058824,0,1,18,15,0.0,-0.1846372364689991,0.47058823529411764,0.236,0.9523055962194339,0.6920415224913494,1.0,False,False,False
sub-004,ses-01,task,viol_zscore,admissible_next,34,1,0.029411764705882353,0.5,1,0,16,17,inf,0.17407765595569785,1.0,0.519,1.0,1.0,1.0,False,False,False
sub-004,ses-01,task,viol_mad,smr_increase,34,3,0.08823529411764706,0.5294117647058824,1,2,17,14,0.4117647058823529,-0.12220592918446108,0.5909090909090908,0.385,0.9148789961775305,0.790759402805678,1.0,False,False,False
sub-004,ses-01,task,viol_mad,admissible_next,34,3,0.08823529411764706,0.5,3,0,14,17,inf,0.3110855084191276,0.22727272727272727,0.023,0.22655410519961655,0.4274840638477,1.0,False,False,False
sub-004,ses-08,rest,viol_p75,smr_increase,39,10,0.2564102564102564,0.48717948717948717,5,5,14,15,1.0714285714285714,0.01506188082821945,1.0,0.97,1.0,1.0,1.0,False,False,False
sub-004,ses-08,rest,viol_p75,admissible_next,39,10,0.2564102564102564,0.5384615384615384,8,2,13,16,4.923076923076923,0.30807415992441867,0.07397833204284818,0.012,0.11968103486752094,0.20668441721073305,1.0,False,False,False
sub-004,ses-08,rest,viol_p80,smr_increase,39,8,0.20512820512820512,0.48717948717948717,4,4,15,16,1.0666666666666667,0.013029938101426072,1.0,0.995,1.0,1.0,1.0,False,False,False
sub-004,ses-08,rest,viol_p80,admissible_next,39,8,0.20512820512820512,0.5384615384615384,6,2,15,16,3.2,0.21556199545914564,0.24721224721224716,0.122,0.3429014432521643,0.4454274724544994,1.0,False,False,False
sub-004,ses-08,rest,viol_p90,smr_increase,39,4,0.10256410256410256,0.48717948717948717,1,3,18,17,0.3148148148148148,-0.1604153443619622,0.6049896049896051,0.365,0.6356273782910724,0.790759402805678,1.0,False,False,False
sub-004,ses-08,rest,viol_p90,admissible_next,39,4,0.10256410256410256,0.5384615384615384,3,1,18,17,2.8333333333333335,0.14345114601325779,0.6093664514717148,0.397,0.7140032347880836,0.790759402805678,1.0,False,False,False
sub-004,ses-08,rest,viol_zscore,smr_increase,39,4,0.10256410256410256,0.48717948717948717,1,3,18,17,0.3148148148148148,-0.1604153443619622,0.6049896049896051,0.344,0.6356273782910724,0.790759402805678,1.0,False,False,False
sub-004,ses-08,rest,viol_zscore,admissible_next,39,4,0.10256410256410256,0.5384615384615384,3,1,18,17,2.8333333333333335,0.14345114601325779,0.6093664514717148,0.421,0.7140032347880836,0.790759402805678,1.0,False,False,False
sub-004,ses-08,rest,viol_mad,smr_increase,39,6,0.15384615384615385,0.48717948717948717,2,4,17,16,0.47058823529411764,-0.13124359177794215,0.6614196614196614,0.327,0.7071716723608317,0.84257281709511,1.0,False,False,False
sub-004,ses-08,rest,viol_mad,admissible_next,39,6,0.15384615384615385,0.5384615384615384,5,1,16,17,5.3125,0.25221481640124477,0.18973629499945288,0.085,0.2584975338389247,0.391208855668975,1.0,False,False,False
sub-004,ses-08,task,viol_p75,smr_increase,34,8,0.23529411764705882,0.4117647058823529,1,7,13,13,0.14285714285714285,-0.3232093527642505,0.10208427929097955,0.023,0.1405171162482221,0.2528448924828044,1.0,False,False,False
