threshold,outcome,phi_mean,phi_std,phi_count,fisher_p_mean,fisher_p_std,fisher_p_count,violation_rate_mean,violation_rate_std,violation_rate_count
viol_mad,admissible_next,0.3716028659135369,0.15664325053782296,20,0.16248054415401303,0.27619032445139813,20,0.17447209653092005,0.057757593910115056,20
viol_mad,smr_increase,-0.13001406861575948,0.15818487608097762,20,0.5506193994598185,0.34306704988334086,20,0.17447209653092005,0.057757593910115056,20
viol_p75,admissible_next,0.47410771568856286,0.11959047981747786,20,0.02605543894463127,0.03412848497920591,20,0.25486425339366514,0.011306857506198352,20
viol_p75,smr_increase,-0.13713175065425093,0.16112743672288962,20,0.5729844020557903,0.3954466501773982,20,0.25486425339366514,0.011306857506198352,20
viol_p80,admissible_next,0.42122111747318797,0.13702700157425668,20,0.07066371978474392,0.11172053896654306,20,0.20256410256410257,0.008931244635864307,20
viol_p80,smr_increase,-0.1481508188866787,0.1565820002749477,20,0.6021722059110469,0.3995704380269567,20,0.20256410256410257,0.008931244635864307,20
viol_p90,admissible_next,0.31444576346966346,0.1062245385580242,20,0.18287449035913533,0.25925551358895227,20,0.110105580693816,0.00773739330380961,20
viol_p90,smr_increase,-0.16640199057696384,0.15425378317115904,20,0.44344098443144686,0.28795045313440265,20,0.110105580693816,0.00773739330380961,20
viol_zscore,admissible_next,0.2596893411301308,0.08981326209831503,20,0.3662479638179978,0.3613972032711073,20,0.07062594268476621,0.02821049248138785,20
viol_zscore,smr_increase,-0.13326859098286403,0.1685319651182063,20,0.5053565110678363,0.3294738090545002,20,0.07062594268476621,0.02821049248138785,20
