regime,t,x_smr,y_beta
R1_stabilization_only,0.0,0.0,0.3
R1_stabilization_only,0.01,7.094341595088627e-05,0.0
R1_stabilization_only,0.02,0.000231032945678,0.0705778254373164
R1_stabilization_only,0.03,-0.0001491764023822,0.0
R1_stabilization_only,0.04,-0.0001136068299847,0.0
R1_stabilization_only,0.05,-0.0001069659254172,0.0
R1_stabilization_only,0.06,7.891473921453702e-05,0.0583343951571711
R1_stabilization_only,0.07,0.0001021200895793,0.0
R1_stabilization_only,0.08,0.0002056209368289,0.0
R1_stabilization_only,0.09,0.000289369037436,0.0
R1_stabilization_only,0.1,0.0004750562040071,0.0
R1_stabilization_only,0.11,0.000448078980736,0.0
R1_stabilization_only,0.12,0.000702582767681,0.0
R1_stabilization_only,0.13,0.0006269101774207,0.0
R1_stabilization_only,0.14,0.0007433657454296,0.0277217599160162
R1_stabilization_only,0.15,0.0008359048340913,0.0
R1_stabilization_only,0.16,0.0012742259952171,0.0
R1_stabilization_only,0.17,0.0011817647071428,0.0
R1_stabilization_only,0.18,0.0013149487740108,0.0852638043076382
R1_stabilization_only,0.19,0.0013021461329921,0.0
R1_stabilization_only,0.2,0.0011472368683925,0.0494455321533486
R1_stabilization_only,0.21,0.0013058762302645,0.0
R1_stabilization_only,0.22,0.0011827612300445,0.0180650373451362
R1_stabilization_only,0.23,0.0012160865642603,0.0
R1_stabilization_only,0.24,0.0014003601589843,0.0173777094402313
R1_stabilization_only,0.25,0.0015461288679971,0.0
R1_stabilization_only,0.26,0.0016139372864464,0.0481196813718891
R1_stabilization_only,0.27,0.0013324899831024,0.0
R1_stabilization_only,0.28,0.0012484021273441,0.0
R1_stabilization_only,0.29,0.0012033611930774,0.1127447994062517
R1_stabilization_only,0.3,0.0010401829363269,0.0
R1_stabilization_only,0.31,0.0007135985801743,0.0
R1_stabilization_only,0.32,0.0007561420572095,0.044323474142033
R1_stabilization_only,0.33,0.0009083798117475,0.0
R1_stabilization_only,0.34,0.0008486257134997,0.0
R1_stabilization_only,0.35,0.001030212403494,0.0
R1_stabilization_only,0.36,0.0007850648367024,0.0
R1_stabilization_only,0.37,0.0006111665288537,0.0376795882223835
R1_stabilization_only,0.38,0.0006496455644025,0.0
R1_stabilization_only,0.39,0.0005741885386796,0.0122152996129548
R1_stabilization_only,0.4,0.0007093008755877,0.0
R1_stabilization_only,0.41,0.0008106488300904,0.0
R1_stabilization_only,0.42,0.0007480299542891,0.0
R1_stabilization_only,0.43,0.0005188545448717,0.0368969510360632
R1_stabilization_only,0.44,0.0004349688882857,0.0
R1_stabilization_only,0.45,0.000541113870378,0.0337073226463887
R1_stabilization_only,0.46,0.0006841854810339,0.0
R1_stabilization_only,0.47,0.0006095189767703,0.0
R1_stabilization_only,0.48,0.0002820459947889,0.0
R1_stabilization_only,0.49,2.750325185810545e-05,0.0
R1_stabilization_only,0.5,0.0001174578221702,0.0
R1_stabilization_only,0.51,5.182413678417456e-05,0.09750085124504
R1_stabilization_only,0.52,-9.42917566947847e-06,0.0
R1_stabilization_only,0.53,-0.0001861526173796,0.0
R1_stabilization_only,0.54,-0.0003661551668356,0.0
R1_stabilization_only,0.55,-0.0001880898777924,0.0
R1_stabilization_only,0.56,-9.120326818454274e-05,0.0178301701749208
R1_stabilization_only,0.5700000000000001,-0.0002000323472912,0.0
R1_stabilization_only,0.58,-0.0001756044454249,0.0
R1_stabilization_only,0.59,-0.0001190674471095,0.0016389109142582
R1_stabilization_only,0.6,0.000211289521829,0.0
R1_stabilization_only,0.61,1.6587910409485032e-05,0.0135513173826382
R1_stabilization_only,0.62,7.058708132473397e-05,0.0816203860242801
R1_stabilization_only,0.63,0.0002476086246368,0.0
R1_stabilization_only,0.64,0.0005502667267945,0.0
R1_stabilization_only,0.65,0.0004323109175772,0.0
R1_stabilization_only,0.66,0.0003643446338369,0.0
R1_stabilization_only,0.67,0.0005013711797534,0.0
R1_stabilization_only,0.68,0.0002172049071411,0.0
R1_stabilization_only,0.6900000000000001,0.0002899055045821,0.0629680950456491
R1_stabilization_only,0.7000000000000001,0.0006992487838654,0.124232495134367
R1_stabilization_only,0.71,0.0007921236780328,0.0
R1_stabilization_only,0.72,0.0003757065006497,0.020474421514804
R1_stabilization_only,0.73,0.0002231145245226,0.0
R1_stabilization_only,0.74,0.0001106929335654,0.0
R1_stabilization_only,0.75,0.0003338878727936,0.0118339890251835
R1_stabilization_only,0.76,0.0003121575665072,0.0
R1_stabilization_only,0.77,-1.2782144009321152e-05,0.0
R1_stabilization_only,0.78,-1.3538526351545158e-05,0.1325947435184912
R1_stabilization_only,0.79,2.251651332829553e-05,0.0
R1_stabilization_only,0.8,-6.734283154466816e-05,0.0
R1_stabilization_only,0.81,-0.0002503655105628,0.0
R1_stabilization_only,0.8200000000000001,0.0001853309395793,0.0
R1_stabilization_only,0.8300000000000001,0.0003630269270171,0.0
R1_stabilization_only,0.84,0.0005593378993227,0.0290528359214483
R1_stabilization_only,0.85,0.0005380047264121,0.0
R1_stabilization_only,0.86,0.000417041807279,0.0337244174743621
R1_stabilization_only,0.87,0.0003360409407927,0.0
R1_stabilization_only,0.88,9.045006551944908e-05,0.0131121142995553
R1_stabilization_only,0.89,0.0004162674123008,0.0
R1_stabilization_only,0.9,0.0004025355844047,0.0216450941763411
R1_stabilization_only,0.91,0.0006737319073903,0.0
R1_stabilization_only,0.92,0.0006015397239044,0.0833085192081868
R1_stabilization_only,0.93,0.0006972849961995,0.0
R1_stabilization_only,0.94,0.0007439249107939,0.0
R1_stabilization_only,0.95,0.0004802856316957,0.1241915573727407
R1_stabilization_only,0.96,0.000835013972996,0.0
R1_stabilization_only,0.97,0.0007683681586291,0.1100258289046632
R1_stabilization_only,0.98,0.0005569513385388,0.0
R1_stabilization_only,0.99,0.0006956111279632,0.0
R1_stabilization_only,1.0,0.000704579798508,0.0
R1_stabilization_only,1.01,0.0007820876624698,0.1059134294977827
R1_stabilization_only,1.02,0.0008101968229735,0.0
R1_stabilization_only,1.03,0.000410154300799,0.0
R1_stabilization_only,1.04,0.0002515041451975,0.0
R1_stabilization_only,1.05,8.587115677031082e-05,0.0
R1_stabilization_only,1.06,0.0002790508065299,0.0
R1_stabilization_only,1.07,0.0002951743145407,0.0
R1_stabilization_only,1.08,0.0002396367439252,0.0753544240551156
R1_stabilization_only,1.09,0.0003572574349585,0.0
R1_stabilization_only,1.1,0.0003363527265342,0.0
R1_stabilization_only,1.11,0.0003015775996308,0.0183554357086087
R1_stabilization_only,1.12,0.0003468892555456,0.0
R1_stabilization_only,1.13,0.0003749837429786,0.0172905693881906
R1_stabilization_only,1.14,0.0008884748006479,0.1150149836353285
R1_stabilization_only,1.15,0.0007278172457882,0.0
R1_stabilization_only,1.16,0.0004451215672483,0.0
R1_stabilization_only,1.17,0.0005182381167507,0.0906615823502417
R1_stabilization_only,1.18,0.0003824161668208,0.0
R1_stabilization_only,1.19,-3.704546328852498e-05,0.0
R1_stabilization_only,1.2,-0.0002395279752058,0.0
R1_stabilization_only,1.21,-0.0004048977355595,0.0
R1_stabilization_only,1.22,-0.0007464393648535,0.0
R1_stabilization_only,1.23,-0.0003105824780542,0.0
R1_stabilization_only,1.24,-0.0005199364879203,0.1377685146240985
R1_stabilization_only,1.25,7.108214529258036e-05,0.0
R1_stabilization_only,1.26,7.431643113521317e-06,0.0256522073931845
R1_stabilization_only,1.27,0.0003631710976782,0.0
R1_stabilization_only,1.28,0.0003241118967788,0.0584819037534699
R1_stabilization_only,1.29,0.0004210618705531,0.0
R1_stabilization_only,1.3,0.0004042930670312,0.0
R1_stabilization_only,1.31,0.0003666542753056,0.0
R1_stabilization_only,1.32,0.0004230845866881,0.0
R1_stabilization_only,1.33,0.0005273880603513,0.0761652286298312
R1_stabilization_only,1.34,0.0005684686520043,0.0
R1_stabilization_only,1.35,0.0005890940368334,0.0002905638078582
R1_stabilization_only,1.36,0.0004547765391845,0.0235957709321274
R1_stabilization_only,1.37,0.0004453146717364,0.1218213550411957
R1_stabilization_only,1.38,0.0007699811990847,0.0
R1_stabilization_only,1.39,0.0006273620573338,0.0
R1_stabilization_only,1.4,0.000875584374331,0.0200198729147022
R1_stabilization_only,1.41,0.0009816042991655,0.0
R1_stabilization_only,1.42,0.0011770821794342,0.03457232751566
R1_stabilization_only,1.43,0.0009649842717295,0.0
R1_stabilization_only,1.44,0.0010277180627581,0.004417502012583
R1_stabilization_only,1.45,0.0009792735484167,0.0
R1_stabilization_only,1.46,0.0009388682800399,0.0119318251818935
R1_stabilization_only,1.47,0.0012431572859557,0.0
R1_stabilization_only,1.48,0.0012057748014809,0.0138600102459114
R1_stabilization_only,1.49,0.0012749615416703,0.0
R1_stabilization_only,1.5,0.0009336044355592,0.0252371420493934
R1_stabilization_only,1.51,0.0012890651423477,0.0
R1_stabilization_only,1.52,0.0014718178544359,0.0
R1_stabilization_only,1.53,0.0014695382670916,0.0
R1_stabilization_only,1.54,0.0014126323372377,0.0982381137359676
R1_stabilization_only,1.55,0.0015391492593119,0.0
R1_stabilization_only,1.56,0.0017846162456148,0.0337010755493741
R1_stabilization_only,1.57,0.0021433853046859,0.0
R1_stabilization_only,1.58,0.0023189615061923,0.0
R1_stabilization_only,1.59,0.0023422474797491,0.0
R1_stabilization_only,1.6,0.0025501408441933,0.0
R1_stabilization_only,1.61,0.0027165854112683,0.0
R1_stabilization_only,1.62,0.0029608076641077,0.0576734668604786
R1_stabilization_only,1.63,0.0033349072875604,0.0
R1_stabilization_only,1.64,0.0030304658873569,0.0
R1_stabilization_only,1.65,0.0028060341441791,0.0
R1_stabilization_only,1.66,0.003118251770493,0.0492180528894167
R1_stabilization_only,1.67,0.0029884345022595,0.0
R1_stabilization_only,1.68,0.0030049610364897,0.0
R1_stabilization_only,1.69,0.0028807029314001,0.0249031908845881
R1_stabilization_only,1.7,0.0031217365315921,0.0097426755556507
R1_stabilization_only,1.71,0.0026734474125071,0.0097743596095894
R1_stabilization_only,1.72,0.0026978273926795,0.0177169556948214
R1_stabilization_only,1.73,0.0030310423507358,0.0
R1_stabilization_only,1.74,0.0029227913552741,0.0458334953848695
R1_stabilization_only,1.75,0.0026164432474698,0.0434073312043459
R1_stabilization_only,1.76,0.0027000884055774,0.0
R1_stabilization_only,1.77,0.002595872672389,0.0623823209502545
R1_stabilization_only,1.78,0.0028195410248601,0.0
R1_stabilization_only,1.79,0.0028763930079896,0.0216855134585595
R1_stabilization_only,1.8,0.0027136951911116,0.0
R1_stabilization_only,1.81,0.0026931635476693,0.0301113874220679
R1_stabilization_only,1.82,0.0029031014654158,0.0
R1_stabilization_only,1.83,0.0028880706283373,0.1125607168071309
R1_stabilization_only,1.84,0.0027493241018685,0.0
R1_stabilization_only,1.85,0.0027997578469937,0.0647035513373332
R1_stabilization_only,1.86,0.0028120150605274,0.0040165962002712
R1_stabilization_only,1.87,0.0029933457368901,0.0585176182466115
R1_stabilization_only,1.88,0.0031141391036975,0.0882942280244841
R1_stabilization_only,1.89,0.0030830756245333,0.0
R1_stabilization_only,1.9,0.0034138956660804,0.0
R1_stabilization_only,1.91,0.0034454376159924,0.0999232491975797
R1_stabilization_only,1.92,0.0031349512534044,0.0
R1_stabilization_only,1.93,0.0028246643164681,0.0
R1_stabilization_only,1.94,0.0029225633910284,0.0407264203691919
R1_stabilization_only,1.95,0.0029877890012602,0.0
R1_stabilization_only,1.96,0.0025357384360436,0.0055704134049087
R1_stabilization_only,1.97,0.0024513578719316,0.0273661819894045
R1_stabilization_only,1.98,0.0026017240835971,0.0
R1_stabilization_only,1.99,0.0027637246834315,0.0184917151004287
R1_stabilization_only,2.0,0.0028797099873049,0.0
R1_stabilization_only,2.01,0.0028537589074388,0.0161980622429242
R1_stabilization_only,2.02,0.0030278360649332,0.0
R1_stabilization_only,2.03,0.003142039237719,0.0
R1_stabilization_only,2.04,0.0031284993838609,0.0637849477706649
R1_stabilization_only,2.05,0.0027398560246563,0.0
R1_stabilization_only,2.06,0.0024533915466075,0.0
R1_stabilization_only,2.07,0.002327714124661,0.0574342382528842
R1_stabilization_only,2.08,0.0022807140342432,0.0
R1_stabilization_only,2.09,0.002508534726445,0.1007168169371985
R1_stabilization_only,2.1,0.0025046820541525,0.0
R1_stabilization_only,2.11,0.0025330823390188,0.0
R1_stabilization_only,2.12,0.0024241769377557,0.0
R1_stabilization_only,2.13,0.0022565259252396,0.0
R1_stabilization_only,2.14,0.002427220363856,0.1301860003000685
R1_stabilization_only,2.15,0.002160759788577,0.0
R1_stabilization_only,2.16,0.0019626293931476,0.0366826615290286
R1_stabilization_only,2.17,0.0019463924367161,0.0
R1_stabilization_only,2.18,0.0021420323711054,0.0
R1_stabilization_only,2.19,0.002045230903107,0.0
R1_stabilization_only,2.2,0.0019243537954605,0.0331143985036723
R1_stabilization_only,2.21,0.0018964856837352,0.0
R1_stabilization_only,2.22,0.0019788510896642,0.0999978670064801
R1_stabilization_only,2.23,0.0019202740709804,0.0
R1_stabilization_only,2.24,0.0021436993515541,0.0
R1_stabilization_only,2.25,0.002376596403476,0.0298251331644623
R1_stabilization_only,2.26,0.0023603451314713,0.0
R1_stabilization_only,2.27,0.0027605240400453,0.1569537122447671
R1_stabilization_only,2.28,0.0027843726618314,0.0
R1_stabilization_only,2.29,0.0030095928495981,0.0
R1_stabilization_only,2.3000000000000003,0.0030861768281933,0.0
R1_stabilization_only,2.31,0.0031589276087165,0.0
R1_stabilization_only,2.32,0.0028509825207786,0.0
R1_stabilization_only,2.33,0.0026374771883555,0.0
R1_stabilization_only,2.34,0.0025888124962538,0.1466110757763915
R1_stabilization_only,2.35,0.0028199852821103,0.0
R1_stabilization_only,2.36,0.0028994987727477,0.0
R1_stabilization_only,2.37,0.002852597010152,0.0153491730925275
R1_stabilization_only,2.38,0.0029864027075769,0.0
R1_stabilization_only,2.39,0.0032091431500967,0.0
R1_stabilization_only,2.4,0.0032203788711377,0.1964301010697358
