coupling_type,epsilon,feedback_gain,smr_change_frac,beta_change_frac,burst_rate_change_frac,smr_change_sd,beta_change_sd,n_reps,directional_valid,smr_contaminated,directional_failure,failure_label
symmetric_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,False,True,weak beta suppression
symmetric_linear,0.0,0.1,8.687238714893035e-07,-0.22190583548965268,-0.20994152046783623,9.725608171528387e-07,0.020301011752364213,3,True,False,False,valid
symmetric_linear,0.0,0.2,1.6575038609379e-06,-0.44065813412247984,-0.19415204678362571,1.948314146593941e-06,0.04224651848356511,3,True,False,False,valid
symmetric_linear,0.0,0.3,2.3011042767893493e-06,-0.650245714840594,-0.26900584795321636,2.913543946325853e-06,0.06471566582443188,3,True,False,False,valid
symmetric_linear,0.0,0.4,2.7013323992581987e-06,-0.8269240396934316,-0.3242690058479532,3.5324849788723656e-06,0.0757713924596744,3,True,False,False,valid
symmetric_linear,0.03,0.0,0.0,0.0,0.0,0.0,0.0,3,False,False,True,weak beta suppression
symmetric_linear,0.03,0.1,1.811780767528342e-08,-0.2219009182413925,-0.2313090418353576,1.0241970849699962e-06,0.020300868257106926,3,True,False,False,valid
symmetric_linear,0.03,0.2,-1.3025781571900147e-08,-0.4406501534232777,-0.21551956815114712,2.0578577314738716e-06,0.042247736950821076,3,True,False,False,valid
symmetric_linear,0.03,0.3,-1.1309397672171786e-07,-0.6502384860109104,-0.28609986504723345,3.0891660402066477e-06,0.06472191692046884,3,True,False,False,valid
symmetric_linear,0.03,0.4,-2.0146227637622202e-07,-0.8269202032286657,-0.34777327935222674,3.7744526264642612e-06,0.07578695974436221,3,True,False,False,valid
symmetric_linear,0.06,0.0,0.0,0.0,0.0,0.0,0.0,3,False,False,True,weak beta suppression
symmetric_linear,0.06,0.1,-7.610996440793138e-07,-0.2218995917588467,-0.2313090418353576,1.0820910096908368e-06,0.020299757232723915,3,True,False,False,valid
symmetric_linear,0.06,0.2,-1.54085702265279e-06,-0.4406490383807991,-0.21551956815114712,2.180598842249547e-06,0.04224730192310751,3,True,False,False,valid
symmetric_linear,0.06,0.3,-2.3138726649794428e-06,-0.6502405201306557,-0.28609986504723345,3.285086851647203e-06,0.06472623476496107,3,True,False,False,valid
symmetric_linear,0.06,0.4,-2.822976265558303e-06,-0.8269244547179612,-0.34777327935222674,4.037179540096405e-06,0.0758002504372665,3,True,False,False,valid
symmetric_linear,0.09,0.0,0.0,0.0,0.0,0.0,0.0,3,False,False,True,weak beta suppression
symmetric_linear,0.09,0.1,-1.4689376438268351e-06,-0.22190186265044468,-0.2313090418353576,1.145914562438455e-06,0.020297687767797355,3,True,False,False,valid
symmetric_linear,0.09,0.2,-2.9259956738561816e-06,-0.4406548026937421,-0.21551956815114712,2.3157045346411873e-06,0.04224523186779797,3,True,False,False,valid
symmetric_linear,0.09,0.3,-4.301206532053167e-06,-0.6502518385870507,-0.28609986504723345,3.4998607900405017e-06,0.06472864663071204,3,True,False,False,valid
symmetric_linear,0.09,0.4,-5.1630782600741705e-06,-0.8269368136494553,-0.34777327935222674,4.319737642985464e-06,0.07581128838821148,3,True,False,False,valid
symmetric_linear,0.12,0.0,0.0,0.0,0.0,0.0,0.0,3,False,False,True,weak beta suppression
symmetric_linear,0.12,0.1,-2.1054029035084847e-06,-0.22190774158332136,-0.20566801619433198,1.2153461952775547e-06,0.020294670736937387,3,True,False,False,valid
symmetric_linear,0.12,0.2,-4.168442103793598e-06,-0.4406674679740467,-0.21551956815114712,2.4623865480514283e-06,0.042241549040397335,3,True,False,False,valid
symmetric_linear,0.12,0.3,-6.075059807490057e-06,-0.6502724736186866,-0.28609986504723345,3.7321687044687552e-06,0.06472918554767171,3,True,False,False,valid
symmetric_linear,0.12,0.4,-7.221617987813644e-06,-0.8269573081662198,-0.34777327935222674,4.621304676956811e-06,0.07582010224338101,3,True,False,False,valid
