condition,time_s,signal,smr_amplitude,beta_amplitude,frequency_hz,psd
baseline,0.0,0.9072355123959734,0.5755603420792382,0.3970956697295254,,
baseline,0.03125,-0.6560451431700656,0.5844168416276132,0.4007642107598509,,
baseline,0.0625,-0.07067959911066718,0.5934476764590872,0.4111246580071045,,
baseline,0.09375,-0.0814144637081837,0.6031563212601262,0.4249854478411413,,
baseline,0.125,0.05409841059157744,0.6092277618234445,0.42203648145171574,,
baseline,0.15625,0.802941001633288,0.6086887141318233,0.4256064237520139,,
baseline,0.1875,-0.9043878559321203,0.6006873356851329,0.4419333312852052,,
baseline,0.21875,0.032427567482400665,0.601258955938702,0.4599217952618782,,
baseline,0.25,0.07886878137899278,0.6017674517182985,0.46216731710661,,
baseline,0.28125,0.21006197605612648,0.6159180053919626,0.47362303425982,,
baseline,0.3125,0.5129703244560588,0.6383670191477379,0.4725730254130858,,
baseline,0.34375,-1.1004628089818398,0.6385030653707473,0.4690703480337583,,
baseline,0.375,0.3628398232663574,0.6475119209359304,0.47171642474996167,,
baseline,0.40625,0.15043744125007455,0.6435561881379599,0.47645643180938607,,
baseline,0.4375,0.22643455669323836,0.660365617402974,0.49351878718908154,,
baseline,0.46875,0.1604337747066623,0.6562810486324123,0.5193764727173764,,
baseline,0.5,-1.123704556222193,0.6565376370949846,0.5251241077440061,,
baseline,0.53125,0.7429396779133379,0.6638173892599806,0.523787801088469,,
baseline,0.5625,0.13405169912865855,0.6571303427640854,0.5212893761178912,,
baseline,0.59375,0.11136232219139508,0.6574413458952706,0.5321487915105944,,
baseline,0.625,-0.14696321429361958,0.6608561601804772,0.533251742054519,,
baseline,0.65625,-0.9165666299911102,0.6781655619113113,0.5433072767425543,,
baseline,0.6875,1.0582318504747752,0.6726513616163406,0.5442050040385052,,
baseline,0.71875,-0.045133582725596866,0.6668272016257435,0.557593788164942,,
baseline,0.75,-0.0571262426306933,0.6635644177204887,0.5622429524045001,,
baseline,0.78125,-0.34617707463348546,0.6599981095022256,0.5733891475010868,,
baseline,0.8125,-0.5330360230782132,0.6548878885318905,0.566414540102588,,
baseline,0.84375,1.2255411364224522,0.6633548167442371,0.5759606184873097,,
baseline,0.875,-0.3188131647312159,0.6680578973516235,0.5811316226072604,,
baseline,0.90625,-0.17896135584639566,0.6548969867771509,0.5666349990233048,,
baseline,0.9375,-0.32689421033101546,0.660478536964931,0.5851039615763007,,
baseline,0.96875,-0.14174315996549153,0.6601518961278163,0.5901414623557196,,
baseline,1.0,1.204501305091437,0.6566663185593559,0.602915416139888,,
baseline,1.03125,-0.7025845456515071,0.6491128795193581,0.6068314892528351,,
baseline,1.0625,-0.2245753334892992,0.6499585357437809,0.6012794854901335,,
baseline,1.09375,-0.15038271445510568,0.6518392060508276,0.6083341081784773,,
baseline,1.125,0.18777415558247168,0.6518509172469473,0.606259454861421,,
baseline,1.15625,0.9417156226120096,0.6559219135091905,0.5863193672335171,,
baseline,1.1875,-1.0431950521674287,0.6642163568819777,0.5743572172702897,,
baseline,1.21875,-0.03035542047359474,0.654739694271464,0.5767165061447939,,
baseline,1.25,0.07606834896948875,0.6540432070520956,0.5626720593931852,,
baseline,1.28125,0.3338679323156136,0.6633312842596486,0.586748962536721,,
baseline,1.3125,0.5818644283743042,0.6752079245224254,0.5825821738906571,,
baseline,1.34375,-1.2390537577678162,0.6654078951022424,0.5942362814598069,,
baseline,1.375,0.3140687434157091,0.6778490871545684,0.598266933728315,,
baseline,1.40625,0.21020988074236807,0.6729130752179284,0.6041645691948866,,
baseline,1.4375,0.360581188068158,0.6854392708530047,0.6343583938373893,,
baseline,1.46875,0.15394174393523674,0.6929353248281773,0.6456503911263561,,
baseline,1.5,-1.274179507151076,0.6839999659809151,0.639777450415212,,
baseline,1.53125,0.7243358384902036,0.6836261850008972,0.6512716577613897,,
baseline,1.5625,0.26572113603258685,0.6835404672003764,0.6412002446738275,,
baseline,1.59375,0.14360040474814856,0.684770918465206,0.6546172676066082,,
baseline,1.625,-0.20429375465115507,0.6970345495277719,0.6534287145803459,,
baseline,1.65625,-1.0390055621531353,0.70120631975493,0.656954224661623,,
baseline,1.6875,1.1218731712636716,0.7008482116274242,0.6572043539744468,,
baseline,1.71875,0.07290232276828823,0.7128719767130962,0.6635335499136884,,
baseline,1.75,-0.0637785577667638,0.700814803719632,0.6717759667296447,,
baseline,1.78125,-0.4253825046206816,0.6955632151041339,0.6916407189997454,,
baseline,1.8125,-0.6676474632420071,0.7091764165920121,0.6871169454723974,,
baseline,1.84375,1.3809116134677992,0.7098006362073547,0.7011511202413251,,
baseline,1.875,-0.2782289247164037,0.7227496688413889,0.6936479333213239,,
baseline,1.90625,-0.24651311597570008,0.7215842608398912,0.6832730562335537,,
baseline,1.9375,-0.3928559444823046,0.7306043702532735,0.6916308741147424,,
baseline,1.96875,-0.17393734511116016,0.7352032061313342,0.6864621091506524,,
baseline,2.0,1.3409807683033188,0.7237659634295693,0.6717961311109,,
baseline,2.03125,-0.7659894471405805,0.7252408560932494,0.6713719503123605,,
baseline,2.0625,-0.26181980531001253,0.7271996633096112,0.6810775806057199,,
baseline,2.09375,-0.21001032944480666,0.7254287276724986,0.6785481329433627,,
baseline,2.125,0.20295706539876235,0.7369904856725988,0.6738830766859838,,
baseline,2.15625,1.0702813397236945,0.7270229345239951,0.664483747506007,,
baseline,2.1875,-1.1698636673496232,0.7385378176815505,0.6713566163977501,,
baseline,2.21875,-0.04084577545913981,0.7310338129381612,0.6688569352638409,,
baseline,2.25,0.013273687705415843,0.7394489994543424,0.6708659542938538,,
baseline,2.28125,0.4099863353523432,0.7362036406959583,0.6590890427684571,,
baseline,2.3125,0.6718564263828575,0.7443310168853782,0.653826325845163,,
baseline,2.34375,-1.367200869471338,0.7496185493870685,0.6566671806270716,,
baseline,2.375,0.2913675103206649,0.7424170630064719,0.6547955473846748,,
baseline,2.40625,0.16164258090453537,0.7481554968678434,0.6681868076377934,,
baseline,2.4375,0.4154877967657577,0.7464426432678588,0.6409424911910262,,
baseline,2.46875,0.25561531312621416,0.7514709771530369,0.6524557160552849,,
baseline,2.5,-1.3609387708123721,0.7548093582215905,0.6429975498984393,,
baseline,2.53125,0.7163987548471983,0.7411468638413453,0.658545122927089,,
baseline,2.5625,0.1924081025496469,0.7437582965720411,0.6385628302346036,,
baseline,2.59375,0.2513244835441648,0.7555118216711705,0.6382214212287598,,
baseline,2.625,-0.13490005603833227,0.7552491547477814,0.6353625239227538,,
baseline,2.65625,-1.1179643121720875,0.7554439792304319,0.6191550406267471,,
baseline,2.6875,1.091299934505093,0.7436009070293411,0.6266881778593175,,
baseline,2.71875,0.006648406219450953,0.7497346651924297,0.636097216187149,,
baseline,2.75,0.10857033850430131,0.7501311751593631,0.6370570850620844,,
baseline,2.78125,-0.4180847873969275,0.7528647455691098,0.6290543054559717,,
baseline,2.8125,-0.7037318258163094,0.7367822729276223,0.623260976718015,,
baseline,2.84375,1.2955925583941141,0.7365652981116528,0.6231953283931391,,
baseline,2.875,-0.2885220152482798,0.726882519160871,0.6059546771787068,,
baseline,2.90625,-0.02651142155059316,0.7315344412685642,0.6085425313598752,,
baseline,2.9375,-0.49705859890681314,0.7254107520058133,0.6195881075619432,,
baseline,2.96875,-0.23026069722857523,0.7192264752221217,0.6083332196745754,,
baseline,3.0,1.2809301398119066,0.7265310728399638,0.5972758733609128,,
baseline,3.03125,-0.6874032346437547,0.7242146652121816,0.5890538177573513,,
baseline,3.0625,-0.08521744221486832,0.728588245703423,0.5732658319028943,,
baseline,3.09375,-0.32133018928521984,0.7366691217864916,0.5842470865803374,,
baseline,3.125,0.17193996447725945,0.7376267704605872,0.5906055466399439,,
baseline,3.15625,1.0319115765262366,0.7339723833413401,0.5964020902352662,,
baseline,3.1875,-1.0753169148996706,0.7411844084540526,0.6155110022092337,,
baseline,3.21875,0.03756715453502257,0.7471559412629923,0.6096689020443969,,
baseline,3.25,-0.16836440458864646,0.7496788060219663,0.6296882763565592,,
baseline,3.28125,0.4541990201923824,0.7436211997160036,0.6171154919052453,,
baseline,3.3125,0.6672399678338371,0.7516821580335309,0.6125201408885712,,
baseline,3.34375,-1.316896179580244,0.762241049146236,0.6217728368393179,,
baseline,3.375,0.3395391407060194,0.7569255019785502,0.6198163546351857,,
baseline,3.40625,-0.0014070321913260408,0.7552909967228041,0.6208302312414622,,
baseline,3.4375,0.5352105239960956,0.7605688644761037,0.6359852658497718,,
baseline,3.46875,0.19208807707517123,0.7459190663108148,0.6541394897531448,,
baseline,3.5,-1.3189813383214224,0.7422257676394483,0.6427539651241101,,
baseline,3.53125,0.6984398894056643,0.7453217460368455,0.6359359335226455,,
baseline,3.5625,0.07048990070346117,0.7675582657334978,0.6287730490498177,,
baseline,3.59375,0.4061685248033519,0.7715083192236459,0.6405119839527853,,
baseline,3.625,-0.22116443557165028,0.7639114903979523,0.634408857743884,,
baseline,3.65625,-1.0946401827816805,0.7567560097432519,0.6306863635946348,,
baseline,3.6875,1.088543862657276,0.758937913277743,0.6369296608449605,,
baseline,3.71875,-0.023818300448338103,0.7545133178478753,0.6402499442007958,,
baseline,3.75,0.14634685423352328,0.7636936717712722,0.6378446983879812,,
baseline,3.78125,-0.45361986653076497,0.7614483158393339,0.6372003523227282,,
baseline,3.8125,-0.6827640999887425,0.7555381592164402,0.6440343694495331,,
