wp,grid,coupling_type,epsilon,feedback_gain,seed,smr_power,beta_power,broadband_4_45_power,high_freq_35_55_power,smr_env_mean,beta_env_mean,beta_env_std,burst_threshold,burst_rate_per_min,burst_duration_s,burst_occupancy,n_bursts,ar1_tau_s,acf_efold_s
WP1,reduced,none,0.0,0.0,1,0.27762869491823283,0.2225391323127182,0.5002487655397778,8.539274301584772e-06,0.7366917875939194,0.6619644737346189,0.050947730989336595,0.7001120368932886,30.0,0.3971354166666667,0.2001953125,12,0.46246046791357925,1.0546875
WP1,reduced,none,0.0,0.0,2,0.2677333511996704,0.24151064815966855,0.5093295864909254,8.566442614187013e-06,0.7211182892366746,0.6857349988572757,0.0479385706262346,0.7231485705205328,47.5,0.2520559210526316,0.2001953125,19,0.4948337685871393,0.703125
WP1,reduced,none,0.0,0.0,3,0.2604344946648687,0.22007127275292804,0.4806049902562526,7.969929237476648e-06,0.7121971832800035,0.6490168414459534,0.08058725703703476,0.7024459253189204,25.0,0.475,0.2001953125,10,0.7616502676010891,1.4296875
WP1,reduced,none,0.0,0.1,1,0.2776286243328215,0.17174261044146466,0.44945215137768957,8.533984852793357e-06,0.7366589564399639,0.5813670930523028,0.054336442990971894,0.6237173007611935,25.0,0.47890625,0.2001953125,10,0.6717175746399257,1.78125
WP1,reduced,none,0.0,0.1,2,0.2677337316891868,0.1934046052096731,0.4612239120814742,8.561806056421374e-06,0.7210502879714026,0.6124261673249772,0.04946668772378242,0.6532580613548304,35.0,0.34207589285714285,0.2001953125,14,0.7283137681485897,0.7890625
WP1,reduced,none,0.0,0.1,3,0.2604348694990071,0.16763475981623704,0.4281688272670977,7.963014922187673e-06,0.7121467897577126,0.5641119514265518,0.08607524417065378,0.622701185539429,20.0,0.58203125,0.2001953125,8,1.1467348626181109,1.7890625
WP1,reduced,none,0.0,0.2,1,0.27762853093319545,0.12151677175528848,0.3992261983775983,8.528880027199496e-06,0.7366283066160157,0.489433163800145,0.05731018301768644,0.5341286292022217,25.0,0.47578125,0.2001953125,10,1.0308695927193179,2.1328125
WP1,reduced,none,0.0,0.2,2,0.267734076548549,0.14650921374644196,0.4143288540937444,8.557412395374534e-06,0.7209875440757904,0.5319548231930415,0.05127090976033272,0.5773570271857279,32.5,0.36899038461538464,0.2001953125,13,1.209117323879564,0.9296875
WP1,reduced,none,0.0,0.2,3,0.26043523793280543,0.11561272135296718,0.3761471305632214,7.956290849296927e-06,0.712105791174176,0.46585059398794515,0.08940042736867497,0.5327806476230925,22.5,0.5338541666666666,0.2001953125,9,1.7881972779383926,2.3671875
WP1,reduced,none,0.0,0.3,1,0.27762840185834026,0.07335323970283399,0.3510625184755707,8.524382955393662e-06,0.7365993501385212,0.3816298924408386,0.05882047942847712,0.4239411651899633,20.0,0.59765625,0.2001953125,8,1.7285597064648934,1.9921875
WP1,reduced,none,0.0,0.3,2,0.2677343642815665,0.10195224791499816,0.36977216618502007,8.553501005138983e-06,0.7209295045883519,0.4426251519765025,0.05504115887941325,0.49460089150924097,25.0,0.48046875,0.2001953125,10,2.638767572680877,1.2578125
WP1,reduced,none,0.0,0.3,3,0.2604355819720607,0.06547108073533595,0.3260058084865666,7.95016900381961e-06,0.7120747578114152,0.34755239236373675,0.08764298560507865,0.42380701833420625,25.0,0.47890625,0.2001953125,10,2.9537705036626773,3.09375
WP1,reduced,none,0.0,0.4,1,0.2776283145154092,0.032502711209764015,0.3102118898457856,8.521489382669295e-06,0.7365744744255593,0.25678754608869814,0.05658841354114832,0.29533441833757806,27.5,0.4346590909090909,0.2001953125,11,3.3795278035965124,1.2578125
WP1,reduced,none,0.0,0.4,2,0.26773456236354415,0.062467704931095276,0.3302878151709923,8.550599740026919e-06,0.7208752359948907,0.3445173782462385,0.06313454784351989,0.40250887713340877,10.0,1.201171875,0.2001953125,4,10.57245118315503,2.09375
WP1,reduced,none,0.0,0.4,3,0.26043578392333094,0.025202546080210834,0.2857374616397864,7.946752774516016e-06,0.7120647875368956,0.21314189412135068,0.07443295225903573,0.2918413523264479,22.5,0.5338541666666666,0.2001953125,9,5.224817884111852,2.203125
WP1,reduced,symmetric_linear,0.0,0.0,1,0.27762869491823283,0.2225391323127182,0.5002487655397778,8.539274301584772e-06,0.7366917875939194,0.6619644737346189,0.050947730989336595,0.7001120368932886,30.0,0.3971354166666667,0.2001953125,12,0.46246046791357925,1.0546875
WP1,reduced,symmetric_linear,0.0,0.0,2,0.2677333511996704,0.24151064815966855,0.5093295864909254,8.566442614187013e-06,0.7211182892366746,0.6857349988572757,0.0479385706262346,0.7231485705205328,47.5,0.2520559210526316,0.2001953125,19,0.4948337685871393,0.703125
WP1,reduced,symmetric_linear,0.0,0.0,3,0.2604344946648687,0.22007127275292804,0.4806049902562526,7.969929237476648e-06,0.7121971832800035,0.6490168414459534,0.08058725703703476,0.7024459253189204,25.0,0.475,0.2001953125,10,0.7616502676010891,1.4296875
WP1,reduced,symmetric_linear,0.0,0.1,1,0.2776286243328215,0.17174261044146466,0.44945215137768957,8.533984852793357e-06,0.7366589564399639,0.5813670930523028,0.054336442990971894,0.6237173007611935,25.0,0.47890625,0.2001953125,10,0.6717175746399257,1.78125
WP1,reduced,symmetric_linear,0.0,0.1,2,0.2677337316891868,0.1934046052096731,0.4612239120814742,8.561806056421374e-06,0.7210502879714026,0.6124261673249772,0.04946668772378242,0.6532580613548304,35.0,0.34207589285714285,0.2001953125,14,0.7283137681485897,0.7890625
WP1,reduced,symmetric_linear,0.0,0.1,3,0.2604348694990071,0.16763475981623704,0.4281688272670977,7.963014922187673e-06,0.7121467897577126,0.5641119514265518,0.08607524417065378,0.622701185539429,20.0,0.58203125,0.2001953125,8,1.1467348626181109,1.7890625
WP1,reduced,symmetric_linear,0.0,0.2,1,0.27762853093319545,0.12151677175528848,0.3992261983775983,8.528880027199496e-06,0.7366283066160157,0.489433163800145,0.05731018301768644,0.5341286292022217,25.0,0.47578125,0.2001953125,10,1.0308695927193179,2.1328125
WP1,reduced,symmetric_linear,0.0,0.2,2,0.267734076548549,0.14650921374644196,0.4143288540937444,8.557412395374534e-06,0.7209875440757904,0.5319548231930415,0.05127090976033272,0.5773570271857279,32.5,0.36899038461538464,0.2001953125,13,1.209117323879564,0.9296875
WP1,reduced,symmetric_linear,0.0,0.2,3,0.26043523793280543,0.11561272135296718,0.3761471305632214,7.956290849296927e-06,0.712105791174176,0.46585059398794515,0.08940042736867497,0.5327806476230925,22.5,0.5338541666666666,0.2001953125,9,1.7881972779383926,2.3671875
WP1,reduced,symmetric_linear,0.0,0.3,1,0.27762840185834026,0.07335323970283399,0.3510625184755707,8.524382955393662e-06,0.7365993501385212,0.3816298924408386,0.05882047942847712,0.4239411651899633,20.0,0.59765625,0.2001953125,8,1.7285597064648934,1.9921875
WP1,reduced,symmetric_linear,0.0,0.3,2,0.2677343642815665,0.10195224791499816,0.36977216618502007,8.553501005138983e-06,0.7209295045883519,0.4426251519765025,0.05504115887941325,0.49460089150924097,25.0,0.48046875,0.2001953125,10,2.638767572680877,1.2578125
WP1,reduced,symmetric_linear,0.0,0.3,3,0.2604355819720607,0.06547108073533595,0.3260058084865666,7.95016900381961e-06,0.7120747578114152,0.34755239236373675,0.08764298560507865,0.42380701833420625,25.0,0.47890625,0.2001953125,10,2.9537705036626773,3.09375
WP1,reduced,symmetric_linear,0.0,0.4,1,0.2776283145154092,0.032502711209764015,0.3102118898457856,8.521489382669295e-06,0.7365744744255593,0.25678754608869814,0.05658841354114832,0.29533441833757806,27.5,0.4346590909090909,0.2001953125,11,3.3795278035965124,1.2578125
