coupling_type,epsilon,feedback_gain,dP_beta_dk_mean,dP_smr_dk_abs_mean,beta_derivative_negative_rate,smr_bound_hold_rate,bound_c,n_reps
asymmetric_fast_to_smr,0.0,0.0,-2.220999908289491,1.0421281152842946e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.0,0.08,-2.2110580131590307,1.0294335124190942e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.0,0.16,-2.1784188758602805,1.0104965364909901e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.0,0.24,-2.0993043090938595,9.483623423752382e-06,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.0,0.32,-1.879356418078921,7.276827976336146e-06,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.0,0.4,-1.7158258516621137,5.628950739318867e-06,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.03,0.0,-2.2209998460743408,1.1138743551131203e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.03,0.08,-2.2110579883128136,1.1019490547603539e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.03,0.16,-2.1784189079570546,1.0852016541385012e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.03,0.24,-2.0993043642040985,1.0231491876252127e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.03,0.32,-1.879356514079434,7.912119799631986e-06,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.03,0.4,-1.7158259851134938,6.165051385601896e-06,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.06,0.0,-2.2209997839446007,1.2305576961117263e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.06,0.08,-2.2110579635566285,1.2181290478530116e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.06,0.16,-2.1784189401286587,1.2027354093409789e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.06,0.24,-2.0993044193274604,1.1392390809087752e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.06,0.32,-1.8793566100540937,8.91509785579577e-06,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.06,0.4,-1.7158261185419255,7.0339459826151965e-06,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.1,0.0,-2.2209997011997897,1.7408036066350146e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.1,0.08,-2.2110579306588067,1.7078231263845112e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.1,0.16,-2.1784189831273575,1.62191533581435e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.1,0.24,-2.0993044928477773,1.4555468849171879e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.1,0.32,-1.879356737993873,1.1700075227179715e-05,1.0,1.0,3.0,3
asymmetric_fast_to_smr,0.1,0.4,-1.7158262964290831,9.979093011184638e-06,1.0,1.0,3.0,3
none,0.0,0.0,-2.220999908289491,1.0421281152842946e-05,1.0,1.0,3.0,3
none,0.0,0.08,-2.2110580131590307,1.0294335124190942e-05,1.0,1.0,3.0,3
none,0.0,0.16,-2.1784188758602805,1.0104965364909901e-05,1.0,1.0,3.0,3
none,0.0,0.24,-2.0993043090938595,9.483623423752382e-06,1.0,1.0,3.0,3
none,0.0,0.32,-1.879356418078921,7.276827976336146e-06,1.0,1.0,3.0,3
none,0.0,0.4,-1.7158258516621137,5.628950739318867e-06,1.0,1.0,3.0,3
symmetric_amplitude,0.0,0.0,-2.220999908289491,1.0421281152842946e-05,1.0,1.0,3.0,3
symmetric_amplitude,0.0,0.08,-2.2110580131590307,1.0294335124190942e-05,1.0,1.0,3.0,3
symmetric_amplitude,0.0,0.16,-2.1784188758602805,1.0104965364909901e-05,1.0,1.0,3.0,3
symmetric_amplitude,0.0,0.24,-2.0993043090938595,9.483623423752382e-06,1.0,1.0,3.0,3
symmetric_amplitude,0.0,0.32,-1.879356418078921,7.276827976336146e-06,1.0,1.0,3.0,3
symmetric_amplitude,0.0,0.4,-1.7158258516621137,5.628950739318867e-06,1.0,1.0,3.0,3
symmetric_amplitude,0.03,0.0,-2.1511644304095214,0.05507134461215183,1.0,1.0,3.0,3
symmetric_amplitude,0.03,0.08,-2.143073706532093,0.05475286979018416,1.0,1.0,3.0,3
symmetric_amplitude,0.03,0.16,-2.116358487922937,0.053879097195366064,1.0,1.0,3.0,3
symmetric_amplitude,0.03,0.24,-2.052563600304432,0.05210034669383331,1.0,1.0,3.0,3
symmetric_amplitude,0.03,0.32,-1.877162159913021,0.047431973513957004,1.0,1.0,3.0,3
symmetric_amplitude,0.03,0.4,-1.7469311124083864,0.04398705306276247,1.0,1.0,3.0,3
symmetric_amplitude,0.06,0.0,-2.0855804013243944,0.10778701044131117,1.0,1.0,3.0,3
symmetric_amplitude,0.06,0.08,-2.079032239830614,0.10722190759296109,1.0,1.0,3.0,3
symmetric_amplitude,0.06,0.16,-2.0571590453780586,0.10570184203582784,1.0,1.0,3.0,3
symmetric_amplitude,0.06,0.24,-2.0054578485848227,0.10274281750465757,1.0,1.0,3.0,3
symmetric_amplitude,0.06,0.32,-1.8659790387111517,0.09520264637064901,1.0,1.0,3.0,3
symmetric_amplitude,0.06,0.4,-1.7628763926719406,0.08966653705902806,1.0,1.0,3.0,3
symmetric_amplitude,0.1,0.0,-2.0041529539038305,0.17466065967501007,1.0,1.0,3.0,3
symmetric_amplitude,0.1,0.08,-1.9992755972552703,0.17385209337772936,1.0,1.0,3.0,3
symmetric_amplitude,0.1,0.16,-1.9825455882089618,0.17172521289415332,1.0,1.0,3.0,3
symmetric_amplitude,0.1,0.24,-1.9431999933358386,0.16781585925702647,1.0,1.0,3.0,3
symmetric_amplitude,0.1,0.32,-1.8403704466031154,0.15836422282679793,1.0,1.0,3.0,3
symmetric_amplitude,0.1,0.4,-1.765033842345767,0.15150362584740032,1.0,1.0,3.0,3
symmetric_linear,0.0,0.0,-2.220999908289491,1.0421281152842946e-05,1.0,1.0,3.0,3
symmetric_linear,0.0,0.08,-2.2110580131590307,1.0294335124190942e-05,1.0,1.0,3.0,3
