dataset_id,subject,session,condition,file_path,sensorimotor_channels_used,sampling_rate,duration_s_analyzed,smr_power,high_beta_power,broadband_non_target_power,beta_burst_rate,beta_burst_duration,beta_burst_occupancy,smr_high_beta_coupling,baseline_burst_threshold,status,baseline_beta_burstiness,baseline_smr_high_beta_separability
ds004446,sub-004,ses-01,interval,data/raw/openneuro/ds004446/sub-004/ses-01/eeg/sub-004_ses-01_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,100.0,8.141441288148659e-13,6.070584829131256e-13,2.7734392879345465e-11,147.0,0.10171428571428572,0.26098,0.12373334165056532,1.1188741633669956e-06,real_eeg_analyzed,0.2,0.22859210749709089
ds004446,sub-004,ses-01,rest,data/raw/openneuro/ds004446/sub-004/ses-01/eeg/sub-004_ses-01_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,160.0,7.729650522688983e-13,4.566334808982445e-13,1.6480020392269473e-11,112.5,0.10222,0.2,0.10718078233847633,1.1188741633669956e-06,real_eeg_analyzed,0.2,0.22859210749709089
ds004446,sub-004,ses-01,task,data/raw/openneuro/ds004446/sub-004/ses-01/eeg/sub-004_ses-01_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,140.0,6.491868820079194e-13,4.368547149221227e-13,1.7622602619448353e-11,118.71428571428571,0.09658122743682311,0.2014857142857143,0.1303816692603973,1.1188741633669956e-06,real_eeg_analyzed,0.2,0.22859210749709089
ds004446,sub-004,ses-08,interval,data/raw/openneuro/ds004446/sub-004/ses-08/eeg/sub-004_ses-08_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,100.0,1.1098004874718174e-12,1.1100051985879456e-12,3.854671623182167e-11,181.79999999999998,0.12594389438943893,0.39291,0.30231856144424407,1.1188741633669956e-06,real_eeg_analyzed,0.2,0.22859210749709089
ds004446,sub-004,ses-08,rest,data/raw/openneuro/ds004446/sub-004/ses-08/eeg/sub-004_ses-08_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,160.0,7.699351155710876e-13,5.952666072466118e-13,2.6858070162867357e-11,141.0,0.11482712765957447,0.2782125,0.110148430093556,1.1188741633669956e-06,real_eeg_analyzed,0.2,0.22859210749709089
ds004446,sub-004,ses-08,task,data/raw/openneuro/ds004446/sub-004/ses-08/eeg/sub-004_ses-08_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,140.0,6.046749592807636e-13,4.750236462032492e-13,2.457429442956894e-11,134.14285714285714,0.09305431309904152,0.22015,0.08150228948095559,1.1188741633669956e-06,real_eeg_analyzed,0.2,0.22859210749709089
ds004446,sub-005,ses-01,interval,data/raw/openneuro/ds004446/sub-005/ses-01/eeg/sub-005_ses-01_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,100.0,3.425215260973654e-12,2.544803822897958e-12,8.722946516114073e-11,115.8,0.12539896373056994,0.24952,0.6085428119876323,1.520393531363766e-06,real_eeg_analyzed,0.2,0.2520755890750908
ds004446,sub-005,ses-01,rest,data/raw/openneuro/ds004446/sub-005/ses-01/eeg/sub-005_ses-01_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,160.0,5.085184836306447e-13,9.086200844047405e-13,9.231650964234344e-12,105.75,0.10995744680851063,0.2,0.15548670929513994,1.520393531363766e-06,real_eeg_analyzed,0.2,0.2520755890750908
ds004446,sub-005,ses-01,task,data/raw/openneuro/ds004446/sub-005/ses-01/eeg/sub-005_ses-01_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,140.0,4.426955359004081e-13,6.85679089887177e-13,9.30751030716703e-12,74.14285714285714,0.09512716763005781,0.12278571428571429,0.22662729731698808,1.520393531363766e-06,real_eeg_analyzed,0.2,0.2520755890750908
ds004446,sub-005,ses-08,interval,data/raw/openneuro/ds004446/sub-005/ses-08/eeg/sub-005_ses-08_task-smrbmi_eeg.edf,E36;E104;E128,1000.0,100.0,9.390465874823202e-13,1.5200908569337774e-12,3.39222298485429e-11,130.79999999999998,0.1236651376146789,0.27992,0.39419193225434546,1.520393531363766e-06,real_eeg_analyzed,0.2,0.2520755890750908
