dataset,monitor,n_windows,accepted_windows,accepted_windows_per_min,acceptance_duty_cycle,median_inter_acceptance_s,p95_inter_acceptance_s,longest_feedback_free_s,gaps_gt_5s,gaps_gt_10s,gaps_gt_20s,gaps_gt_30s,any_gap_gt_20s,any_gap_gt_30s,median_accept_run_s,median_withhold_run_s,state_transitions_per_min,time_to_first_accepted_s
ds004444,M0_NO_GATE,240.0,240.0,120.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ds004444,M1_HIGH_BETA,240.0,202.25,101.125,0.8427083333333334,0.5,1.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,1.8125,0.5,24.5,0.0
ds004444,M2_BROADBAND_HIGH_FREQUENCY,240.0,191.0,95.5,0.7958333333333333,0.5,1.1499999999999986,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.5,27.25,0.0
ds004444,M3_AMPLITUDE_150,240.0,237.0,118.5,0.9875,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.375,0.0
ds004444,M4_NFSQI_FULL_QUALITY,240.0,141.25,70.625,0.5885416666666666,0.5,1.5874999999999986,3.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,43.625,0.25
ds004446,M0_NO_GATE,280.0,280.0,120.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ds004446,M1_HIGH_BETA,280.0,248.0,106.28571428571428,0.8857142857142857,0.5,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,2.625,0.5,21.214285714285715,0.0
ds004446,M2_BROADBAND_HIGH_FREQUENCY,280.0,235.0,100.71428571428572,0.8392857142857143,0.5,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,24.64285714285714,0.25
ds004446,M3_AMPLITUDE_150,280.0,277.0,118.71428571428572,0.9892857142857143,0.5,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.375,0.8571428571428572,0.0
ds004446,M4_NFSQI_FULL_QUALITY,280.0,184.0,78.85714285714286,0.6571428571428571,0.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,41.57142857142857,0.25
ds004447,M0_NO_GATE,118.0,118.0,120.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ds004447,M1_HIGH_BETA,118.0,105.0,105.54310344827587,0.8795258620689654,0.5,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5625,0.5,20.0,0.0
ds004447,M2_BROADBAND_HIGH_FREQUENCY,118.0,95.5,97.23275862068965,0.8102729885057471,0.5,1.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,1.625,0.5,30.612068965517242,0.0
ds004447,M3_AMPLITUDE_150,118.0,118.0,120.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ds004447,M4_NFSQI_FULL_QUALITY,118.0,77.75,78.7406487434249,0.6561720728618741,0.5,1.5499999999999998,2.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,41.85885447106955,0.0
