dataset,monitor,split_type,left_rest_windows,right_rest_windows,n_windows,overall_agreement,accepted_set_jaccard,withheld_set_jaccard,cohens_kappa,positive_agreement,negative_agreement,acceptance_rate_left,acceptance_rate_right,acceptance_rate_difference,acceptance_to_withhold_flips,withhold_to_acceptance_flips,accepted_windows_per_min_difference,mutual_withholding_fraction,mutual_acceptance_fraction
ds004444,M0_NO_GATE,first_half_second_half,309.0,309.0,240.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ds004444,M0_NO_GATE,odd_even_nonoverlap,155.0,154.5,240.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ds004444,M0_NO_GATE,temporal_block_bootstrap_pair,618.0,618.0,240.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ds004444,M1_HIGH_BETA,first_half_second_half,309.0,309.0,240.0,0.9364583333333333,0.9252146881443232,0.691615463389657,0.7666507871790686,0.9610956429709843,0.8079401539634747,0.8145833333333333,0.8479166666666667,-0.04895833333333335,12.0,0.0,-5.875000000000006,0.12916666666666665,0.8052083333333333
ds004444,M1_HIGH_BETA,odd_even_nonoverlap,155.0,154.5,240.0,0.9760416666666667,0.9715630786286207,0.8469574507617985,0.8951625142134843,0.9854519751863445,0.9160924278330833,0.8343750000000001,0.8395833333333333,-0.0052083333333333,2.75,1.75,-0.6249999999999979,0.14166666666666666,0.8291666666666666
ds004444,M1_HIGH_BETA,temporal_block_bootstrap_pair,618.0,618.0,240.0,0.9770833333333334,0.9711980363435204,0.8574220374220375,0.9086820407098485,0.9853564967883021,0.9202447005263907,0.8427083333333334,0.8427083333333334,-0.0010416666666666252,2.25,1.0,-0.12499999999999623,0.14583333333333331,0.8375
ds004444,M2_BROADBAND_HIGH_FREQUENCY,first_half_second_half,309.0,309.0,240.0,0.89375,0.8487972345116895,0.6300660726675446,0.6809985493575728,0.918094764816003,0.7630497017552855,0.7135416666666667,0.7958333333333334,-0.0552083333333333,15.25,2.5,-6.625,0.16979166666666662,0.7135416666666667
ds004444,M2_BROADBAND_HIGH_FREQUENCY,odd_even_nonoverlap,155.0,154.5,240.0,0.9614583333333333,0.9493553365318284,0.8476668875837009,0.885961267306092,0.9738793971969988,0.9141326524813022,0.7729166666666667,0.8041666666666667,-0.00729166666666665,6.0,3.5,-0.8750000000000002,0.18229166666666666,0.7718750000000001
ds004444,M2_BROADBAND_HIGH_FREQUENCY,temporal_block_bootstrap_pair,618.0,618.0,240.0,0.9635416666666667,0.9591933876021492,0.8416167953667953,0.8797390794112978,0.9791610634404104,0.9132708390772907,0.7864583333333334,0.7927083333333333,-0.018749999999999975,6.0,3.0,-2.2499999999999987,0.1958333333333333,0.7770833333333333
ds004444,M3_AMPLITUDE_150,first_half_second_half,309.0,309.0,240.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9875,0.0,0.0,0.0,0.0,0.012499999999999976,0.9875
