dataset,participant,session,monitor,split_type,left_rest_windows,right_rest_windows,n_windows,overall_agreement,accepted_set_jaccard,withheld_set_jaccard,cohens_kappa,positive_agreement,negative_agreement,acceptance_rate_left,acceptance_rate_right,acceptance_rate_difference,acceptance_to_withhold_flips,withhold_to_acceptance_flips,accepted_windows_per_min_difference,mutual_withholding_fraction,mutual_acceptance_fraction
ds004444,sub-001,ses-01,M0_NO_GATE,first_half_second_half,313,313,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0
ds004444,sub-001,ses-01,M1_HIGH_BETA,first_half_second_half,313,313,240,0.8375,0.8010204081632653,0.5301204819277109,0.5961339316534345,0.8895184135977338,0.6929133858267716,0.6541666666666667,0.8166666666666667,-0.1624999999999999,39,0,-19.5,0.1833333333333333,0.6541666666666667
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,first_half_second_half,313,313,240,0.8,0.7241379310344828,0.5789473684210527,0.5907928388746804,0.84,0.7333333333333333,0.525,0.725,-0.1999999999999999,48,0,-23.999999999999996,0.275,0.525
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,first_half_second_half,313,313,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,first_half_second_half,313,313,240,0.7625,0.5808823529411765,0.6459627329192547,0.5423524688879967,0.7348837209302326,0.7849056603773585,0.3375,0.5583333333333333,-0.2208333333333333,55,2,-26.5,0.4333333333333333,0.3291666666666666
ds004444,sub-001,ses-01,M0_NO_GATE,odd_even_nonoverlap,157,156,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0
ds004444,sub-001,ses-01,M1_HIGH_BETA,odd_even_nonoverlap,157,156,240,0.9541666666666668,0.9424083769633508,0.8166666666666667,0.8698224852071008,0.9703504043126684,0.8990825688073395,0.75,0.7958333333333333,-0.0458333333333332,11,0,-5.499999999999994,0.2041666666666666,0.75
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,odd_even_nonoverlap,157,156,240,0.9791666666666666,0.9675324675324676,0.945054945054945,0.9552706127926046,0.9834983498349836,0.9717514124293786,0.6208333333333333,0.6416666666666667,-0.0208333333333333,5,0,-2.5000000000000044,0.3583333333333333,0.6208333333333333
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,odd_even_nonoverlap,157,156,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,odd_even_nonoverlap,157,156,240,0.9416666666666668,0.8813559322033898,0.8970588235294118,0.8828043250784792,0.9369369369369368,0.9457364341085271,0.4458333333333333,0.4791666666666667,-0.0333333333333333,11,3,-3.999999999999999,0.5083333333333333,0.4333333333333333
