stage,sequence,total,dataset,participant,session,status,timestamp
canonical_cache,1,114,ds004447,sub-001,ses-01,created,2026-07-16T16:59:27
canonical_cache,2,114,ds004447,sub-001,ses-19,created,2026-07-16T16:59:27
canonical_cache,3,114,ds004447,sub-002,ses-01,created,2026-07-16T16:59:28
canonical_cache,4,114,ds004447,sub-002,ses-19,created,2026-07-16T16:59:28
canonical_cache,5,114,ds004447,sub-003,ses-01,created,2026-07-16T16:59:29
canonical_cache,6,114,ds004447,sub-003,ses-19,created,2026-07-16T16:59:29
canonical_cache,7,114,ds004447,sub-004,ses-01,created,2026-07-16T16:59:29
canonical_cache,8,114,ds004447,sub-004,ses-19,created,2026-07-16T16:59:30
canonical_cache,9,114,ds004447,sub-005,ses-01,created,2026-07-16T16:59:30
canonical_cache,10,114,ds004447,sub-005,ses-19,created,2026-07-16T16:59:30
canonical_cache,11,114,ds004447,sub-006,ses-01,created,2026-07-16T16:59:31
canonical_cache,12,114,ds004447,sub-006,ses-19,created,2026-07-16T16:59:31
canonical_cache,13,114,ds004447,sub-007,ses-01,created,2026-07-16T16:59:31
canonical_cache,14,114,ds004447,sub-007,ses-19,created,2026-07-16T16:59:32
canonical_cache,15,114,ds004447,sub-008,ses-01,created,2026-07-16T16:59:32
canonical_cache,16,114,ds004447,sub-008,ses-19,created,2026-07-16T16:59:32
canonical_cache,17,114,ds004447,sub-009,ses-01,created,2026-07-16T16:59:33
canonical_cache,18,114,ds004447,sub-009,ses-19,created,2026-07-16T16:59:33
canonical_cache,19,114,ds004447,sub-010,ses-01,created,2026-07-16T16:59:33
canonical_cache,20,114,ds004447,sub-010,ses-19,created,2026-07-16T16:59:34
canonical_cache,21,114,ds004447,sub-011,ses-01,created,2026-07-16T16:59:34
canonical_cache,22,114,ds004447,sub-011,ses-19,created,2026-07-16T16:59:34
canonical_cache,23,114,ds004447,sub-012,ses-01,created,2026-07-16T16:59:35
canonical_cache,24,114,ds004447,sub-012,ses-19,created,2026-07-16T16:59:35
canonical_cache,25,114,ds004447,sub-013,ses-01,created,2026-07-16T16:59:36
canonical_cache,26,114,ds004447,sub-013,ses-20,created,2026-07-16T16:59:36
canonical_cache,27,114,ds004447,sub-014,ses-01,created,2026-07-16T16:59:36
canonical_cache,28,114,ds004447,sub-014,ses-19,created,2026-07-16T16:59:37
canonical_cache,29,114,ds004447,sub-015,ses-01,created,2026-07-16T16:59:37
canonical_cache,30,114,ds004447,sub-015,ses-19,created,2026-07-16T16:59:37
