dataset,participant,session,monitor,n_windows,accepted_windows,accepted_windows_per_min,acceptance_duty_cycle,median_inter_acceptance_s,p95_inter_acceptance_s,longest_feedback_free_s,gaps_gt_5s,gaps_gt_10s,gaps_gt_20s,gaps_gt_30s,any_gap_gt_20s,any_gap_gt_30s,median_accept_run_s,median_withhold_run_s,state_transitions_per_min,time_to_first_accepted_s
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-001,ses-16,M5_RIEMANNIAN_POTATO,240,232,116.0,0.9666666666666667,0.5,0.5,2.0,0,0,0,0,False,False,6.0,1.5,1.5,0.0
ds004444,sub-002,ses-01,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-002,ses-16,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-003,ses-01,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-003,ses-16,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-004,ses-01,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-004,ses-16,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-005,ses-01,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-005,ses-16,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-006,ses-01,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-006,ses-16,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-007,ses-01,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-007,ses-16,M5_RIEMANNIAN_POTATO,240,240,120.0,1.0,0.5,0.5,0.0,0,0,0,0,False,False,6.0,0.0,0.0,0.0
ds004444,sub-008,ses-01,M5_RIEMANNIAN_POTATO,240,237,118.5,0.9875,0.5,0.5,1.0,0,0,0,0,False,False,6.0,0.75,2.0,0.0
