dataset,participant,session,monitor,split_type,side,rest_windows,threshold_z,distance_log_mean,distance_log_std,covmean_element,covmean_value
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,left,313,3.0,0.22438911484952573,0.48157219260962564,00,5.983613667566359e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,left,313,3.0,0.22438911484952573,0.48157219260962564,01,2.472121838416946e-13
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,left,313,3.0,0.22438911484952573,0.48157219260962564,02,4.986215446760398e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,left,313,3.0,0.22438911484952573,0.48157219260962564,11,1.898353934300381e-11
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,left,313,3.0,0.22438911484952573,0.48157219260962564,12,-7.188993626203926e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,left,313,3.0,0.22438911484952573,0.48157219260962564,22,4.604570390166114e-11
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,right,313,3.0,0.2901407765043599,0.4785085287338463,00,7.751199304873423e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,right,313,3.0,0.2901407765043599,0.4785085287338463,01,1.5757726210420215e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,right,313,3.0,0.2901407765043599,0.4785085287338463,02,7.5644632870555e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,right,313,3.0,0.2901407765043599,0.4785085287338463,11,2.5834744601691706e-11
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,right,313,3.0,0.2901407765043599,0.4785085287338463,12,-7.833541592213613e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,first_half_second_half,right,313,3.0,0.2901407765043599,0.4785085287338463,22,4.797723459342239e-11
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,odd_even_nonoverlap,left,157,3.0,0.2790497914230439,0.4916556442915954,00,6.782536742119336e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,odd_even_nonoverlap,left,157,3.0,0.2790497914230439,0.4916556442915954,01,5.417842580063002e-13
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,odd_even_nonoverlap,left,157,3.0,0.2790497914230439,0.4916556442915954,02,6.369394893054748e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,odd_even_nonoverlap,left,157,3.0,0.2790497914230439,0.4916556442915954,11,2.2147315625255854e-11
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,odd_even_nonoverlap,left,157,3.0,0.2790497914230439,0.4916556442915954,12,-8.05217809960712e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,odd_even_nonoverlap,left,157,3.0,0.2790497914230439,0.4916556442915954,22,4.796622476174711e-11
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,odd_even_nonoverlap,right,156,3.0,0.265591977253696,0.4568026692629316,00,6.979789768645169e-12
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,odd_even_nonoverlap,right,156,3.0,0.265591977253696,0.4568026692629316,01,1.0991814817852875e-12
