dataset,participant,session,monitor,duration_s,rest_windows,full_rest_windows,n_windows,overall_agreement,accepted_set_jaccard,withheld_set_jaccard,cohens_kappa,positive_agreement,negative_agreement,acceptance_rate_left,acceptance_rate_right,acceptance_rate_difference,acceptance_to_withhold_flips,withhold_to_acceptance_flips,accepted_windows_per_min_difference,mutual_withholding_fraction
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,15,30,626,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,30,60,626,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,60,120,626,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,90,180,626,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0
ds004444,sub-001,ses-01,M5_RIEMANNIAN_POTATO,120,240,626,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0
ds004444,sub-001,ses-16,M5_RIEMANNIAN_POTATO,15,30,610,240,0.9666666666666667,0.9666666666666667,0.0,0.0,0.9830508474576272,0.0,1.0,0.9666666666666667,0.033333333333333326,0,8,3.999999999999999,0.0
ds004444,sub-001,ses-16,M5_RIEMANNIAN_POTATO,30,60,610,240,0.9916666666666667,0.9914529914529915,0.75,0.8529411764705886,0.9957081545064378,0.8571428571428571,0.975,0.9666666666666667,0.008333333333333304,0,2,0.9999999999999964,0.025
ds004444,sub-001,ses-16,M5_RIEMANNIAN_POTATO,60,120,610,240,0.9958333333333333,0.9957081545064378,0.875,0.9311926605504589,0.9978494623655914,0.9333333333333333,0.9708333333333333,0.9666666666666667,0.004166666666666652,0,1,0.4999999999999982,0.029166666666666667
ds004444,sub-001,ses-16,M5_RIEMANNIAN_POTATO,90,180,610,240,0.9958333333333333,0.9957081545064378,0.875,0.9311926605504589,0.9978494623655914,0.9333333333333333,0.9708333333333333,0.9666666666666667,0.004166666666666652,0,1,0.4999999999999982,0.029166666666666667
ds004444,sub-001,ses-16,M5_RIEMANNIAN_POTATO,120,240,610,240,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.0,0,0,0.0,0.03333333333333333
