dataset,participant,session,monitor,overall_agreement,accepted_set_jaccard,positive_agreement
ds004444,sub-001,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-001,ses-01,M1_HIGH_BETA,0.8375,0.8010204081632653,0.8895184135977338
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.8,0.7241379310344828,0.84
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,0.7625,0.5808823529411765,0.7348837209302326
ds004444,sub-001,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-001,ses-16,M1_HIGH_BETA,0.85,0.8190954773869347,0.9005524861878453
ds004444,sub-001,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.8375,0.7577639751552795,0.8621908127208481
ds004444,sub-001,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-001,ses-16,M4_NFSQI_FULL_QUALITY,0.7833333333333333,0.6030534351145038,0.7523809523809524
ds004444,sub-002,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-002,ses-01,M1_HIGH_BETA,0.9791666666666666,0.9788135593220338,0.9892933618843684
ds004444,sub-002,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.9333333333333332,0.9288888888888888,0.9631336405529954
ds004444,sub-002,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-002,ses-01,M4_NFSQI_FULL_QUALITY,0.9,0.8878504672897196,0.9405940594059404
ds004444,sub-002,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-002,ses-16,M1_HIGH_BETA,0.9791666666666666,0.9785407725321889,0.9891540130151844
ds004444,sub-002,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9083333333333332,0.9035087719298246,0.9493087557603688
ds004444,sub-002,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-002,ses-16,M4_NFSQI_FULL_QUALITY,0.875,0.8514851485148515,0.9197860962566844
ds004444,sub-003,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-003,ses-01,M1_HIGH_BETA,0.8333333333333334,0.7837837837837838,0.8787878787878788
ds004444,sub-003,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.8458333333333333,0.8112244897959183,0.895774647887324
ds004444,sub-003,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-003,ses-01,M4_NFSQI_FULL_QUALITY,0.8,0.6595744680851063,0.7948717948717948
ds004444,sub-003,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-003,ses-16,M1_HIGH_BETA,0.9625,0.9518716577540108,0.9753424657534246
ds004444,sub-003,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.8958333333333334,0.8417721518987342,0.9140893470790378
ds004444,sub-003,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-003,ses-16,M4_NFSQI_FULL_QUALITY,0.8875,0.7711864406779662,0.8708133971291866
ds004444,sub-004,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-004,ses-01,M1_HIGH_BETA,0.9541666666666668,0.9485981308411215,0.973621103117506
ds004444,sub-004,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.9791666666666666,0.9760765550239234,0.9878934624697336
ds004444,sub-004,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-004,ses-01,M4_NFSQI_FULL_QUALITY,0.925,0.8971428571428571,0.9457831325301204
ds004444,sub-004,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-004,ses-16,M1_HIGH_BETA,0.9416666666666668,0.9161676646706588,0.95625
ds004444,sub-004,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.925,0.90625,0.9508196721311476
ds004444,sub-004,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-004,ses-16,M4_NFSQI_FULL_QUALITY,0.875,0.7761194029850746,0.8739495798319328
ds004444,sub-005,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-005,ses-01,M1_HIGH_BETA,0.9375,0.9321266968325792,0.9648711943793912
ds004444,sub-005,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.7375,0.7096774193548387,0.8301886792452831
ds004444,sub-005,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-005,ses-01,M4_NFSQI_FULL_QUALITY,0.7541666666666667,0.6758241758241759,0.8065573770491803
ds004444,sub-005,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-005,ses-16,M1_HIGH_BETA,0.9333333333333332,0.89937106918239,0.9470198675496688
ds004444,sub-005,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9708333333333332,0.9593023255813954,0.9792284866468842
ds004444,sub-005,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-005,ses-16,M4_NFSQI_FULL_QUALITY,0.6291666666666667,0.3100775193798449,0.4733727810650887
ds004444,sub-006,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-006,ses-01,M1_HIGH_BETA,0.9541666666666668,0.9504504504504504,0.97459584295612
ds004444,sub-006,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.9041666666666668,0.8995633187772926,0.9471264367816092
ds004444,sub-006,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-006,ses-01,M4_NFSQI_FULL_QUALITY,0.8125,0.7772277227722773,0.8746518105849582
ds004444,sub-006,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-006,ses-16,M1_HIGH_BETA,0.9791666666666666,0.9779735682819384,0.9888641425389756
ds004444,sub-006,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9833333333333332,0.9829059829059827,0.9913793103448276
ds004444,sub-006,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-006,ses-16,M4_NFSQI_FULL_QUALITY,0.9166666666666666,0.908256880733945,0.9519230769230768
ds004444,sub-007,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-007,ses-01,M1_HIGH_BETA,0.9791666666666666,0.976303317535545,0.988009592326139
ds004444,sub-007,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.9,0.8899082568807339,0.941747572815534
ds004444,sub-007,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-007,ses-01,M4_NFSQI_FULL_QUALITY,0.8541666666666666,0.8087431693989071,0.8942598187311178
ds004444,sub-007,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-007,ses-16,M1_HIGH_BETA,0.9958333333333332,0.9953917050691244,0.9976905311778292
ds004444,sub-007,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9875,0.986842105263158,0.9933774834437086
ds004444,sub-007,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-007,ses-16,M4_NFSQI_FULL_QUALITY,0.8541666666666666,0.8241206030150754,0.9035812672176308
ds004444,sub-008,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-008,ses-01,M1_HIGH_BETA,0.9875,0.9847715736040608,0.9923273657289002
ds004444,sub-008,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.8833333333333333,0.8461538461538461,0.9166666666666666
ds004444,sub-008,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-008,ses-01,M4_NFSQI_FULL_QUALITY,0.7291666666666666,0.5454545454545454,0.7058823529411765
ds004444,sub-008,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-008,ses-16,M1_HIGH_BETA,0.975,0.9695431472081218,0.9845360824742267
ds004444,sub-008,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9583333333333334,0.935064935064935,0.9664429530201344
ds004444,sub-008,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-008,ses-16,M4_NFSQI_FULL_QUALITY,0.925,0.8524590163934426,0.9203539823008848
ds004444,sub-009,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-009,ses-01,M1_HIGH_BETA,0.9208333333333332,0.9166666666666666,0.9565217391304348
ds004444,sub-009,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.9833333333333332,0.9813953488372092,0.9906103286384976
ds004444,sub-009,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-009,ses-01,M4_NFSQI_FULL_QUALITY,0.8958333333333334,0.8724489795918368,0.9318801089918256
ds004444,sub-009,ses-16,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-009,ses-16,M1_HIGH_BETA,1.0,1.0,1.0
ds004444,sub-009,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.925,0.920704845814978,0.9587155963302753
ds004444,sub-009,ses-16,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-009,ses-16,M4_NFSQI_FULL_QUALITY,0.9,0.8904109589041096,0.9420289855072465
ds004444,sub-010,ses-01,M0_NO_GATE,1.0,1.0,1.0
ds004444,sub-010,ses-01,M1_HIGH_BETA,0.9708333333333332,0.966346153846154,0.982885085574572
ds004444,sub-010,ses-01,M2_BROADBAND_HIGH_FREQUENCY,0.8375,0.7771428571428571,0.8745980707395499
ds004444,sub-010,ses-01,M3_AMPLITUDE_150,1.0,1.0,1.0
ds004444,sub-010,ses-01,M4_NFSQI_FULL_QUALITY,0.7375,0.5563380281690141,0.7149321266968326
ds004444,sub-010,ses-16,M0_NO_GATE,1.0,1.0,1.0
