dataset,participant,session,monitor,duration_s,accepted_set_jaccard,overall_agreement
ds004444,sub-001,ses-01,M0_NO_GATE,15,1.0,1.0
ds004444,sub-001,ses-01,M0_NO_GATE,30,1.0,1.0
ds004444,sub-001,ses-01,M0_NO_GATE,60,1.0,1.0
ds004444,sub-001,ses-01,M0_NO_GATE,90,1.0,1.0
ds004444,sub-001,ses-01,M0_NO_GATE,120,1.0,1.0
ds004444,sub-001,ses-01,M1_HIGH_BETA,15,0.9565217391304348,0.9666666666666668
ds004444,sub-001,ses-01,M1_HIGH_BETA,30,0.9782608695652174,0.9833333333333332
ds004444,sub-001,ses-01,M1_HIGH_BETA,60,0.8097826086956522,0.8541666666666666
ds004444,sub-001,ses-01,M1_HIGH_BETA,90,0.8043478260869565,0.85
ds004444,sub-001,ses-01,M1_HIGH_BETA,120,0.8043478260869565,0.85
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,15,0.6761363636363636,0.7625
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,30,0.8081395348837209,0.8625
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,60,0.6730769230769231,0.7875
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,90,0.8141025641025641,0.8791666666666667
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,120,0.75,0.8375
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,15,1.0,1.0
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,30,1.0,1.0
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,60,1.0,1.0
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,90,1.0,1.0
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,120,1.0,1.0
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,15,0.512396694214876,0.7541666666666667
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,30,0.6557377049180327,0.825
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,60,0.5739130434782609,0.7958333333333333
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,90,0.6521739130434783,0.8333333333333334
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,120,0.6347826086956522,0.825
ds004444,sub-001,ses-16,M0_NO_GATE,15,1.0,1.0
ds004444,sub-001,ses-16,M0_NO_GATE,30,1.0,1.0
ds004444,sub-001,ses-16,M0_NO_GATE,60,1.0,1.0
ds004444,sub-001,ses-16,M0_NO_GATE,90,1.0,1.0
ds004444,sub-001,ses-16,M0_NO_GATE,120,1.0,1.0
ds004444,sub-001,ses-16,M1_HIGH_BETA,15,0.9130434782608696,0.925
ds004444,sub-001,ses-16,M1_HIGH_BETA,30,0.8624338624338624,0.8916666666666667
ds004444,sub-001,ses-16,M1_HIGH_BETA,60,0.7619047619047619,0.8125
ds004444,sub-001,ses-16,M1_HIGH_BETA,90,0.7936507936507936,0.8375
ds004444,sub-001,ses-16,M1_HIGH_BETA,120,0.8306878306878307,0.8666666666666667
ds004444,sub-001,ses-16,M2_BROADBAND_HIGH_FREQUENCY,15,0.6758241758241759,0.7541666666666667
ds004444,sub-001,ses-16,M2_BROADBAND_HIGH_FREQUENCY,30,0.6871165644171779,0.7875
ds004444,sub-001,ses-16,M2_BROADBAND_HIGH_FREQUENCY,60,0.8243243243243243,0.8916666666666667
ds004444,sub-001,ses-16,M2_BROADBAND_HIGH_FREQUENCY,90,0.8040540540540541,0.8791666666666667
ds004444,sub-001,ses-16,M2_BROADBAND_HIGH_FREQUENCY,120,0.8378378378378378,0.9
ds004444,sub-001,ses-16,M3_AMPLITUDE_150,15,1.0,1.0
