dataset,participant,source_session,target_session,monitor,accepted_set_jaccard,overall_agreement
ds004444,sub-001,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-001,ses-01,ses-16,M1_HIGH_BETA,0.1428571428571428,0.325
ds004444,sub-001,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.0067567567567567,0.3875
ds004444,sub-001,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-001,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.0,0.5333333333333333
ds004444,sub-002,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-002,ses-01,ses-16,M1_HIGH_BETA,0.9745762711864406,0.975
ds004444,sub-002,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.863849765258216,0.8791666666666667
ds004444,sub-002,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-002,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.7411167512690355,0.7875
ds004444,sub-003,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-003,ses-01,ses-16,M1_HIGH_BETA,0.8108108108108109,0.8541666666666666
ds004444,sub-003,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.5369127516778524,0.7125
ds004444,sub-003,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-003,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.5181818181818182,0.7791666666666667
ds004444,sub-004,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-004,ses-01,ses-16,M1_HIGH_BETA,1.0,1.0
ds004444,sub-004,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.7358490566037735,0.7666666666666667
ds004444,sub-004,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-004,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.7588652482269503,0.8583333333333333
ds004444,sub-005,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-005,ses-01,ses-16,M1_HIGH_BETA,0.5167785234899329,0.7
ds004444,sub-005,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.7272727272727273,0.7375
ds004444,sub-005,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-005,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.059322033898305,0.5375
ds004444,sub-006,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-006,ses-01,ses-16,M1_HIGH_BETA,0.9367088607594936,0.9375
ds004444,sub-006,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9872881355932204,0.9875
ds004444,sub-006,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-006,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.6387665198237885,0.6583333333333333
ds004444,sub-007,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-007,ses-01,ses-16,M1_HIGH_BETA,0.968609865470852,0.9708333333333332
ds004444,sub-007,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9868995633187772,0.9875
ds004444,sub-007,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-007,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.81,0.8416666666666667
ds004444,sub-008,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-008,ses-01,ses-16,M1_HIGH_BETA,0.8823529411764706,0.8916666666666667
ds004444,sub-008,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9177215189873418,0.9458333333333332
ds004444,sub-008,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-008,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.5939849624060151,0.775
ds004444,sub-009,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-009,ses-01,ses-16,M1_HIGH_BETA,0.9748953974895398,0.975
ds004444,sub-009,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.965665236051502,0.9666666666666668
ds004444,sub-009,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-009,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.9035087719298246,0.9083333333333332
ds004444,sub-010,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-010,ses-01,ses-16,M1_HIGH_BETA,0.9182692307692308,0.9291666666666668
ds004444,sub-010,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.0,0.2833333333333333
ds004444,sub-010,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-010,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.0,0.4458333333333333
ds004444,sub-011,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-011,ses-01,ses-16,M1_HIGH_BETA,0.9246861924686192,0.925
ds004444,sub-011,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.8620689655172413,0.8666666666666667
ds004444,sub-011,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-011,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.0706521739130434,0.2875
ds004444,sub-012,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-012,ses-01,ses-16,M1_HIGH_BETA,0.8675213675213675,0.8708333333333333
ds004444,sub-012,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9181286549707602,0.9416666666666668
ds004444,sub-012,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-012,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.65625,0.7708333333333334
ds004444,sub-013,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-013,ses-01,ses-16,M1_HIGH_BETA,0.9454545454545454,0.95
ds004444,sub-013,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.869198312236287,0.8708333333333333
ds004444,sub-013,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-013,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.1570680628272251,0.3291666666666666
ds004444,sub-014,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-014,ses-01,ses-16,M1_HIGH_BETA,0.916279069767442,0.925
ds004444,sub-014,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.923809523809524,0.9333333333333332
ds004444,sub-014,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-014,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.7005347593582888,0.7666666666666667
ds004444,sub-015,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-015,ses-01,ses-16,M1_HIGH_BETA,0.7542372881355932,0.7583333333333333
ds004444,sub-015,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.6878306878306878,0.7541666666666667
ds004444,sub-015,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-015,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.4,0.5875
ds004444,sub-016,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-016,ses-01,ses-16,M1_HIGH_BETA,0.9273743016759776,0.9458333333333332
ds004444,sub-016,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.6440677966101694,0.7375
ds004444,sub-016,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-016,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.5488721804511278,0.75
ds004444,sub-017,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-017,ses-01,ses-16,M1_HIGH_BETA,0.901840490797546,0.9333333333333332
ds004444,sub-017,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.7952755905511811,0.8916666666666667
ds004444,sub-017,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-017,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.2205882352941176,0.7791666666666667
ds004444,sub-018,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-018,ses-01,ses-16,M1_HIGH_BETA,0.3041237113402061,0.4375
ds004444,sub-018,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.0571428571428571,0.3125
ds004444,sub-018,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-018,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.0080645161290322,0.4875
ds004444,sub-019,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-019,ses-01,ses-16,M1_HIGH_BETA,1.0,1.0
ds004444,sub-019,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.8348623853211009,0.85
ds004444,sub-019,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-019,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.7823529411764706,0.8458333333333333
ds004444,sub-020,ses-01,ses-08,M0_NO_GATE,1.0,1.0
ds004444,sub-020,ses-01,ses-08,M1_HIGH_BETA,0.970873786407767,0.975
ds004444,sub-020,ses-01,ses-08,M2_BROADBAND_HIGH_FREQUENCY,0.864321608040201,0.8875
ds004444,sub-020,ses-01,ses-08,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-020,ses-01,ses-08,M4_NFSQI_FULL_QUALITY,0.631578947368421,0.7375
ds004444,sub-021,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-021,ses-01,ses-16,M1_HIGH_BETA,0.9689119170984456,0.975
ds004444,sub-021,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.84472049689441,0.8958333333333334
ds004444,sub-021,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-021,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.5766423357664233,0.7583333333333333
ds004444,sub-022,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-022,ses-01,ses-16,M1_HIGH_BETA,0.902542372881356,0.9041666666666668
ds004444,sub-022,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.8893805309734514,0.8958333333333334
ds004444,sub-022,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
ds004444,sub-022,ses-01,ses-16,M4_NFSQI_FULL_QUALITY,0.7184466019417476,0.7583333333333333
ds004444,sub-023,ses-01,ses-16,M0_NO_GATE,1.0,1.0
ds004444,sub-023,ses-01,ses-16,M1_HIGH_BETA,0.9145299145299144,0.9166666666666666
ds004444,sub-023,ses-01,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.9313304721030042,0.9333333333333332
ds004444,sub-023,ses-01,ses-16,M3_AMPLITUDE_150,1.0,1.0
