dataset,participant,session,monitor,longest_feedback_free_s,state_transitions_per_min,accepted_windows_per_min
ds004444,sub-001,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-001,ses-01,M1_HIGH_BETA,2.0,33.0,92.0
ds004444,sub-001,ses-01,M2_BROADBAND_HIGH_FREQUENCY,2.5,44.0,78.0
ds004444,sub-001,ses-01,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-001,ses-01,M4_NFSQI_FULL_QUALITY,6.0,44.5,57.5
ds004444,sub-001,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-001,ses-16,M1_HIGH_BETA,1.5,35.0,94.5
ds004444,sub-001,ses-16,M2_BROADBAND_HIGH_FREQUENCY,2.0,50.0,74.0
ds004444,sub-001,ses-16,M3_AMPLITUDE_150,1.0,0.5,119.0
ds004444,sub-001,ses-16,M4_NFSQI_FULL_QUALITY,3.5,52.0,56.0
ds004444,sub-002,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-002,ses-01,M1_HIGH_BETA,0.5,6.0,117.0
ds004444,sub-002,ses-01,M2_BROADBAND_HIGH_FREQUENCY,2.5,13.5,109.0
ds004444,sub-002,ses-01,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-002,ses-01,M4_NFSQI_FULL_QUALITY,2.5,25.0,99.5
ds004444,sub-002,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-002,ses-16,M1_HIGH_BETA,1.0,8.0,115.0
ds004444,sub-002,ses-16,M2_BROADBAND_HIGH_FREQUENCY,1.0,23.5,106.5
ds004444,sub-002,ses-16,M3_AMPLITUDE_150,1.0,0.5,119.0
ds004444,sub-002,ses-16,M4_NFSQI_FULL_QUALITY,2.5,36.5,92.0
ds004444,sub-003,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-003,ses-01,M1_HIGH_BETA,2.0,42.0,83.0
ds004444,sub-003,ses-01,M2_BROADBAND_HIGH_FREQUENCY,2.5,41.0,88.0
ds004444,sub-003,ses-01,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-003,ses-01,M4_NFSQI_FULL_QUALITY,3.5,51.5,62.00000000000001
ds004444,sub-003,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-003,ses-16,M1_HIGH_BETA,2.0,31.000000000000004,92.5
ds004444,sub-003,ses-16,M2_BROADBAND_HIGH_FREQUENCY,2.0,48.0,74.5
ds004444,sub-003,ses-16,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-003,ses-16,M4_NFSQI_FULL_QUALITY,3.5,45.5,55.0
ds004444,sub-004,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-004,ses-01,M1_HIGH_BETA,1.0,24.5,106.0
ds004444,sub-004,ses-01,M2_BROADBAND_HIGH_FREQUENCY,1.5,23.5,104.0
ds004444,sub-004,ses-01,M3_AMPLITUDE_150,0.5,0.5,119.5
ds004444,sub-004,ses-01,M4_NFSQI_FULL_QUALITY,3.5,41.0,84.5
ds004444,sub-004,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-004,ses-16,M1_HIGH_BETA,2.5,43.5,79.5
ds004444,sub-004,ses-16,M2_BROADBAND_HIGH_FREQUENCY,2.0,31.5,93.0
ds004444,sub-004,ses-16,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-004,ses-16,M4_NFSQI_FULL_QUALITY,3.5,48.5,61.0
ds004444,sub-005,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-005,ses-01,M1_HIGH_BETA,1.0,18.5,107.0
ds004444,sub-005,ses-01,M2_BROADBAND_HIGH_FREQUENCY,1.5,21.5,102.5
ds004444,sub-005,ses-01,M3_AMPLITUDE_150,6.0,0.0,0.0
ds004444,sub-005,ses-01,M4_NFSQI_FULL_QUALITY,3.5,35.5,83.5
ds004444,sub-005,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-005,ses-16,M1_HIGH_BETA,5.5,28.5,74.5
ds004444,sub-005,ses-16,M2_BROADBAND_HIGH_FREQUENCY,3.0,27.0,84.0
ds004444,sub-005,ses-16,M3_AMPLITUDE_150,6.0,0.0,0.0
ds004444,sub-005,ses-16,M4_NFSQI_FULL_QUALITY,6.0,35.0,50.0
ds004444,sub-006,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-006,ses-01,M1_HIGH_BETA,1.5,15.0,109.5
ds004444,sub-006,ses-01,M2_BROADBAND_HIGH_FREQUENCY,1.0,19.0,109.0
ds004444,sub-006,ses-01,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-006,ses-01,M4_NFSQI_FULL_QUALITY,2.0,40.5,89.0
ds004444,sub-006,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-006,ses-16,M1_HIGH_BETA,1.0,16.0,111.0
ds004444,sub-006,ses-16,M2_BROADBAND_HIGH_FREQUENCY,0.5,6.5,116.5
ds004444,sub-006,ses-16,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-006,ses-16,M4_NFSQI_FULL_QUALITY,1.0,23.0,106.0
ds004444,sub-007,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-007,ses-01,M1_HIGH_BETA,1.0,29.5,103.0
ds004444,sub-007,ses-01,M2_BROADBAND_HIGH_FREQUENCY,2.0,22.0,104.5
ds004444,sub-007,ses-01,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-007,ses-01,M4_NFSQI_FULL_QUALITY,3.0,45.5,82.0
ds004444,sub-007,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-007,ses-16,M1_HIGH_BETA,1.0,22.0,108.0
ds004444,sub-007,ses-16,M2_BROADBAND_HIGH_FREQUENCY,1.0,10.5,113.0
ds004444,sub-007,ses-16,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-007,ses-16,M4_NFSQI_FULL_QUALITY,2.0,42.5,87.5
ds004444,sub-008,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-008,ses-01,M1_HIGH_BETA,2.0,33.0,97.0
ds004444,sub-008,ses-01,M2_BROADBAND_HIGH_FREQUENCY,4.5,35.0,85.5
ds004444,sub-008,ses-01,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-008,ses-01,M4_NFSQI_FULL_QUALITY,4.5,48.5,55.5
ds004444,sub-008,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-008,ses-16,M1_HIGH_BETA,2.5,30.0,97.5
ds004444,sub-008,ses-16,M2_BROADBAND_HIGH_FREQUENCY,3.0,45.5,72.5
ds004444,sub-008,ses-16,M3_AMPLITUDE_150,0.0,0.0,120.0
ds004444,sub-008,ses-16,M4_NFSQI_FULL_QUALITY,4.0,50.5,56.5
ds004444,sub-009,ses-01,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-009,ses-01,M1_HIGH_BETA,1.0,17.0,110.5
ds004444,sub-009,ses-01,M2_BROADBAND_HIGH_FREQUENCY,1.0,22.0,107.0
ds004444,sub-009,ses-01,M3_AMPLITUDE_150,1.0,3.0,117.0
ds004444,sub-009,ses-01,M4_NFSQI_FULL_QUALITY,2.0,39.5,92.0
ds004444,sub-009,ses-16,M0_NO_GATE,0.0,0.0,120.0
ds004444,sub-009,ses-16,M1_HIGH_BETA,0.5,5.5,116.5
