dataset,monitor,direction,n_windows,overall_agreement,accepted_set_jaccard,withheld_set_jaccard,cohens_kappa,positive_agreement,negative_agreement,acceptance_rate_left,acceptance_rate_right,acceptance_rate_difference,acceptance_to_withhold_flips,withhold_to_acceptance_flips,accepted_windows_per_min_difference,mutual_withholding_fraction,mutual_acceptance_fraction,transported_accepted_windows_per_min,transported_longest_feedback_free_s,transported_transitions_per_min,median_relative_threshold_shift
ds004444,M0_NO_GATE,final_to_first,240.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004444,M0_NO_GATE,first_to_final,240.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004444,M1_HIGH_BETA,final_to_first,240.0,0.85,0.8379128063359236,0.38734516237027117,0.4565418589141589,0.9118060163680601,0.557919004741398,0.8104166666666667,0.8416666666666667,-0.04166666666666663,10.0,0.0,-4.999999999999996,0.1125,0.78125,97.25,1.5,29.25,0.11176658430198327
ds004444,M1_HIGH_BETA,first_to_final,240.0,0.925,0.9154044921486781,0.35756937126800137,0.43275344367013235,0.9558339112343968,0.5267772060224891,0.9020833333333333,0.8395833333333333,0.027083333333333348,0.0,6.5,3.2500000000000018,0.09166666666666666,0.8041666666666667,108.25,1.0,17.5,0.12455647004376276
ds004444,M2_BROADBAND_HIGH_FREQUENCY,final_to_first,240.0,0.78125,0.7604166666666667,0.4005681818181818,0.40851014785462597,0.8638655462184874,0.5710144927536231,0.675,0.7875,-0.07708333333333334,20.5,1.0,-9.25,0.12708333333333333,0.6208333333333333,81.0,3.0,26.25,0.2067375597106028
ds004444,M2_BROADBAND_HIGH_FREQUENCY,first_to_final,240.0,0.875,0.8533947312058257,0.44803439803439804,0.47444253244868184,0.9208754208754208,0.6186569787882339,0.7645833333333334,0.7833333333333333,-0.0020833333333333814,5.5,9.5,-0.2500000000000058,0.12083333333333333,0.7083333333333333,91.75,2.0,13.75,0.2597326448045024
ds004444,M3_AMPLITUDE_150,final_to_first,240.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.99375,0.0,0.0,0.0,0.0,0.00625,0.99375,119.25,0.75,0.0,0.0
ds004444,M3_AMPLITUDE_150,first_to_final,240.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.99375,0.0,0.0,0.0,0.0,0.00625,0.99375,119.25,0.5,0.0,0.0
ds004444,M4_NFSQI_FULL_QUALITY,final_to_first,240.0,0.6416666666666667,0.43179702048417135,0.4457845433255269,0.2846453597467811,0.6029979559391324,0.6165826330532214,0.32499999999999996,0.6041666666666666,-0.20625000000000002,64.0,14.0,-24.75,0.30833333333333335,0.3104166666666667,39.0,5.5,34.5,0.2357809566232884
ds004444,M4_NFSQI_FULL_QUALITY,first_to_final,240.0,0.74375,0.5556860902255639,0.47140122852310157,0.28831295393395096,0.7143689320388349,0.6406291765189678,0.4395833333333333,0.59375,-0.10625000000000007,43.5,18.0,-12.750000000000007,0.2895833333333333,0.32916666666666666,52.75,5.5,31.25,0.2554242753508833
ds004446,M0_NO_GATE,final_to_first,280.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004446,M0_NO_GATE,first_to_final,280.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004446,M1_HIGH_BETA,final_to_first,280.0,0.85,0.8438661710037175,0.3855421686746988,0.4689080630764654,0.9153225806451613,0.5565217391304348,0.8892857142857142,0.8821428571428571,0.03928571428571426,0.0,11.0,4.714285714285711,0.10357142857142858,0.8107142857142857,106.71428571428571,1.0,19.714285714285715,0.15820022684269114
ds004446,M1_HIGH_BETA,first_to_final,280.0,0.8785714285714286,0.8781362007168458,0.5420560747663551,0.5939386764531785,0.9351145038167938,0.703030303030303,0.8071428571428572,0.875,-0.0357142857142857,10.0,0.0,-4.285714285714284,0.039285714285714285,0.8071428571428572,96.85714285714286,2.0,27.857142857142858,0.1365914314090168
ds004446,M2_BROADBAND_HIGH_FREQUENCY,final_to_first,280.0,0.8428571428571429,0.8308270676691729,0.4430379746835443,0.5331564986737399,0.9075975359342916,0.6140350877192983,0.8642857142857143,0.7892857142857143,-0.0035714285714285587,7.0,6.0,-0.42857142857142705,0.125,0.7285714285714285,103.71428571428572,1.0,26.57142857142857,0.11680251576584817
ds004446,M2_BROADBAND_HIGH_FREQUENCY,first_to_final,280.0,0.925,0.9082969432314411,0.525,0.6530133055048265,0.9519450800915332,0.6885245901639344,0.75,0.8642857142857143,-0.06071428571428572,19.0,2.0,-7.2857142857142865,0.075,0.7428571428571429,90.0,2.5,31.28571428571429,0.14697301402800753
ds004446,M3_AMPLITUDE_150,final_to_first,280.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892857142857143,0.9892857142857143,0.0,0.0,0.0,0.0,0.010714285714285714,0.9892857142857143,118.71428571428572,1.0,0.8571428571428571,0.0
ds004446,M3_AMPLITUDE_150,first_to_final,280.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004446,M4_NFSQI_FULL_QUALITY,final_to_first,280.0,0.7642857142857142,0.7013574660633484,0.4782608695652174,0.4956331877729256,0.824468085106383,0.6470588235294118,0.7571428571428571,0.6071428571428571,0.05714285714285716,14.0,27.0,6.857142857142859,0.21071428571428572,0.5535714285714286,90.85714285714286,2.5,37.714285714285715,0.18554292229068653
ds004446,M4_NFSQI_FULL_QUALITY,first_to_final,280.0,0.775,0.657608695652174,0.4725274725274725,0.42861715749039697,0.7934426229508197,0.6417910447761194,0.475,0.7285714285714285,-0.13928571428571435,51.0,15.0,-16.714285714285722,0.25357142857142856,0.43214285714285716,57.0,4.0,42.42857142857143,0.15650460122707624
ds004447,M0_NO_GATE,final_to_first,116.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004447,M0_NO_GATE,first_to_final,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004447,M1_HIGH_BETA,final_to_first,116.0,0.9353448275862069,0.9291944815309301,0.5377777777777778,0.6518265662715711,0.9632898072415936,0.6992481203007519,0.8814655172413793,0.9137931034482759,-0.020977011494252906,2.5,0.0,-2.5172413793103487,0.08477011494252873,0.8472701149425287,105.77586206896552,1.5,21.5,0.07352415794982181
ds004447,M1_HIGH_BETA,first_to_final,120.0,0.95,0.9451769025367156,0.5357142857142857,0.6676347023577217,0.9718154551870148,0.696969696969697,0.9166666666666666,0.8916666666666667,0.016666666666666663,0.0,2.0,1.9999999999999996,0.075,0.875,110.0,1.0,14.5,0.07938749425173289
ds004447,M2_BROADBAND_HIGH_FREQUENCY,final_to_first,116.0,0.8491379310344827,0.826177370030581,0.3538862353452019,0.4474572476872163,0.9048160510582108,0.5226249703861644,0.7241379310344828,0.8518678160919539,-0.08620689655172414,11.0,0.0,-10.344827586206897,0.125,0.7034482758620689,86.89655172413794,1.5,33.62068965517241,0.16793252669326014
ds004447,M2_BROADBAND_HIGH_FREQUENCY,first_to_final,120.0,0.875,0.8321596244131455,0.5,0.6122959738846572,0.9083916083916084,0.6666666666666666,0.8875,0.7666666666666666,0.04999999999999999,0.0,7.5,5.999999999999998,0.10833333333333334,0.7541666666666667,106.5,1.0,19.5,0.16947556757075044
ds004447,M3_AMPLITUDE_150,final_to_first,116.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004447,M3_AMPLITUDE_150,first_to_final,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004447,M4_NFSQI_FULL_QUALITY,final_to_first,116.0,0.7068965517241379,0.6213517665130568,0.44309927360774815,0.3994879832810867,0.7664589014413712,0.613953488372093,0.5380747126436781,0.6522988505747127,-0.1293103448275862,22.5,5.0,-15.517241379310342,0.23706896551724138,0.45718877849210987,64.56896551724137,3.0,43.9655172413793,0.170116868562315
ds004447,M4_NFSQI_FULL_QUALITY,first_to_final,120.0,0.7708333333333334,0.6711583528624038,0.532967032967033,0.4934603838456406,0.8032246463677775,0.6953237410071942,0.6666666666666667,0.5833333333333334,0.004166666666666652,9.0,10.5,0.4999999999999982,0.25,0.5291666666666667,80.0,2.25,32.0,0.1686365828281005
