dataset,participant,source_session,target_session,direction,monitor,n_windows,overall_agreement,accepted_set_jaccard,withheld_set_jaccard,cohens_kappa,positive_agreement,negative_agreement,acceptance_rate_left,acceptance_rate_right,acceptance_rate_difference,acceptance_to_withhold_flips,withhold_to_acceptance_flips,accepted_windows_per_min_difference,mutual_withholding_fraction,mutual_acceptance_fraction,transported_accepted_windows_per_min,transported_longest_feedback_free_s,transported_transitions_per_min,median_relative_threshold_shift
ds004444,sub-001,ses-01,ses-16,first_to_final,M0_NO_GATE,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004444,sub-001,ses-01,ses-16,first_to_final,M1_HIGH_BETA,240,0.325,0.14285714285714285,0.23943661971830985,0.06614785992217896,0.25,0.38636363636363635,0.1125,0.7875,-0.6749999999999999,162,0,-80.99999999999999,0.2125,0.1125,13.5,6.0,20.0,0.191000706551961
ds004444,sub-001,ses-01,ses-16,first_to_final,M2_BROADBAND_HIGH_FREQUENCY,240,0.3875,0.006756756756756757,0.38493723849372385,0.0051883600270697045,0.013422818791946308,0.5558912386706949,0.004166666666666667,0.6166666666666667,-0.6125,147,0,-73.5,0.38333333333333336,0.004166666666666667,0.5,6.0,1.0,0.3948986699395382
ds004444,sub-001,ses-01,ses-16,first_to_final,M3_AMPLITUDE_150,240,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,0.9916666666666667,0.0,0,0,0.0,0.008333333333333333,0.9916666666666667,119.0,1.0,0.5,0.0
ds004444,sub-001,ses-01,ses-16,first_to_final,M4_NFSQI_FULL_QUALITY,240,0.5333333333333333,0.0,0.5333333333333333,0.0,0.0,0.6956521739130435,0.0,0.4666666666666667,-0.4666666666666667,112,0,-56.0,0.5333333333333333,0.0,0.0,6.0,0.0,0.1268618158992488
ds004444,sub-001,ses-16,ses-01,final_to_first,M0_NO_GATE,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004444,sub-001,ses-16,ses-01,final_to_first,M1_HIGH_BETA,240,0.7666666666666667,0.7666666666666667,0.0,0.0,0.8679245283018868,0.0,1.0,0.7666666666666667,0.23333333333333328,0,56,27.999999999999993,0.0,0.7666666666666667,120.0,0.0,0.0,0.23609502270131308
ds004444,sub-001,ses-16,ses-01,final_to_first,M2_BROADBAND_HIGH_FREQUENCY,240,0.6583333333333333,0.6554621848739496,0.023809523809523808,0.030732860520094333,0.7918781725888325,0.046511627906976744,0.9916666666666667,0.65,0.3416666666666667,0,82,41.0,0.008333333333333333,0.65,119.0,0.5,2.0,1.0560427606116367
ds004444,sub-001,ses-16,ses-01,final_to_first,M3_AMPLITUDE_150,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004444,sub-001,ses-16,ses-01,final_to_first,M4_NFSQI_FULL_QUALITY,240,0.5875,0.44692737430167595,0.38125,0.18181818181818196,0.6177606177606177,0.5520361990950227,0.6,0.4791666666666667,0.12083333333333329,35,64,14.499999999999995,0.25416666666666665,0.3333333333333333,72.0,3.0,48.5,0.14529408770491964
ds004444,sub-002,ses-01,ses-16,first_to_final,M0_NO_GATE,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004444,sub-002,ses-01,ses-16,first_to_final,M1_HIGH_BETA,240,0.975,0.9745762711864406,0.4,0.5609756097560973,0.9871244635193133,0.5714285714285714,0.9833333333333333,0.9583333333333334,0.02499999999999991,0,6,2.9999999999999893,0.016666666666666666,0.9583333333333334,118.0,1.0,2.5,0.06367467417288875
ds004444,sub-002,ses-01,ses-16,first_to_final,M2_BROADBAND_HIGH_FREQUENCY,240,0.8791666666666667,0.863849765258216,0.48214285714285715,0.5880681818181818,0.9269521410579346,0.6506024096385542,0.7666666666666667,0.8875,-0.12083333333333324,29,0,-14.49999999999999,0.1125,0.7666666666666667,92.0,1.0,41.5,0.11831011718137278
ds004444,sub-002,ses-01,ses-16,first_to_final,M3_AMPLITUDE_150,240,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,0.9916666666666667,0.0,0,0,0.0,0.008333333333333333,0.9916666666666667,119.0,1.0,0.5,0.0
ds004444,sub-002,ses-01,ses-16,first_to_final,M4_NFSQI_FULL_QUALITY,240,0.7875,0.7411167512690355,0.4574468085106383,0.4858870967741935,0.8513119533527697,0.6277372262773723,0.6625,0.7666666666666667,-0.10416666666666674,38,13,-12.500000000000009,0.17916666666666667,0.6083333333333333,79.5,2.5,48.0,0.18423771318534918
ds004444,sub-002,ses-16,ses-01,final_to_first,M0_NO_GATE,240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0,120.0,0.0,0.0,0.0
ds004444,sub-002,ses-16,ses-01,final_to_first,M1_HIGH_BETA,240,0.9416666666666667,0.9401709401709402,0.3,0.4400000000000003,0.9691629955947136,0.46153846153846156,0.9166666666666666,0.975,-0.05833333333333335,14,0,-7.000000000000002,0.025,0.9166666666666666,110.0,1.0,16.0,0.05986292211234797
ds004444,sub-002,ses-16,ses-01,final_to_first,M2_BROADBAND_HIGH_FREQUENCY,240,0.9416666666666667,0.9396551724137931,0.36363636363636365,0.5093457943925229,0.9688888888888889,0.5333333333333333,0.9666666666666667,0.9083333333333333,0.05833333333333335,0,14,7.000000000000002,0.03333333333333333,0.9083333333333333,116.0,2.0,4.5,0.14056271647062027
