monitor,direction,participants,median_accepted_set_jaccard,median_overall_agreement,median_acceptance_rate_difference,median_transported_longest_feedback_free_s,median_transported_transitions_per_min,accepted_set_jaccard_ci_low,accepted_set_jaccard_ci_high,overall_agreement_ci_low,overall_agreement_ci_high,acceptance_rate_difference_ci_low,acceptance_rate_difference_ci_high,transported_longest_feedback_free_s_ci_low,transported_longest_feedback_free_s_ci_high,transported_transitions_per_min_ci_low,transported_transitions_per_min_ci_high
M0_NO_GATE,final_to_first,57,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0_NO_GATE,first_to_final,57,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_HIGH_BETA,final_to_first,57,0.9,0.9083333333333333,-0.033333333333333326,1.5,23.0,0.8410041841004184,0.9391304347826087,0.85,0.9416666666666667,-0.05833333333333335,0.0,1.0,1.5,19.714285714285715,30.0
M1_HIGH_BETA,first_to_final,57,0.9224137931034483,0.925,0.02499999999999991,1.0,17.0,0.8823529411764706,0.9439252336448598,0.9,0.95,-0.0035714285714285587,0.04166666666666663,1.0,1.5,13.0,25.0
M2_BROADBAND_HIGH_FREQUENCY,final_to_first,57,0.8204081632653061,0.8362068965517241,-0.06896551724137934,2.0,26.57142857142857,0.7177033492822966,0.8426966292134831,0.7708333333333334,0.8708333333333333,-0.20000000000000007,-0.012500000000000067,1.5,3.5,24.5,39.310344827586206
M2_BROADBAND_HIGH_FREQUENCY,first_to_final,57,0.84472049689441,0.8791666666666667,0.025000000000000022,1.5,19.0,0.8,0.8921568627450981,0.8416666666666667,0.9,-0.02083333333333337,0.054166666666666696,1.0,2.0,13.714285714285714,28.5
M3_AMPLITUDE_150,final_to_first,57,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
M3_AMPLITUDE_150,first_to_final,57,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
M4_NFSQI_FULL_QUALITY,final_to_first,57,0.5575221238938053,0.6833333333333333,-0.1293103448275862,4.0,37.714285714285715,0.44692737430167595,0.6310160427807486,0.6416666666666667,0.7125,-0.2791666666666667,-0.10344827586206895,3.0,5.0,33.0,43.0
M4_NFSQI_FULL_QUALITY,first_to_final,57,0.6142857142857143,0.7583333333333333,-0.10416666666666674,4.0,32.0,0.5181818181818182,0.6724137931034483,0.6583333333333333,0.775,-0.20833333333333337,0.033333333333333326,2.5,5.5,25.71428571428571,37.0
