dataset,family,severity,R1_minus_R0,ci_low,ci_high,boot_p,n_participants
ds004447,D1_single_channel_broadband,1,-0.07500000000000001,-0.106875,-0.045454545454545456,0.00025,22
ds004444,D1_single_channel_broadband,1,-0.14666666666666664,-0.19333333333333336,-0.10166666666666666,0.00025,30
ds004446,D1_single_channel_broadband,1,-0.11000000000000001,-0.19024999999999992,-0.030000000000000006,0.0005,5
ds004447,D1_single_channel_broadband,2,-0.1659090909090909,-0.21818181818181817,-0.11818181818181818,0.00025,22
ds004444,D1_single_channel_broadband,2,-0.19,-0.24833333333333338,-0.13329166666666648,0.00025,30
ds004446,D1_single_channel_broadband,2,-0.27,-0.41,-0.14,0.00025,5
ds004447,D1_single_channel_broadband,3,-0.30909090909090914,-0.36590909090909096,-0.25227272727272737,0.00025,22
ds004444,D1_single_channel_broadband,3,-0.18666666666666665,-0.25166666666666665,-0.125,0.00025,30
ds004446,D1_single_channel_broadband,3,-0.32999999999999996,-0.43,-0.24,0.00025,5
ds004447,D1_single_channel_broadband,4,-0.36136363636363633,-0.43636363636363634,-0.2909090909090909,0.00025,22
ds004444,D1_single_channel_broadband,4,-0.16666666666666666,-0.23333333333333334,-0.10666666666666667,0.00025,30
ds004446,D1_single_channel_broadband,4,-0.4,-0.5900000000000001,-0.21000000000000002,0.00025,5
ds004447,D2_common_mode_broadband,1,-0.28863636363636364,-0.3295454545454546,-0.24545454545454543,0.00025,22
ds004444,D2_common_mode_broadband,1,-0.20833333333333334,-0.27666666666666667,-0.13833333333333334,0.00025,30
ds004446,D2_common_mode_broadband,1,-0.53,-0.7300000000000001,-0.32999999999999996,0.00025,5
ds004447,D2_common_mode_broadband,2,-0.3931818181818182,-0.4681818181818183,-0.3204545454545455,0.00025,22
ds004444,D2_common_mode_broadband,2,-0.16666666666666663,-0.25,-0.095,0.00025,30
ds004446,D2_common_mode_broadband,2,-0.32,-0.42000000000000004,-0.21000000000000005,0.00025,5
ds004447,D2_common_mode_broadband,3,-0.17954545454545456,-0.2522727272727273,-0.11363636363636363,0.00025,22
ds004444,D2_common_mode_broadband,3,-0.06666666666666667,-0.11170833333333333,-0.026666666666666675,0.00025,30
ds004446,D2_common_mode_broadband,3,-0.07000000000000002,-0.14000000000000004,-0.010000000000000009,0.019,5
ds004447,D2_common_mode_broadband,4,-0.06136363636363637,-0.0977840909090909,-0.029545454545454555,0.00025,22
ds004444,D2_common_mode_broadband,4,-0.020000000000000004,-0.041666666666666664,-0.003333333333333336,0.005,30
ds004446,D2_common_mode_broadband,4,-0.010000000000000009,-0.030000000000000027,0.0,0.513,5
ds004447,D3_narrowband_35_45,1,-0.6363636363636362,-0.7272727272727273,-0.5454545454545455,0.00025,22
ds004444,D3_narrowband_35_45,1,-0.24500000000000002,-0.35,-0.15,0.00025,30
ds004446,D3_narrowband_35_45,1,-0.5399999999999999,-0.71,-0.33999999999999997,0.00025,5
ds004447,D3_narrowband_35_45,2,-0.25681818181818183,-0.34318181818181814,-0.17954545454545454,0.00025,22
ds004444,D3_narrowband_35_45,2,-0.10500000000000001,-0.16999999999999998,-0.05166666666666666,0.00025,30
ds004446,D3_narrowband_35_45,2,-0.2,-0.3,-0.1,0.00025,5
ds004447,D3_narrowband_35_45,3,-0.11590909090909092,-0.19318181818181818,-0.05909090909090909,0.00025,22
ds004444,D3_narrowband_35_45,3,-0.04,-0.075,-0.011666666666666669,0.0005,30
ds004446,D3_narrowband_35_45,3,-0.09000000000000001,-0.18,-0.010000000000000009,0.023,5
ds004447,D3_narrowband_35_45,4,-0.07045454545454545,-0.13636363636363635,-0.02272727272727273,0.00025,22
ds004444,D3_narrowband_35_45,4,-0.01666666666666667,-0.03333333333333333,-0.003333333333333336,0.005,30
ds004446,D3_narrowband_35_45,4,-0.040000000000000015,-0.10000000000000002,0.0,0.1525,5
ds004447,D4_narrowband_20_30,1,-0.7795454545454544,-0.840909090909091,-0.7136363636363635,0.00025,22
ds004444,D4_narrowband_20_30,1,-0.5700000000000001,-0.6733333333333333,-0.4616666666666667,0.00025,30
ds004446,D4_narrowband_20_30,1,-0.7,-0.8099999999999999,-0.5900000000000001,0.00025,5
ds004447,D4_narrowband_20_30,2,-0.675,-0.75,-0.6000000000000001,0.00025,22
ds004444,D4_narrowband_20_30,2,-0.44833333333333336,-0.5433749999999999,-0.3516666666666666,0.00025,30
ds004446,D4_narrowband_20_30,2,-0.61,-0.7300000000000001,-0.49000000000000005,0.00025,5
ds004447,D4_narrowband_20_30,3,-0.6113636363636364,-0.6954545454545454,-0.5226704545454542,0.00025,22
ds004444,D4_narrowband_20_30,3,-0.3866666666666667,-0.47500000000000014,-0.29333333333333333,0.00025,30
ds004446,D4_narrowband_20_30,3,-0.54,-0.71,-0.37,0.00025,5
ds004447,D4_narrowband_20_30,4,-0.5522727272727272,-0.65,-0.4522727272727273,0.00025,22
ds004444,D4_narrowband_20_30,4,-0.32166666666666666,-0.39999999999999997,-0.2416249999999998,0.00025,30
ds004446,D4_narrowband_20_30,4,-0.4600000000000001,-0.6799999999999999,-0.27,0.00025,5
ds004447,D5_transient_impulse,1,-0.052272727272727276,-0.08181818181818182,-0.027272727272727282,0.00025,22
ds004444,D5_transient_impulse,1,-0.18999999999999997,-0.24833333333333332,-0.13500000000000004,0.00025,30
ds004446,D5_transient_impulse,1,-0.13,-0.25,-0.04,0.002,5
ds004447,D5_transient_impulse,2,-0.19772727272727275,-0.2386363636363636,-0.15681818181818183,0.00025,22
ds004444,D5_transient_impulse,2,-0.16333333333333336,-0.21,-0.11833333333333333,0.00025,30
ds004446,D5_transient_impulse,2,-0.27,-0.36000000000000004,-0.19,0.00025,5
ds004447,D5_transient_impulse,3,-0.35227272727272724,-0.41590909090909084,-0.29318181818181815,0.00025,22
ds004444,D5_transient_impulse,3,-0.15333333333333332,-0.20833333333333331,-0.10333333333333332,0.00025,30
ds004446,D5_transient_impulse,3,-0.37,-0.5,-0.21000000000000002,0.00025,5
ds004447,D5_transient_impulse,4,-0.17500000000000002,-0.24090909090909085,-0.1159090909090909,0.00025,22
ds004444,D5_transient_impulse,4,-0.04000000000000001,-0.065,-0.02,0.00025,30
ds004446,D5_transient_impulse,4,-0.10000000000000002,-0.21000000000000005,-0.010000000000000009,0.024,5
ds004447,D6_clipping,1,-0.009090909090909092,-0.020454545454545454,0.0,0.082,22
ds004444,D6_clipping,1,-0.08166666666666668,-0.1333333333333333,-0.03666666666666667,0.00025,30
ds004446,D6_clipping,1,-0.030000000000000006,-0.05,-0.01,0.00025,5
ds004447,D6_clipping,2,-0.03636363636363637,-0.07045454545454546,-0.009090909090909092,0.001,22
ds004444,D6_clipping,2,-0.17333333333333334,-0.253375,-0.10000000000000002,0.00025,30
ds004446,D6_clipping,2,-0.1,-0.18,-0.030000000000000006,0.00025,5
ds004447,D6_clipping,3,-0.09545454545454546,-0.16136363636363635,-0.04318181818181818,0.00025,22
ds004444,D6_clipping,3,-0.2516666666666667,-0.3583333333333334,-0.15666666666666668,0.00025,30
ds004446,D6_clipping,3,-0.15000000000000002,-0.3302499999999999,-0.030000000000000006,0.0005,5
ds004447,D6_clipping,4,-0.22727272727272732,-0.31363636363636366,-0.14545454545454545,0.00025,22
ds004444,D6_clipping,4,-0.365,-0.4716666666666667,-0.265,0.00025,30
ds004446,D6_clipping,4,-0.32,-0.5599999999999999,-0.08,0.005,5
ds004447,D7_partial_channel_freeze,1,-0.004545454545454546,-0.011363636363636364,0.0,0.2355,22
ds004444,D7_partial_channel_freeze,1,-0.09166666666666666,-0.13833333333333334,-0.05,0.00025,30
ds004446,D7_partial_channel_freeze,1,0.0,0.0,0.0,1.0,5
ds004447,D7_partial_channel_freeze,2,-0.12045454545454543,-0.16363636363636364,-0.07954545454545456,0.00025,22
ds004444,D7_partial_channel_freeze,2,-0.1766666666666667,-0.22333333333333333,-0.13,0.00025,30
ds004446,D7_partial_channel_freeze,2,-0.13999999999999999,-0.25,-0.04,0.001,5
ds004447,D7_partial_channel_freeze,3,-0.29772727272727273,-0.3613636363636363,-0.23636363636363636,0.00025,22
ds004444,D7_partial_channel_freeze,3,-0.3116666666666667,-0.36166666666666664,-0.26499999999999996,0.00025,30
ds004446,D7_partial_channel_freeze,3,-0.27,-0.41,-0.15,0.00025,5
ds004447,D7_partial_channel_freeze,4,-0.30454545454545456,-0.37045454545454554,-0.23863636363636367,0.00025,22
ds004444,D7_partial_channel_freeze,4,-0.36000000000000004,-0.4183333333333334,-0.3066666666666667,0.00025,30
ds004446,D7_partial_channel_freeze,4,-0.3,-0.43,-0.18,0.00025,5
ds004447,D8_full_channel_variance_collapse,1,-0.10681818181818183,-0.15,-0.06818181818181818,0.00025,22
ds004444,D8_full_channel_variance_collapse,1,-0.115,-0.15833333333333327,-0.07833333333333334,0.00025,30
ds004446,D8_full_channel_variance_collapse,1,-0.12000000000000002,-0.22999999999999998,-0.030000000000000006,0.00025,5
ds004447,D8_full_channel_variance_collapse,2,-0.19545454545454544,-0.24545454545454543,-0.14772727272727273,0.00025,22
ds004444,D8_full_channel_variance_collapse,2,-0.2366666666666667,-0.295,-0.18000000000000005,0.00025,30
ds004446,D8_full_channel_variance_collapse,2,-0.18,-0.2899999999999999,-0.06999999999999999,0.00025,5
ds004447,D8_full_channel_variance_collapse,3,-0.2386363636363636,-0.2931818181818182,-0.18636363636363634,0.00025,22
ds004444,D8_full_channel_variance_collapse,3,-0.325,-0.38170833333333337,-0.26999999999999996,0.00025,30
ds004446,D8_full_channel_variance_collapse,3,-0.25,-0.4,-0.11000000000000001,0.00025,5
ds004447,D8_full_channel_variance_collapse,4,-0.30454545454545456,-0.3704545454545455,-0.23863636363636365,0.00025,22
ds004444,D8_full_channel_variance_collapse,4,-0.3950000000000001,-0.45833333333333337,-0.33833333333333326,0.00025,30
ds004446,D8_full_channel_variance_collapse,4,-0.3,-0.43,-0.18,0.00025,5
ds004447,D9_missing_channel,1,0.0,0.0,0.0,1.0,22
ds004444,D9_missing_channel,1,0.0,0.0,0.0,1.0,30
ds004446,D9_missing_channel,1,0.0,0.0,0.0,1.0,5
