dataset,family,severity,R0_response,R1_response,R2_response,n
ds004444,D0_unchanged,0,0.0,0.0,0.0,600
ds004444,D1_single_channel_broadband,1,0.5083333333333333,0.3616666666666667,0.355,600
ds004444,D1_single_channel_broadband,2,0.6966666666666667,0.5066666666666667,0.51,600
ds004444,D1_single_channel_broadband,3,0.8316666666666667,0.645,0.6383333333333333,600
ds004444,D1_single_channel_broadband,4,0.9066666666666666,0.74,0.7366666666666667,600
ds004444,D2_common_mode_broadband,1,0.8033333333333333,0.595,0.5966666666666667,600
ds004444,D2_common_mode_broadband,2,0.97,0.8033333333333333,0.8133333333333334,600
ds004444,D2_common_mode_broadband,3,0.9983333333333333,0.9316666666666666,0.9366666666666666,600
ds004444,D2_common_mode_broadband,4,1.0,0.98,0.9833333333333333,600
ds004444,D3_narrowband_35_45,1,1.0,0.755,0.8266666666666667,600
ds004444,D3_narrowband_35_45,2,1.0,0.895,0.975,600
ds004444,D3_narrowband_35_45,3,1.0,0.96,1.0,600
ds004444,D3_narrowband_35_45,4,1.0,0.9833333333333333,1.0,600
ds004444,D4_narrowband_20_30,1,0.9966666666666667,0.4266666666666667,0.6333333333333333,600
ds004444,D4_narrowband_20_30,2,1.0,0.5516666666666666,0.805,600
ds004444,D4_narrowband_20_30,3,1.0,0.6133333333333333,0.8683333333333333,600
ds004444,D4_narrowband_20_30,4,1.0,0.6783333333333333,0.9083333333333333,600
ds004444,D5_transient_impulse,1,0.535,0.345,0.34833333333333333,600
ds004444,D5_transient_impulse,2,0.7,0.5366666666666666,0.5383333333333333,600
ds004444,D5_transient_impulse,3,0.915,0.7616666666666667,0.7716666666666666,600
ds004444,D5_transient_impulse,4,1.0,0.96,0.9683333333333334,600
ds004444,D6_clipping,1,0.08166666666666667,0.0,0.0,600
ds004444,D6_clipping,2,0.17333333333333334,0.0,0.0,600
ds004444,D6_clipping,3,0.25166666666666665,0.0,0.0,600
ds004444,D6_clipping,4,0.365,0.0,0.0,600
ds004444,D7_partial_channel_freeze,1,0.19333333333333333,0.10166666666666667,0.10666666666666667,600
ds004444,D7_partial_channel_freeze,2,0.33666666666666667,0.16,0.16333333333333333,600
ds004444,D7_partial_channel_freeze,3,0.39666666666666667,0.085,0.08833333333333333,600
ds004444,D7_partial_channel_freeze,4,0.3616666666666667,0.0016666666666666668,0.008333333333333333,600
ds004444,D8_full_channel_variance_collapse,1,0.115,0.0,0.0,600
ds004444,D8_full_channel_variance_collapse,2,0.23666666666666666,0.0,0.0,600
ds004444,D8_full_channel_variance_collapse,3,0.325,0.0,0.0,600
ds004444,D8_full_channel_variance_collapse,4,0.39666666666666667,0.0016666666666666668,0.0,600
ds004444,D9_missing_channel,1,1.0,1.0,1.0,600
ds004446,D0_unchanged,0,0.0,0.0,0.0,100
ds004446,D1_single_channel_broadband,1,0.12,0.01,0.0,100
ds004446,D1_single_channel_broadband,2,0.4,0.13,0.06,100
ds004446,D1_single_channel_broadband,3,0.61,0.28,0.24,100
ds004446,D1_single_channel_broadband,4,0.83,0.43,0.46,100
ds004446,D2_common_mode_broadband,1,0.67,0.14,0.12,100
ds004446,D2_common_mode_broadband,2,0.94,0.62,0.63,100
ds004446,D2_common_mode_broadband,3,0.96,0.89,0.89,100
ds004446,D2_common_mode_broadband,4,1.0,0.99,0.99,100
ds004446,D3_narrowband_35_45,1,1.0,0.46,0.57,100
ds004446,D3_narrowband_35_45,2,1.0,0.8,0.94,100
ds004446,D3_narrowband_35_45,3,1.0,0.91,1.0,100
ds004446,D3_narrowband_35_45,4,1.0,0.96,1.0,100
ds004446,D4_narrowband_20_30,1,1.0,0.3,0.45,100
ds004446,D4_narrowband_20_30,2,1.0,0.39,0.67,100
ds004446,D4_narrowband_20_30,3,1.0,0.46,0.74,100
ds004446,D4_narrowband_20_30,4,1.0,0.54,0.77,100
ds004446,D5_transient_impulse,1,0.14,0.01,0.01,100
ds004446,D5_transient_impulse,2,0.41,0.14,0.1,100
ds004446,D5_transient_impulse,3,0.85,0.48,0.5,100
ds004446,D5_transient_impulse,4,1.0,0.9,0.9,100
ds004446,D6_clipping,1,0.03,0.0,0.0,100
ds004446,D6_clipping,2,0.1,0.0,0.0,100
ds004446,D6_clipping,3,0.15,0.0,0.0,100
ds004446,D6_clipping,4,0.32,0.0,0.0,100
