dataset,subject,family,severity,R0_response,R1_response,R2_response,n
ds004444,sub-001,D0_unchanged,0,0.0,0.0,0.0,20
ds004444,sub-001,D1_single_channel_broadband,1,0.15,0.0,0.0,20
ds004444,sub-001,D1_single_channel_broadband,2,0.35,0.1,0.1,20
ds004444,sub-001,D1_single_channel_broadband,3,0.65,0.3,0.35,20
ds004444,sub-001,D1_single_channel_broadband,4,0.95,0.55,0.5,20
ds004444,sub-001,D2_common_mode_broadband,1,0.65,0.3,0.25,20
ds004444,sub-001,D2_common_mode_broadband,2,1.0,0.95,1.0,20
ds004444,sub-001,D2_common_mode_broadband,3,1.0,1.0,1.0,20
ds004444,sub-001,D2_common_mode_broadband,4,1.0,1.0,1.0,20
ds004444,sub-001,D3_narrowband_35_45,1,1.0,0.9,1.0,20
ds004444,sub-001,D3_narrowband_35_45,2,1.0,1.0,1.0,20
ds004444,sub-001,D3_narrowband_35_45,3,1.0,1.0,1.0,20
ds004444,sub-001,D3_narrowband_35_45,4,1.0,1.0,1.0,20
ds004444,sub-001,D4_narrowband_20_30,1,1.0,0.5,0.75,20
ds004444,sub-001,D4_narrowband_20_30,2,1.0,0.55,0.9,20
ds004444,sub-001,D4_narrowband_20_30,3,1.0,0.65,0.9,20
ds004444,sub-001,D4_narrowband_20_30,4,1.0,0.65,1.0,20
ds004444,sub-001,D5_transient_impulse,1,0.25,0.0,0.0,20
ds004444,sub-001,D5_transient_impulse,2,0.4,0.15,0.15,20
ds004444,sub-001,D5_transient_impulse,3,0.95,0.8,0.75,20
ds004444,sub-001,D5_transient_impulse,4,1.0,0.95,1.0,20
ds004444,sub-001,D6_clipping,1,0.0,0.0,0.0,20
ds004444,sub-001,D6_clipping,2,0.05,0.0,0.0,20
ds004444,sub-001,D6_clipping,3,0.1,0.0,0.0,20
ds004444,sub-001,D6_clipping,4,0.0,0.0,0.0,20
ds004444,sub-001,D7_partial_channel_freeze,1,0.05,0.0,0.0,20
ds004444,sub-001,D7_partial_channel_freeze,2,0.25,0.05,0.0,20
ds004444,sub-001,D7_partial_channel_freeze,3,0.5,0.0,0.0,20
ds004444,sub-001,D7_partial_channel_freeze,4,0.6,0.0,0.0,20
ds004444,sub-001,D8_full_channel_variance_collapse,1,0.1,0.0,0.0,20
ds004444,sub-001,D8_full_channel_variance_collapse,2,0.3,0.0,0.0,20
ds004444,sub-001,D8_full_channel_variance_collapse,3,0.5,0.0,0.0,20
ds004444,sub-001,D8_full_channel_variance_collapse,4,0.6,0.0,0.0,20
ds004444,sub-001,D9_missing_channel,1,1.0,1.0,1.0,20
ds004444,sub-002,D0_unchanged,0,0.0,0.0,0.0,20
ds004444,sub-002,D1_single_channel_broadband,1,0.1,0.05,0.05,20
ds004444,sub-002,D1_single_channel_broadband,2,0.35,0.1,0.1,20
ds004444,sub-002,D1_single_channel_broadband,3,0.4,0.1,0.1,20
ds004444,sub-002,D1_single_channel_broadband,4,0.65,0.1,0.1,20
ds004444,sub-002,D2_common_mode_broadband,1,0.45,0.1,0.1,20
