family,severity,R0_response,R1_response,R2_response
D1_single_channel_broadband,1,0.3096491228070175,0.193859649122807,0.187719298245614
D1_single_channel_broadband,2,0.4894736842105263,0.3017543859649123,0.2912280701754386
D1_single_channel_broadband,3,0.6771929824561403,0.4307017543859649,0.4184210526315789
D1_single_channel_broadband,4,0.8043859649122806,0.5421052631578948,0.5350877192982456
D2_common_mode_broadband,1,0.6228070175438597,0.3552631578947368,0.3456140350877193
D2_common_mode_broadband,2,0.913157894736842,0.6456140350877193,0.6429824561403509
D2_common_mode_broadband,3,0.986842105263158,0.8763157894736842,0.8807017543859649
D2_common_mode_broadband,4,0.9956140350877192,0.9605263157894736,0.9666666666666668
D3_narrowband_35_45,1,1.0,0.5780701754385965,0.7
D3_narrowband_35_45,2,1.0,0.8280701754385965,0.9614035087719298
D3_narrowband_35_45,3,1.0,0.9263157894736842,0.9973684210526316
D3_narrowband_35_45,4,1.0,0.9605263157894736,1.0
D4_narrowband_20_30,1,0.9956140350877192,0.3333333333333333,0.5078947368421053
D4_narrowband_20_30,2,1.0,0.45,0.7052631578947368
D4_narrowband_20_30,3,1.0,0.5131578947368421,0.7666666666666667
D4_narrowband_20_30,4,1.0,0.5771929824561404,0.8140350877192982
D5_transient_impulse,1,0.3149122807017543,0.1833333333333333,0.1859649122807017
D5_transient_impulse,2,0.5017543859649123,0.3157894736842105,0.306140350877193
D5_transient_impulse,3,0.8140350877192982,0.5649122807017544,0.5631578947368421
D5_transient_impulse,4,0.9859649122807016,0.8885964912280702,0.9017543859649124
D6_clipping,1,0.0491228070175438,0.0,0.0
D6_clipping,2,0.1140350877192982,0.0,0.0
D6_clipping,3,0.1824561403508772,0.0,0.0
D6_clipping,4,0.3078947368421053,0.0,0.0
D7_partial_channel_freeze,1,0.1035087719298245,0.0535087719298245,0.0561403508771929
D7_partial_channel_freeze,2,0.2359649122807017,0.0842105263157894,0.0868421052631579
D7_partial_channel_freeze,3,0.3482456140350877,0.0456140350877193,0.0473684210526315
D7_partial_channel_freeze,4,0.3359649122807017,0.0026315789473684,0.0061403508771929
D8_full_channel_variance_collapse,1,0.1122807017543859,0.0,0.0
D8_full_channel_variance_collapse,2,0.2157894736842105,0.0,0.0008771929824561
D8_full_channel_variance_collapse,3,0.2850877192982456,0.0,0.0008771929824561
D8_full_channel_variance_collapse,4,0.3543859649122807,0.0026315789473684,0.0017543859649122
