dataset,participant,session,method,accepted_set_jaccard
ds004444,sub-001,ses-01,R0_ORIGINAL_AND,0.5808823529411765
ds004444,sub-001,ses-01,R1_MEAN_PERCENTILE,0.9
ds004444,sub-001,ses-01,R2_RMS_PERCENTILE,0.8672566371681416
ds004444,sub-001,ses-01,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.835820895522388
ds004444,sub-001,ses-16,R0_ORIGINAL_AND,0.6030534351145038
ds004444,sub-001,ses-16,R1_MEAN_PERCENTILE,0.8316831683168316
ds004444,sub-001,ses-16,R2_RMS_PERCENTILE,0.8407960199004975
ds004444,sub-001,ses-16,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.8324873096446701
ds004444,sub-002,ses-01,R0_ORIGINAL_AND,0.8878504672897196
ds004444,sub-002,ses-01,R1_MEAN_PERCENTILE,0.9747899159663865
ds004444,sub-002,ses-01,R2_RMS_PERCENTILE,0.9747899159663865
ds004444,sub-002,ses-01,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.9061032863849765
ds004444,sub-002,ses-16,R0_ORIGINAL_AND,0.8514851485148515
ds004444,sub-002,ses-16,R1_MEAN_PERCENTILE,0.9873417721518988
ds004444,sub-002,ses-16,R2_RMS_PERCENTILE,0.9915966386554622
ds004444,sub-002,ses-16,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.8865979381443299
ds004444,sub-003,ses-01,R0_ORIGINAL_AND,0.6595744680851063
ds004444,sub-003,ses-01,R1_MEAN_PERCENTILE,0.9444444444444444
ds004444,sub-003,ses-01,R2_RMS_PERCENTILE,0.9444444444444444
ds004444,sub-003,ses-01,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.8186274509803921
ds004444,sub-003,ses-16,R0_ORIGINAL_AND,0.7711864406779662
ds004444,sub-003,ses-16,R1_MEAN_PERCENTILE,0.9365853658536586
ds004444,sub-003,ses-16,R2_RMS_PERCENTILE,0.961352657004831
ds004444,sub-003,ses-16,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.8947368421052632
ds004444,sub-004,ses-01,R0_ORIGINAL_AND,0.8971428571428571
ds004444,sub-004,ses-01,R1_MEAN_PERCENTILE,0.9829059829059829
ds004444,sub-004,ses-01,R2_RMS_PERCENTILE,0.987012987012987
ds004444,sub-004,ses-01,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.7837837837837838
ds004444,sub-004,ses-16,R0_ORIGINAL_AND,0.7761194029850746
ds004444,sub-004,ses-16,R1_MEAN_PERCENTILE,0.960352422907489
ds004444,sub-004,ses-16,R2_RMS_PERCENTILE,0.9553571428571429
ds004444,sub-004,ses-16,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.745
ds004444,sub-005,ses-01,R0_ORIGINAL_AND,0.6758241758241759
ds004444,sub-005,ses-01,R1_MEAN_PERCENTILE,0.9017857142857143
ds004444,sub-005,ses-01,R2_RMS_PERCENTILE,0.9234234234234234
ds004444,sub-005,ses-01,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.6394230769230769
ds004444,sub-005,ses-16,R0_ORIGINAL_AND,0.31007751937984496
ds004444,sub-005,ses-16,R1_MEAN_PERCENTILE,0.8238095238095238
ds004444,sub-005,ses-16,R2_RMS_PERCENTILE,0.835
ds004444,sub-005,ses-16,R3_ROBUST_MAHALANOBIS_PERCENTILE,0.285
ds004444,sub-006,ses-01,R0_ORIGINAL_AND,0.7772277227722773
