family,severity,n,R0_response,R1_response,R2_response,R1_ci_low,R1_ci_high,R1_minus_R0
D1_single_channel_broadband,1,1140,0.3096491228070175,0.193859649122807,0.187719298245614,0.1144517543859649,0.2842543859649122,-0.1157894736842105
D1_single_channel_broadband,2,1140,0.4894736842105263,0.3017543859649123,0.2912280701754386,0.2131140350877192,0.4061842105263157,-0.187719298245614
D1_single_channel_broadband,3,1140,0.6771929824561403,0.4307017543859649,0.4184210526315789,0.3407675438596491,0.5127412280701754,-0.2464912280701754
D1_single_channel_broadband,4,1140,0.8043859649122806,0.5421052631578948,0.5350877192982456,0.465328947368421,0.6190131578947368,-0.2622807017543859
D2_common_mode_broadband,1,1140,0.6228070175438597,0.3552631578947368,0.3456140350877193,0.261359649122807,0.4627412280701754,-0.2675438596491228
D2_common_mode_broadband,2,1140,0.913157894736842,0.6456140350877193,0.6429824561403509,0.5666666666666667,0.7193421052631579,-0.2675438596491227
D2_common_mode_broadband,3,1140,0.986842105263158,0.8763157894736842,0.8807017543859649,0.8293640350877193,0.9149122807017545,-0.1105263157894737
D2_common_mode_broadband,4,1140,0.9956140350877192,0.9605263157894736,0.9666666666666668,0.9407675438596492,0.9789473684210528,-0.0350877192982456
D3_narrowband_35_45,1,1140,1.0,0.5780701754385965,0.7,0.4969078947368421,0.6623684210526315,-0.4219298245614035
D3_narrowband_35_45,2,1140,1.0,0.8280701754385965,0.9614035087719298,0.7811184210526315,0.8763157894736842,-0.1719298245614035
D3_narrowband_35_45,3,1140,1.0,0.9263157894736842,0.9973684210526316,0.8885964912280702,0.95484649122807,-0.0736842105263158
D3_narrowband_35_45,4,1140,1.0,0.9605263157894736,1.0,0.9333333333333332,0.980701754385965,-0.0394736842105263
D4_narrowband_20_30,1,1140,0.9956140350877192,0.3333333333333333,0.5078947368421053,0.2675438596491228,0.4035087719298245,-0.6622807017543859
D4_narrowband_20_30,2,1140,1.0,0.45,0.7052631578947368,0.3798245614035088,0.5083552631578947,-0.55
D4_narrowband_20_30,3,1140,1.0,0.5131578947368421,0.7666666666666667,0.4482017543859649,0.5807017543859649,-0.4868421052631578
D4_narrowband_20_30,4,1140,1.0,0.5771929824561404,0.8140350877192982,0.515328947368421,0.6403947368421052,-0.4228070175438596
D5_transient_impulse,1,1140,0.3149122807017543,0.1833333333333333,0.1859649122807017,0.1082675438596491,0.2799122807017543,-0.131578947368421
D5_transient_impulse,2,1140,0.5017543859649123,0.3157894736842105,0.306140350877193,0.2228070175438596,0.4149561403508772,-0.1859649122807017
D5_transient_impulse,3,1140,0.8140350877192982,0.5649122807017544,0.5631578947368421,0.4890131578947368,0.6408114035087719,-0.2491228070175438
D5_transient_impulse,4,1140,0.9859649122807016,0.8885964912280702,0.9017543859649124,0.8473684210526315,0.9258991228070176,-0.0973684210526315
D6_clipping,1,1140,0.0491228070175438,0.0,0.0,0.0,0.0,-0.0491228070175438
D6_clipping,2,1140,0.1140350877192982,0.0,0.0,0.0,0.0,-0.1140350877192982
D6_clipping,3,1140,0.1824561403508772,0.0,0.0,0.0,0.0,-0.1824561403508772
D6_clipping,4,1140,0.3078947368421053,0.0,0.0,0.0,0.0,-0.3078947368421053
D7_partial_channel_freeze,1,1140,0.1035087719298245,0.0535087719298245,0.0561403508771929,0.0139912280701754,0.1017543859649122,-0.05
D7_partial_channel_freeze,2,1140,0.2359649122807017,0.0842105263157894,0.0868421052631579,0.0271929824561403,0.1509210526315789,-0.1517543859649123
D7_partial_channel_freeze,3,1140,0.3482456140350877,0.0456140350877193,0.0473684210526315,0.0118201754385964,0.0899342105263157,-0.3026315789473683
D7_partial_channel_freeze,4,1140,0.3359649122807017,0.0026315789473684,0.0061403508771929,0.0,0.0061403508771929,-0.3333333333333333
D8_full_channel_variance_collapse,1,1140,0.1122807017543859,0.0,0.0,0.0,0.0,-0.1122807017543859
D8_full_channel_variance_collapse,2,1140,0.2157894736842105,0.0,0.0008771929824561,0.0,0.0,-0.2157894736842105
D8_full_channel_variance_collapse,3,1140,0.2850877192982456,0.0,0.0008771929824561,0.0,0.0,-0.2850877192982456
D8_full_channel_variance_collapse,4,1140,0.3543859649122807,0.0026315789473684,0.0017543859649122,0.0,0.0061403508771929,-0.3517543859649122
