estimator,cardinality,n_rows,median_observed_jaccard,obs_ci_low,obs_ci_high,median_predicted_jaccard,median_acceptance_proportion,median_overall_agreement,median_positive_agreement,median_negative_agreement,median_acceptance_flips,median_mutual_withholding_fraction
empirical,1,570,0.9152164043583535,0.9020408163265307,0.9295922939068101,0.9152164043583535,0.8793103448275863,0.9211309523809523,0.9557315840501681,0.6407547169811321,13.0,0.06160714285714286
empirical,2,1140,0.8181784107946027,0.7932792912054611,0.8447980270782911,0.8107902860105486,0.7833333333333333,0.85,0.8999977323748838,0.6455620116209176,27.0,0.125
empirical,3,1140,0.7458809460536806,0.7087329853149241,0.7806114093437585,0.7190150466230352,0.7041666666666666,0.8083333333333333,0.8544463818657367,0.6710301893228723,34.5,0.18333333333333332
empirical,4,570,0.6910736322501028,0.6333125750300119,0.7262198529679038,0.6322165260171584,0.6461925287356323,0.775,0.817318757192175,0.6918248945147679,40.0,0.24166666666666667
empirical,5,114,0.6295398083520644,0.564659977703456,0.6909926470588235,0.560779464928419,0.5804597701149425,0.75625,0.772654370489174,0.711864406779661,44.5,0.28273809523809523
hd,1,570,0.921395881006865,0.9092413384567801,0.9310344827586207,0.9213958810068652,0.8916666666666666,0.925,0.9590900638442943,0.6405128205128205,12.0,0.05416666666666667
hd,2,1140,0.8325557171068336,0.8038685744568098,0.8558136261261261,0.8230822488246341,0.8041666666666667,0.8583333333333333,0.9086279983457403,0.631578947368421,26.0,0.11071428571428571
hd,3,1140,0.7645109511727852,0.7297100498556809,0.792206390328152,0.7357342234554896,0.7270833333333333,0.8130296610169492,0.8665413846435284,0.6593406593406593,34.0,0.16666666666666666
hd,4,570,0.7028853914447135,0.6622607886655634,0.7477759009009008,0.6556444255958824,0.6733227401129943,0.7833333333333333,0.8255227359704972,0.6790915395284327,39.0,0.22083333333333333
hd,5,114,0.6523809523809524,0.5955908540494337,0.6947368421052632,0.587040173784694,0.6113916256157635,0.7690373563218391,0.7896181630546956,0.6896551724137931,43.0,0.2577380952380952
