session_key,status,checkpoint,rows
ds004444_sub-001_ses-01,computed,ds004444_sub-001_ses-01.parquet,92
ds004444_sub-001_ses-16,computed,ds004444_sub-001_ses-16.parquet,92
ds004444_sub-002_ses-01,computed,ds004444_sub-002_ses-01.parquet,92
ds004444_sub-002_ses-16,computed,ds004444_sub-002_ses-16.parquet,92
ds004444_sub-003_ses-01,computed,ds004444_sub-003_ses-01.parquet,92
ds004444_sub-003_ses-16,computed,ds004444_sub-003_ses-16.parquet,92
ds004444_sub-004_ses-01,computed,ds004444_sub-004_ses-01.parquet,92
ds004444_sub-004_ses-16,computed,ds004444_sub-004_ses-16.parquet,92
ds004444_sub-005_ses-01,computed,ds004444_sub-005_ses-01.parquet,92
ds004444_sub-005_ses-16,computed,ds004444_sub-005_ses-16.parquet,92
ds004444_sub-006_ses-01,computed,ds004444_sub-006_ses-01.parquet,92
ds004444_sub-006_ses-16,computed,ds004444_sub-006_ses-16.parquet,92
ds004444_sub-007_ses-01,computed,ds004444_sub-007_ses-01.parquet,92
ds004444_sub-007_ses-16,computed,ds004444_sub-007_ses-16.parquet,92
ds004444_sub-008_ses-01,computed,ds004444_sub-008_ses-01.parquet,92
ds004444_sub-008_ses-16,computed,ds004444_sub-008_ses-16.parquet,92
ds004444_sub-009_ses-01,computed,ds004444_sub-009_ses-01.parquet,92
ds004444_sub-009_ses-16,computed,ds004444_sub-009_ses-16.parquet,92
ds004444_sub-010_ses-01,computed,ds004444_sub-010_ses-01.parquet,92
ds004444_sub-010_ses-16,computed,ds004444_sub-010_ses-16.parquet,92
ds004444_sub-011_ses-01,computed,ds004444_sub-011_ses-01.parquet,92
ds004444_sub-011_ses-16,computed,ds004444_sub-011_ses-16.parquet,92
ds004444_sub-012_ses-01,computed,ds004444_sub-012_ses-01.parquet,92
ds004444_sub-012_ses-16,computed,ds004444_sub-012_ses-16.parquet,92
ds004444_sub-013_ses-01,computed,ds004444_sub-013_ses-01.parquet,92
ds004444_sub-013_ses-16,computed,ds004444_sub-013_ses-16.parquet,92
ds004444_sub-014_ses-01,computed,ds004444_sub-014_ses-01.parquet,92
ds004444_sub-014_ses-16,computed,ds004444_sub-014_ses-16.parquet,92
ds004444_sub-015_ses-01,computed,ds004444_sub-015_ses-01.parquet,92
ds004444_sub-015_ses-16,computed,ds004444_sub-015_ses-16.parquet,92
ds004444_sub-016_ses-01,computed,ds004444_sub-016_ses-01.parquet,92
ds004444_sub-016_ses-16,computed,ds004444_sub-016_ses-16.parquet,92
ds004444_sub-017_ses-01,computed,ds004444_sub-017_ses-01.parquet,92
ds004444_sub-017_ses-16,computed,ds004444_sub-017_ses-16.parquet,92
ds004444_sub-018_ses-01,computed,ds004444_sub-018_ses-01.parquet,92
ds004444_sub-018_ses-16,computed,ds004444_sub-018_ses-16.parquet,92
ds004444_sub-019_ses-01,computed,ds004444_sub-019_ses-01.parquet,92
ds004444_sub-019_ses-16,computed,ds004444_sub-019_ses-16.parquet,92
ds004444_sub-020_ses-01,computed,ds004444_sub-020_ses-01.parquet,92
ds004444_sub-020_ses-08,computed,ds004444_sub-020_ses-08.parquet,92
ds004444_sub-021_ses-01,computed,ds004444_sub-021_ses-01.parquet,92
ds004444_sub-021_ses-16,computed,ds004444_sub-021_ses-16.parquet,92
ds004444_sub-022_ses-01,computed,ds004444_sub-022_ses-01.parquet,92
ds004444_sub-022_ses-16,computed,ds004444_sub-022_ses-16.parquet,92
ds004444_sub-023_ses-01,computed,ds004444_sub-023_ses-01.parquet,92
ds004444_sub-023_ses-16,computed,ds004444_sub-023_ses-16.parquet,92
ds004444_sub-024_ses-01,computed,ds004444_sub-024_ses-01.parquet,92
ds004444_sub-024_ses-16,computed,ds004444_sub-024_ses-16.parquet,92
ds004444_sub-025_ses-01,computed,ds004444_sub-025_ses-01.parquet,92
ds004444_sub-025_ses-16,computed,ds004444_sub-025_ses-16.parquet,92
ds004444_sub-026_ses-01,computed,ds004444_sub-026_ses-01.parquet,92
ds004444_sub-026_ses-16,computed,ds004444_sub-026_ses-16.parquet,92
ds004444_sub-027_ses-01,computed,ds004444_sub-027_ses-01.parquet,92
ds004444_sub-027_ses-16,computed,ds004444_sub-027_ses-16.parquet,92
ds004444_sub-028_ses-01,computed,ds004444_sub-028_ses-01.parquet,92
ds004444_sub-028_ses-16,computed,ds004444_sub-028_ses-16.parquet,92
ds004444_sub-029_ses-01,computed,ds004444_sub-029_ses-01.parquet,92
ds004444_sub-029_ses-16,computed,ds004444_sub-029_ses-16.parquet,92
ds004444_sub-030_ses-01,computed,ds004444_sub-030_ses-01.parquet,92
ds004444_sub-030_ses-16,computed,ds004444_sub-030_ses-16.parquet,92
ds004446_sub-004_ses-01,computed,ds004446_sub-004_ses-01.parquet,92
ds004446_sub-004_ses-08,computed,ds004446_sub-004_ses-08.parquet,92
ds004446_sub-005_ses-01,computed,ds004446_sub-005_ses-01.parquet,92
ds004446_sub-005_ses-08,computed,ds004446_sub-005_ses-08.parquet,92
ds004446_sub-012_ses-01,computed,ds004446_sub-012_ses-01.parquet,92
ds004446_sub-012_ses-08,computed,ds004446_sub-012_ses-08.parquet,92
ds004446_sub-013_ses-01,computed,ds004446_sub-013_ses-01.parquet,92
ds004446_sub-013_ses-08,computed,ds004446_sub-013_ses-08.parquet,92
ds004446_sub-018_ses-01,computed,ds004446_sub-018_ses-01.parquet,92
ds004446_sub-018_ses-08,computed,ds004446_sub-018_ses-08.parquet,92
ds004447_sub-001_ses-01,computed,ds004447_sub-001_ses-01.parquet,92
ds004447_sub-001_ses-19,computed,ds004447_sub-001_ses-19.parquet,92
ds004447_sub-002_ses-01,computed,ds004447_sub-002_ses-01.parquet,92
ds004447_sub-002_ses-19,computed,ds004447_sub-002_ses-19.parquet,92
ds004447_sub-003_ses-01,computed,ds004447_sub-003_ses-01.parquet,92
ds004447_sub-003_ses-19,computed,ds004447_sub-003_ses-19.parquet,92
ds004447_sub-004_ses-01,computed,ds004447_sub-004_ses-01.parquet,92
ds004447_sub-004_ses-19,computed,ds004447_sub-004_ses-19.parquet,92
ds004447_sub-005_ses-01,computed,ds004447_sub-005_ses-01.parquet,92
ds004447_sub-005_ses-19,computed,ds004447_sub-005_ses-19.parquet,92
ds004447_sub-006_ses-01,computed,ds004447_sub-006_ses-01.parquet,92
ds004447_sub-006_ses-19,computed,ds004447_sub-006_ses-19.parquet,92
ds004447_sub-007_ses-01,computed,ds004447_sub-007_ses-01.parquet,92
ds004447_sub-007_ses-19,computed,ds004447_sub-007_ses-19.parquet,92
ds004447_sub-008_ses-01,computed,ds004447_sub-008_ses-01.parquet,92
ds004447_sub-008_ses-19,computed,ds004447_sub-008_ses-19.parquet,92
ds004447_sub-009_ses-01,computed,ds004447_sub-009_ses-01.parquet,92
ds004447_sub-009_ses-19,computed,ds004447_sub-009_ses-19.parquet,92
ds004447_sub-010_ses-01,computed,ds004447_sub-010_ses-01.parquet,92
ds004447_sub-010_ses-19,computed,ds004447_sub-010_ses-19.parquet,92
ds004447_sub-011_ses-01,computed,ds004447_sub-011_ses-01.parquet,92
ds004447_sub-011_ses-19,computed,ds004447_sub-011_ses-19.parquet,92
ds004447_sub-012_ses-01,computed,ds004447_sub-012_ses-01.parquet,92
ds004447_sub-012_ses-19,computed,ds004447_sub-012_ses-19.parquet,92
ds004447_sub-013_ses-01,computed,ds004447_sub-013_ses-01.parquet,92
ds004447_sub-013_ses-20,computed,ds004447_sub-013_ses-20.parquet,92
ds004447_sub-014_ses-01,computed,ds004447_sub-014_ses-01.parquet,92
