dataset,criterion,median_p_j1,median_p_j2,median_q_j,median_reproducibility_r_j,n_sessions
ds004444,Q1_high_beta,0.7916666666666666,0.8729166666666667,0.7854166666666667,0.9020633536762569,60
ds004444,Q2_broadband,0.8458333333333333,0.9166666666666666,0.8416666666666667,0.922748538011696,60
ds004444,Q3_high_freq_35_45,0.8604166666666666,0.8958333333333334,0.8125,0.9060380076201097,60
ds004444,Q4_transient,0.9916666666666667,1.0,0.9875,0.9916666666666667,60
ds004444,Q5_channel_inconsistency,0.8166666666666667,0.8208333333333333,0.6979166666666666,0.8541278065630397,60
ds004446,Q1_high_beta,0.8803571428571428,0.8446428571428571,0.825,0.979296861660349,10
ds004446,Q2_broadband,0.875,0.9267857142857143,0.8714285714285714,0.9437217448579385,10
ds004446,Q3_high_freq_35_45,0.9321428571428572,0.9107142857142858,0.8892857142857142,0.9249020554167613,10
ds004446,Q4_transient,0.9964285714285714,0.9964285714285714,0.9892857142857143,0.9910586277521762,10
ds004446,Q5_channel_inconsistency,0.8625,0.8910714285714285,0.8125,0.9032897064025469,10
ds004447,Q1_high_beta,0.925,0.8389367816091954,0.830603448275862,0.8949579831932772,44
ds004447,Q2_broadband,0.8941091954022988,0.8686781609195402,0.8362068965517241,0.9362104039523395,44
ds004447,Q3_high_freq_35_45,0.9572618351841029,0.8235169491525424,0.8189655172413793,0.885632183908046,44
ds004447,Q4_transient,1.0,0.9916666666666667,0.9916666666666667,1.0,44
ds004447,Q5_channel_inconsistency,0.8739406779661016,0.8125,0.7458333333333333,0.8379120879120878,44
pooled,Q1_high_beta,0.8728448275862069,0.8482142857142857,0.7958333333333333,0.9128438801283365,114
pooled,Q2_broadband,0.8666666666666667,0.9041666666666667,0.8416666666666667,0.9319732210892993,114
pooled,Q3_high_freq_35_45,0.9166666666666666,0.85625,0.8198994252873564,0.8999999999999999,114
pooled,Q4_transient,1.0,0.9982142857142857,0.9892857142857143,0.9916666666666667,114
pooled,Q5_channel_inconsistency,0.8550494350282486,0.8270833333333334,0.7375,0.8508479288295803,114
