criterion_a,criterion_b,median_feature_corr,median_passind_corr
Q1_high_beta,Q2_broadband,0.20714940121521566,0.1284653137917951
Q1_high_beta,Q3_high_freq_35_45,0.17094524899745775,0.10458232618299686
Q1_high_beta,Q4_transient,0.14520659079112977,0.08892682312214167
Q1_high_beta,Q5_channel_inconsistency,0.2732210041623493,0.15021779196398702
Q2_broadband,Q3_high_freq_35_45,0.11557592789993049,0.09453960519616716
Q2_broadband,Q4_transient,0.35275008906191785,0.17171306064826014
Q2_broadband,Q5_channel_inconsistency,0.34213723789480993,0.2388517069752658
Q3_high_freq_35_45,Q4_transient,0.20846189171291138,0.1316511587016042
Q3_high_freq_35_45,Q5_channel_inconsistency,0.16202810944173635,0.1066003581778054
Q4_transient,Q5_channel_inconsistency,0.20477762401552405,0.09924419302614096
