subset_id,criteria,cardinality,median_observed_jaccard,median_predicted_jaccard
Q1,Q1_high_beta,1.0,0.9128438801283364,0.9128438801283364
Q12,Q1_high_beta+Q2_broadband,2.0,0.8336706469675504,0.8297574844180822
Q123,Q1_high_beta+Q2_broadband+Q3_high_freq_35_45,3.0,0.7542275432900434,0.7149449697003329
Q1234,Q1_high_beta+Q2_broadband+Q3_high_freq_35_45+Q4_transient,4.0,0.7364182692307693,0.6999891863678696
Q12345,Q1_high_beta+Q2_broadband+Q3_high_freq_35_45+Q4_transient+Q5_channel_inconsistency,5.0,0.6295398083520644,0.560779464928419
Q1235,Q1_high_beta+Q2_broadband+Q3_high_freq_35_45+Q5_channel_inconsistency,4.0,0.632632166790767,0.56372934344341
Q124,Q1_high_beta+Q2_broadband+Q4_transient,3.0,0.8202887537993921,0.8146627821421333
Q1245,Q1_high_beta+Q2_broadband+Q4_transient+Q5_channel_inconsistency,4.0,0.704324450677887,0.6417070461189398
Q125,Q1_high_beta+Q2_broadband+Q5_channel_inconsistency,3.0,0.7089923256589923,0.6612312148035655
Q13,Q1_high_beta+Q3_high_freq_35_45,2.0,0.8140881248765066,0.811764207387115
Q134,Q1_high_beta+Q3_high_freq_35_45+Q4_transient,3.0,0.791284931632982,0.7761396073187998
Q1345,Q1_high_beta+Q3_high_freq_35_45+Q4_transient+Q5_channel_inconsistency,4.0,0.6673940716493908,0.6304091811780373
Q135,Q1_high_beta+Q3_high_freq_35_45+Q5_channel_inconsistency,3.0,0.670940170940171,0.6362896393627803
Q14,Q1_high_beta+Q4_transient,2.0,0.8789452495974235,0.8789452495974235
Q145,Q1_high_beta+Q4_transient+Q5_channel_inconsistency,3.0,0.7305768933340206,0.7170700521127664
Q15,Q1_high_beta+Q5_channel_inconsistency,2.0,0.7550020008003201,0.7386370750793538
Q2,Q2_broadband,1.0,0.9319732210892993,0.9319732210892993
Q23,Q2_broadband+Q3_high_freq_35_45,2.0,0.8164050513395491,0.8044376661221697
Q234,Q2_broadband+Q3_high_freq_35_45+Q4_transient,3.0,0.8148148148148148,0.7929204682477952
Q2345,Q2_broadband+Q3_high_freq_35_45+Q4_transient+Q5_channel_inconsistency,4.0,0.6933088470137336,0.6247107000281757
Q235,Q2_broadband+Q3_high_freq_35_45+Q5_channel_inconsistency,3.0,0.696928354252748,0.6462596708957025
Q24,Q2_broadband+Q4_transient,2.0,0.915880503144654,0.9108140487843648
Q245,Q2_broadband+Q4_transient+Q5_channel_inconsistency,3.0,0.7483333333333333,0.733508730207673
Q25,Q2_broadband+Q5_channel_inconsistency,2.0,0.7601836509251587,0.7431308777387291
Q3,Q3_high_freq_35_45,1.0,0.9,0.8999999999999999
Q34,Q3_high_freq_35_45+Q4_transient,2.0,0.887659210935073,0.8853603603603604
Q345,Q3_high_freq_35_45+Q4_transient+Q5_channel_inconsistency,3.0,0.7192982456140351,0.7024646884550483
Q35,Q3_high_freq_35_45+Q5_channel_inconsistency,2.0,0.7280701754385965,0.7114933918410551
Q4,Q4_transient,1.0,0.9916666666666668,0.9916666666666668
Q45,Q4_transient+Q5_channel_inconsistency,2.0,0.8055836003687283,0.7999990877996777
Q5,Q5_channel_inconsistency,1.0,0.8172322375397667,0.8172322375397667
