dataset,participant,session,source_subset,added_criterion,observed_delta_j,reconstructed_delta_j
Internal,sub-001,ds004444_sub-001_ses-01,Q1,Q2_broadband,-0.1648302370275464,-0.1648302370275464
Internal,sub-001,ds004444_sub-001_ses-01,Q1,Q3_high_freq_35_45,-0.1827060784635973,-0.18270607846359732
Internal,sub-001,ds004444_sub-001_ses-01,Q1,Q4_transient,-0.0089686098654708,-0.008968609865470878
Internal,sub-001,ds004444_sub-001_ses-01,Q1,Q5_channel_inconsistency,-0.1446535065415376,-0.14465350654153764
Internal,sub-001,ds004444_sub-001_ses-01,Q2,Q1_high_beta,-0.145079365079365,-0.14507936507936503
Internal,sub-001,ds004444_sub-001_ses-01,Q2,Q3_high_freq_35_45,-0.2022222222222222,-0.2022222222222222
Internal,sub-001,ds004444_sub-001_ses-01,Q2,Q4_transient,-0.0044444444444443,-0.004444444444444362
Internal,sub-001,ds004444_sub-001_ses-01,Q2,Q5_channel_inconsistency,-0.1251077943615256,-0.12510779436152564
Internal,sub-001,ds004444_sub-001_ses-01,Q3,Q1_high_beta,-0.1485378623419742,-0.1485378623419742
Internal,sub-001,ds004444_sub-001_ses-01,Q3,Q2_broadband,-0.1878048780487804,-0.18780487804878043
Internal,sub-001,ds004444_sub-001_ses-01,Q3,Q4_transient,-0.0048780487804876,-0.004878048780487698
Internal,sub-001,ds004444_sub-001_ses-01,Q3,Q5_channel_inconsistency,-0.1062831389183456,-0.10628313891834562
Internal,sub-001,ds004444_sub-001_ses-01,Q4,Q1_high_beta,-0.278662182361734,-0.2786621823617341
Internal,sub-001,ds004444_sub-001_ses-01,Q4,Q2_broadband,-0.2938888888888888,-0.293888888888889
Internal,sub-001,ds004444_sub-001_ses-01,Q4,Q3_high_freq_35_45,-0.3087398373983739,-0.3087398373983741
Internal,sub-001,ds004444_sub-001_ses-01,Q4,Q5_channel_inconsistency,-0.2286334913112164,-0.22863349131121657
Internal,sub-001,ds004444_sub-001_ses-01,Q5,Q1_high_beta,-0.1904529242194753,-0.19045292421947535
Internal,sub-001,ds004444_sub-001_ses-01,Q5,Q2_broadband,-0.1906580839876447,-0.19065808398764472
Internal,sub-001,ds004444_sub-001_ses-01,Q5,Q3_high_freq_35_45,-0.1862507727179064,-0.18625077271790647
Internal,sub-001,ds004444_sub-001_ses-01,Q5,Q4_transient,-0.004739336492891,-0.004739336492891044
Internal,sub-001,ds004444_sub-001_ses-01,Q12,Q3_high_freq_35_45,-0.1340659340659341,-0.1340659340659341
Internal,sub-001,ds004444_sub-001_ses-01,Q12,Q4_transient,-0.0047619047619047,-0.004761904761904745
Internal,sub-001,ds004444_sub-001_ses-01,Q12,Q5_channel_inconsistency,-0.0865546218487395,-0.08655462184873958
Internal,sub-001,ds004444_sub-001_ses-01,Q13,Q2_broadband,-0.1161900926298831,-0.11619009262988317
Internal,sub-001,ds004444_sub-001_ses-01,Q13,Q4_transient,-0.0052356020942407,-0.005235602094240788
Internal,sub-001,ds004444_sub-001_ses-01,Q13,Q5_channel_inconsistency,-0.077278711613239,-0.07727871161323902
Internal,sub-001,ds004444_sub-001_ses-01,Q14,Q2_broadband,-0.1606235319239802,-0.16062353192398027
Internal,sub-001,ds004444_sub-001_ses-01,Q14,Q3_high_freq_35_45,-0.1789730706923672,-0.17897307069236723
Internal,sub-001,ds004444_sub-001_ses-01,Q14,Q5_channel_inconsistency,-0.1408395358513244,-0.14083953585132447
Internal,sub-001,ds004444_sub-001_ses-01,Q15,Q2_broadband,-0.1067313523347482,-0.10673135233474834
Internal,sub-001,ds004444_sub-001_ses-01,Q15,Q3_high_freq_35_45,-0.1153312835352987,-0.1153312835352987
Internal,sub-001,ds004444_sub-001_ses-01,Q15,Q4_transient,-0.0051546391752577,-0.005154639175257714
Internal,sub-001,ds004444_sub-001_ses-01,Q23,Q1_high_beta,-0.0769230769230769,-0.07692307692307693
Internal,sub-001,ds004444_sub-001_ses-01,Q23,Q4_transient,0.0,0.0
Internal,sub-001,ds004444_sub-001_ses-01,Q23,Q5_channel_inconsistency,-0.0642458100558659,-0.06424581005586599
Internal,sub-001,ds004444_sub-001_ses-01,Q24,Q1_high_beta,-0.1453968253968254,-0.1453968253968254
Internal,sub-001,ds004444_sub-001_ses-01,Q24,Q3_high_freq_35_45,-0.1977777777777778,-0.19777777777777783
Internal,sub-001,ds004444_sub-001_ses-01,Q24,Q5_channel_inconsistency,-0.1256384742951908,-0.12563847429519082
Internal,sub-001,ds004444_sub-001_ses-01,Q25,Q1_high_beta,-0.1065261925665789,-0.10652619256657897
Internal,sub-001,ds004444_sub-001_ses-01,Q25,Q3_high_freq_35_45,-0.1413602379165625,-0.14136023791656255
Internal,sub-001,ds004444_sub-001_ses-01,Q25,Q4_transient,-0.0049751243781095,-0.004975124378109541
Internal,sub-001,ds004444_sub-001_ses-01,Q34,Q1_high_beta,-0.1488954156557272,-0.14889541565572728
Internal,sub-001,ds004444_sub-001_ses-01,Q34,Q2_broadband,-0.1829268292682927,-0.18292682926829273
Internal,sub-001,ds004444_sub-001_ses-01,Q34,Q5_channel_inconsistency,-0.1014050901378579,-0.10140509013785792
Internal,sub-001,ds004444_sub-001_ses-01,Q35,Q1_high_beta,-0.1195334350368675,-0.11953343503686759
Internal,sub-001,ds004444_sub-001_ses-01,Q35,Q2_broadband,-0.1457675491863007,-0.1457675491863008
Internal,sub-001,ds004444_sub-001_ses-01,Q35,Q4_transient,0.0,0.0
Internal,sub-001,ds004444_sub-001_ses-01,Q45,Q1_high_beta,-0.190868226901842,-0.19086822690184202
Internal,sub-001,ds004444_sub-001_ses-01,Q45,Q2_broadband,-0.1908938718728632,-0.19089387187286322
Internal,sub-001,ds004444_sub-001_ses-01,Q45,Q3_high_freq_35_45,-0.1815114362250154,-0.18151143622501542
Internal,sub-001,ds004444_sub-001_ses-01,Q123,Q4_transient,0.0,0.0
Internal,sub-001,ds004444_sub-001_ses-01,Q123,Q5_channel_inconsistency,-0.0435588507877664,-0.043558850787766445
Internal,sub-001,ds004444_sub-001_ses-01,Q124,Q3_high_freq_35_45,-0.1293040293040293,-0.12930402930402934
Internal,sub-001,ds004444_sub-001_ses-01,Q124,Q5_channel_inconsistency,-0.0871403106697224,-0.08714031066972244
Internal,sub-001,ds004444_sub-001_ses-01,Q125,Q3_high_freq_35_45,-0.091070163004961,-0.09107016300496096
Internal,sub-001,ds004444_sub-001_ses-01,Q125,Q4_transient,-0.0053475935828876,-0.005347593582887611
Internal,sub-001,ds004444_sub-001_ses-01,Q134,Q2_broadband,-0.1109544905356423,-0.11095449053564238
Internal,sub-001,ds004444_sub-001_ses-01,Q134,Q5_channel_inconsistency,-0.0720431095189982,-0.07204310951899823
Internal,sub-001,ds004444_sub-001_ses-01,Q135,Q2_broadband,-0.0824702318044106,-0.0824702318044106
Internal,sub-001,ds004444_sub-001_ses-01,Q135,Q4_transient,0.0,0.0
Internal,sub-001,ds004444_sub-001_ses-01,Q145,Q2_broadband,-0.1069243067423782,-0.10692430674237824
Internal,sub-001,ds004444_sub-001_ses-01,Q145,Q3_high_freq_35_45,-0.1101766443600409,-0.11017664436004099
Internal,sub-001,ds004444_sub-001_ses-01,Q234,Q1_high_beta,-0.0769230769230769,-0.07692307692307693
Internal,sub-001,ds004444_sub-001_ses-01,Q234,Q5_channel_inconsistency,-0.0642458100558659,-0.06424581005586599
Internal,sub-001,ds004444_sub-001_ses-01,Q235,Q1_high_beta,-0.0562361176549774,-0.05623611765497738
Internal,sub-001,ds004444_sub-001_ses-01,Q235,Q4_transient,0.0,0.0
Internal,sub-001,ds004444_sub-001_ses-01,Q245,Q1_high_beta,-0.106898661771357,-0.10689866177135704
Internal,sub-001,ds004444_sub-001_ses-01,Q245,Q3_high_freq_35_45,-0.1363851135384529,-0.136385113538453
Internal,sub-001,ds004444_sub-001_ses-01,Q345,Q1_high_beta,-0.1195334350368675,-0.11953343503686759
