fs,skipped,n_rest,n_task,gate_a,gate_b,gate_c,gate_a_yield,gate_b_yield,gate_c_yield,gate_c_windows_per_min,latency_ms_mean,latency_ms_median,latency_ms_p95,latency_ms_max,dataset,subject,session
1000.0,False,210,118,19,18,8,0.16101694915254236,0.15254237288135594,0.06779661016949153,8.135593220338983,1.1115693050900735,1.0356415000387642,1.5193749001127799,2.4653829998442234,ds004447,sub-001,ses-01
1000.0,False,214,120,14,13,7,0.11666666666666667,0.10833333333333334,0.058333333333333334,7.0,1.1080526916733409,1.026943999931973,1.5120413500767418,3.2305259999247937,ds004447,sub-001,ses-19
1000.0,False,204,118,12,8,3,0.1016949152542373,0.06779661016949153,0.025423728813559324,3.050847457627119,1.1079704745671441,1.0030375000269487,1.9638308499679622,2.439609000020937,ds004447,sub-002,ses-01
1000.0,False,214,120,14,13,7,0.11666666666666667,0.10833333333333334,0.058333333333333334,7.0,1.071414158339697,0.9808199998815326,1.5699063000170095,3.4831380000923673,ds004447,sub-002,ses-19
1000.0,False,284,120,29,23,20,0.24166666666666667,0.19166666666666668,0.16666666666666666,20.0,1.0731441333272567,1.0012914999606437,1.4261605499996215,2.078723000067839,ds004447,sub-003,ses-01
1000.0,False,202,120,30,27,14,0.25,0.225,0.11666666666666667,14.0,1.11511631665356,1.048488500032363,1.486993100058953,2.560568000035346,ds004447,sub-003,ses-19
1000.0,False,246,116,32,26,17,0.27586206896551724,0.22413793103448276,0.14655172413793102,17.586206896551722,1.0527488017201307,0.997688999973434,1.3073857500671693,2.378012999997736,ds004447,sub-004,ses-01
1000.0,False,216,120,14,14,11,0.11666666666666667,0.11666666666666667,0.09166666666666666,11.0,1.0780511916683129,1.0111999999935506,1.369342649900318,2.7062149999892426,ds004447,sub-004,ses-19
1000.0,False,226,116,18,16,7,0.15517241379310345,0.13793103448275862,0.0603448275862069,7.241379310344827,1.106243293095147,1.0168604999307718,1.5353847500136908,2.7425430000675988,ds004447,sub-005,ses-01
1000.0,False,226,120,18,14,11,0.15,0.11666666666666667,0.09166666666666666,11.0,1.1275486500001837,1.0413929999231186,1.3714025499780291,2.827336000109426,ds004447,sub-005,ses-19
1000.0,False,336,116,18,18,14,0.15517241379310345,0.15517241379310345,0.1206896551724138,14.482758620689655,1.1057659827644846,1.0088500001756984,1.426505250037735,3.5607090001121833,ds004447,sub-006,ses-01
1000.0,False,224,120,16,15,10,0.13333333333333333,0.125,0.08333333333333333,10.0,1.0871090416515017,1.0184189999336013,1.545257650036546,2.436698000110482,ds004447,sub-006,ses-19
1000.0,False,204,120,17,16,15,0.14166666666666666,0.13333333333333333,0.125,15.0,1.090943883334224,1.0120680000227367,1.6184364999617173,2.6826099999652797,ds004447,sub-007,ses-01
1000.0,False,212,120,16,14,11,0.13333333333333333,0.11666666666666667,0.09166666666666666,11.0,1.0566183666621025,1.0066910000432472,1.3221194000152536,2.078150999977879,ds004447,sub-007,ses-19
1000.0,False,208,116,23,22,10,0.19827586206896552,0.1896551724137931,0.08620689655172414,10.344827586206897,1.099289896552395,1.0192940000024464,1.4524445000461128,2.435420999972848,ds004447,sub-008,ses-01
1000.0,False,216,120,16,16,7,0.13333333333333333,0.13333333333333333,0.058333333333333334,7.0,1.077286583328411,1.01965950000249,1.3622469499182441,2.3332490000029793,ds004447,sub-008,ses-19
1000.0,False,442,118,15,14,7,0.1271186440677966,0.11864406779661017,0.059322033898305086,7.118644067796611,1.0904513050710671,1.023137499942095,1.4590089000762418,2.7738649998809706,ds004447,sub-009,ses-01
1000.0,False,224,120,14,5,2,0.11666666666666667,0.041666666666666664,0.016666666666666666,2.0,1.125410574985608,1.055997499975092,1.4169010498903842,2.0134110000071814,ds004447,sub-009,ses-19
1000.0,False,288,116,19,18,16,0.16379310344827586,0.15517241379310345,0.13793103448275862,16.551724137931036,1.0459209396517195,0.9959589999652962,1.2729942499163371,2.1086509998440306,ds004447,sub-010,ses-01
1000.0,False,264,120,39,33,17,0.325,0.275,0.14166666666666666,17.0,1.0882340083298914,1.019665000058012,1.4896079499862933,2.2576950000257057,ds004447,sub-010,ses-19
1000.0,False,208,116,19,16,12,0.16379310344827586,0.13793103448275862,0.10344827586206896,12.413793103448276,1.1406517413974895,1.04899200005093,1.7328007501760112,2.208608000046297,ds004447,sub-011,ses-01
1000.0,False,196,120,38,36,17,0.31666666666666665,0.3,0.14166666666666666,17.0,1.1684940916723008,1.073228499990364,1.6303887000049142,2.5829909998265066,ds004447,sub-011,ses-19
1000.0,False,224,116,22,21,12,0.1896551724137931,0.1810344827586207,0.10344827586206896,12.413793103448276,1.082315568970867,1.034877499932918,1.3689205001128357,1.8396479999864823,ds004447,sub-012,ses-01
1000.0,False,196,120,38,36,17,0.31666666666666665,0.3,0.14166666666666666,17.0,1.121797933334771,1.0563050001337615,1.509398850146226,2.92843800002629,ds004447,sub-012,ses-19
1000.0,False,224,116,33,29,18,0.28448275862068967,0.25,0.15517241379310345,18.620689655172413,1.1082864224049602,1.024313500010976,1.5824772498831408,2.3953560000791185,ds004447,sub-013,ses-01
1000.0,False,206,120,37,32,20,0.30833333333333335,0.26666666666666666,0.16666666666666666,20.0,1.0738933083473512,1.003036500037524,1.3783123500161303,2.591136000091865,ds004447,sub-013,ses-20
1000.0,False,220,116,13,12,9,0.11206896551724138,0.10344827586206896,0.07758620689655173,9.310344827586206,1.1021822758623094,1.0449464999737756,1.4586974999701852,2.1229960000255232,ds004447,sub-014,ses-01
1000.0,False,212,120,29,19,12,0.24166666666666667,0.15833333333333333,0.1,12.0,1.0814501083283783,1.033653499916909,1.4419243500128684,2.0896900000479945,ds004447,sub-014,ses-19
1000.0,False,212,116,20,18,15,0.1724137931034483,0.15517241379310345,0.12931034482758622,15.517241379310345,1.093849232768991,1.0130299999673298,1.5003940000042348,2.9855059999590594,ds004447,sub-015,ses-01
1000.0,False,206,120,20,19,8,0.16666666666666666,0.15833333333333333,0.06666666666666667,8.0,1.0823897499998718,1.031478500067351,1.4367518000653945,1.914961000011317,ds004447,sub-015,ses-19
1000.0,False,218,116,25,22,13,0.21551724137931033,0.1896551724137931,0.11206896551724138,13.448275862068966,1.1048439913781356,1.0309660000302756,1.46766449995539,2.2568389999833016,ds004447,sub-016,ses-01
1000.0,False,216,120,17,10,3,0.14166666666666666,0.08333333333333333,0.025,3.0,1.118758933330355,1.045838999971238,1.6529702999605433,2.2804319999067957,ds004447,sub-016,ses-18
1000.0,False,224,116,14,8,2,0.1206896551724138,0.06896551724137931,0.017241379310344827,2.0689655172413794,1.0942854396685577,1.028908999956002,1.4937574998725722,2.0034219999160996,ds004447,sub-017,ses-01
1000.0,False,208,120,28,25,8,0.23333333333333334,0.20833333333333334,0.06666666666666667,8.0,1.1026093749914405,1.0425254999972822,1.433274949977203,2.1171529999719496,ds004447,sub-017,ses-19
1000.0,False,208,116,12,8,6,0.10344827586206896,0.06896551724137931,0.05172413793103448,6.206896551724138,1.1012893534476806,1.0356499999488733,1.4919707500098411,1.9461960000626277,ds004447,sub-018,ses-01
1000.0,False,280,120,12,11,11,0.1,0.09166666666666666,0.09166666666666666,11.0,1.0857520499920763,1.0231210000029023,1.5981296000632028,2.251241000067239,ds004447,sub-018,ses-19
1000.0,False,268,116,12,11,9,0.10344827586206896,0.09482758620689655,0.07758620689655173,9.310344827586206,1.0815176810414697,1.0305769999376935,1.3940217499452956,1.910742000063692,ds004447,sub-019,ses-01
1000.0,False,214,120,21,14,7,0.175,0.11666666666666667,0.058333333333333334,7.0,1.1004550916652533,1.0289989999137106,1.6354920499907166,2.1131679998234176,ds004447,sub-019,ses-19
1000.0,False,262,120,18,17,12,0.15,0.14166666666666666,0.1,12.0,1.0874794250071318,1.0459465000849377,1.3430591499513866,1.913383000101021,ds004447,sub-020,ses-01
1000.0,False,212,120,24,21,13,0.2,0.175,0.10833333333333334,13.0,1.0724982500183462,1.0008175000848496,1.4679777998935604,2.538507000053869,ds004447,sub-020,ses-19
