anon_id,timepoint,smr_raw,smr_filtered,smr_ref,smr_clean,hb_raw,hb_filtered,hb_ref,hb_clean
C04,post,5.716513489303868e-12,5.707144093411264e-12,3.097071389976683e-12,5.682732905489592e-12,8.156302600234151e-12,8.13853281261859e-12,6.2193273443892396e-12,8.345186401349512e-12
C05,post,3.466189239413688e-11,3.4620356191114114e-11,5.670411413047273e-12,3.462625042002337e-11,1.7977376439263523e-11,1.793326880939409e-11,6.650856077755967e-12,1.7945328375653817e-11
C03,post,9.19690656030263e-12,9.183159053994273e-12,3.032320259367391e-12,9.188930175664793e-12,6.870473331067889e-12,6.854833152275504e-12,3.2603287725904514e-12,6.856783269817336e-12
C06,post,4.3764207947478326e-12,4.3690727956755326e-12,1.493411590464794e-12,4.241392280909165e-12,4.71178956638631e-12,4.701124366441549e-12,2.2095257761748075e-12,4.432059480409209e-12
C08,post,1.4558673605181953e-11,1.4536045676352644e-11,4.715663792378512e-12,1.3735521180387007e-11,5.6912981962949764e-12,5.677905129686027e-12,2.7294233661088503e-12,5.309926518565829e-12
C01,post,1.1343223333630559e-11,1.1328500343177114e-11,1.1214456148996835e-11,1.1220123409040066e-11,1.6305669932457935e-11,1.626824478205181e-11,1.2808393287884932e-11,1.46274703895835e-11
C07,post,1.3612387162769751e-11,1.3592243670323971e-11,5.925610802414545e-12,1.3600454370331338e-11,1.2936054596049413e-11,1.2905581608040006e-11,8.246079361329553e-12,1.2911970509605337e-11
C02,post,1.6759438424133716e-11,1.6745504295789718e-11,5.366601429775432e-12,1.621787795263162e-11,6.5071280848641135e-12,6.492450017101016e-12,3.728994256675939e-12,6.2967293547940084e-12
C04,pre,5.011082212242978e-12,5.002855778379467e-12,2.083912531166274e-12,5.1923599262652784e-12,4.9782072825693926e-12,4.96683749230699e-12,3.566377465274015e-12,5.565571848124231e-12
C05,pre,5.575395429557623e-11,5.5675689529114203e-11,5.736658961061506e-12,5.476333437116749e-11,1.7380630322355937e-11,1.73377710003002e-11,6.743316060758814e-12,1.6790205368216906e-11
C03,pre,1.12658087708757e-11,1.1246961798382276e-11,3.808664407150975e-12,1.134732595465608e-11,8.387513892963965e-12,8.368244016018713e-12,4.664202587262015e-12,8.384187767247956e-12
C06,pre,3.3599448737355796e-12,3.354417955804158e-12,1.5943581194879188e-12,3.4840070415134494e-12,3.8039330078037306e-12,3.795265263104675e-12,2.119483964839091e-12,3.882819875507554e-12
C08,pre,1.5071671388154888e-11,1.504840594219507e-11,4.712297207413773e-12,1.5058800724194144e-11,6.201926219682349e-12,6.187730520962889e-12,2.8893805677894047e-12,6.190337901742799e-12
C01,pre,1.0113900295171177e-11,1.0098614622536023e-11,4.462916621025618e-12,1.0089171687498077e-11,1.3633871428805393e-11,1.3601569125250704e-11,8.672635103149241e-12,1.3162945959684891e-11
C07,pre,1.4640352521957804e-11,1.4621682671201868e-11,4.431870120039439e-12,1.4625919784264636e-11,1.7728199418134692e-11,1.7687242926367827e-11,9.498666096712852e-12,1.7693388848939673e-11
C02,pre,1.6768819615485678e-11,1.6752531977229748e-11,5.998635878926051e-12,1.6947200208934565e-11,8.893476961114653e-12,8.87305358911175e-12,4.968725038071304e-12,8.617464426163699e-12
T01,post,5.929389191182667e-12,5.918601116816229e-12,3.3575503576675254e-12,7.601887378042629e-12,5.461119192854897e-12,5.448057684934615e-12,4.734762054191758e-12,1.3309350174309736e-11
T03,post,6.549772084349902e-12,6.540750322919319e-12,3.664695214059118e-12,6.770786861051832e-12,8.441037033414065e-12,8.420434389809938e-12,7.508580259209139e-12,8.665786352576028e-12
T07,post,5.002029312066217e-12,4.99271725902076e-12,2.664453642895037e-12,5.77535645345247e-12,1.0729066524883241e-11,1.0705078219782052e-11,8.202005503769725e-12,1.162648698947589e-11
