dataset,subject,source_session,target_session,feature,threshold_shift,decision_agreement,jaccard,transported_gate_c,local_gate_c
ds004447,sub-001,ses-01,ses-19,smr_snr_min,0.0015944746088672624,0.9416666666666667,0.0,0,7
ds004447,sub-001,ses-01,ses-19,high_beta_max,1.5464597454281426e-12,0.9416666666666667,0.0,0,7
ds004447,sub-001,ses-01,ses-19,broadband_max,2.194851538711031e-11,0.9416666666666667,0.0,0,7
ds004447,sub-001,ses-01,ses-19,noise_floor_max,5.313271088025916e-13,0.9416666666666667,0.0,0,7
ds004447,sub-001,ses-01,ses-19,transient_max,7.335652004272531e-05,0.9416666666666667,0.0,0,7
ds004447,sub-001,ses-01,ses-19,channel_inconsistency_max,0.00290477464784227,0.9416666666666667,0.0,0,7
ds004447,sub-001,ses-19,ses-01,smr_snr_min,-0.0015944746088672624,0.9322033898305084,0.0,0,8
ds004447,sub-001,ses-19,ses-01,high_beta_max,-1.5464597454281426e-12,0.9322033898305084,0.0,0,8
ds004447,sub-001,ses-19,ses-01,broadband_max,-2.194851538711031e-11,0.9322033898305084,0.0,0,8
ds004447,sub-001,ses-19,ses-01,noise_floor_max,-5.313271088025916e-13,0.9322033898305084,0.0,0,8
ds004447,sub-001,ses-19,ses-01,transient_max,-7.335652004272531e-05,0.9322033898305084,0.0,0,8
ds004447,sub-001,ses-19,ses-01,channel_inconsistency_max,-0.00290477464784227,0.9322033898305084,0.0,0,8
ds004447,sub-002,ses-01,ses-19,smr_snr_min,-0.0001029994888222644,0.9333333333333333,0.2,5,7
ds004447,sub-002,ses-01,ses-19,high_beta_max,-8.087690443776793e-14,0.9333333333333333,0.2,5,7
ds004447,sub-002,ses-01,ses-19,broadband_max,-1.5809986655785936e-12,0.9333333333333333,0.2,5,7
ds004447,sub-002,ses-01,ses-19,noise_floor_max,1.9460260662705314e-14,0.9333333333333333,0.2,5,7
ds004447,sub-002,ses-01,ses-19,transient_max,-9.348726634636148e-07,0.9333333333333333,0.2,5,7
ds004447,sub-002,ses-01,ses-19,channel_inconsistency_max,0.00016662059477476733,0.9333333333333333,0.2,5,7
ds004447,sub-002,ses-19,ses-01,smr_snr_min,0.0001029994888222644,0.9745762711864406,0.0,0,3
ds004447,sub-002,ses-19,ses-01,high_beta_max,8.087690443776793e-14,0.9745762711864406,0.0,0,3
ds004447,sub-002,ses-19,ses-01,broadband_max,1.5809986655785936e-12,0.9745762711864406,0.0,0,3
ds004447,sub-002,ses-19,ses-01,noise_floor_max,-1.9460260662705314e-14,0.9745762711864406,0.0,0,3
ds004447,sub-002,ses-19,ses-01,transient_max,9.348726634636148e-07,0.9745762711864406,0.0,0,3
ds004447,sub-002,ses-19,ses-01,channel_inconsistency_max,-0.00016662059477476733,0.9745762711864406,0.0,0,3
ds004447,sub-003,ses-01,ses-19,smr_snr_min,0.00014091709438666976,0.875,0.2857142857142857,13,14
ds004447,sub-003,ses-01,ses-19,high_beta_max,2.6920183145148144e-13,0.875,0.2857142857142857,13,14
ds004447,sub-003,ses-01,ses-19,broadband_max,2.2865952106523076e-12,0.875,0.2857142857142857,13,14
ds004447,sub-003,ses-01,ses-19,noise_floor_max,5.197978274722363e-13,0.875,0.2857142857142857,13,14
ds004447,sub-003,ses-01,ses-19,transient_max,1.8201139314870198e-05,0.875,0.2857142857142857,13,14
ds004447,sub-003,ses-01,ses-19,channel_inconsistency_max,-0.2796174443871922,0.875,0.2857142857142857,13,14
ds004447,sub-003,ses-19,ses-01,smr_snr_min,-0.00014091709438666976,0.8416666666666667,0.3448275862068966,19,20
ds004447,sub-003,ses-19,ses-01,high_beta_max,-2.6920183145148144e-13,0.8416666666666667,0.3448275862068966,19,20
ds004447,sub-003,ses-19,ses-01,broadband_max,-2.2865952106523076e-12,0.8416666666666667,0.3448275862068966,19,20
ds004447,sub-003,ses-19,ses-01,noise_floor_max,-5.197978274722363e-13,0.8416666666666667,0.3448275862068966,19,20
ds004447,sub-003,ses-19,ses-01,transient_max,-1.8201139314870198e-05,0.8416666666666667,0.3448275862068966,19,20
ds004447,sub-003,ses-19,ses-01,channel_inconsistency_max,0.2796174443871922,0.8416666666666667,0.3448275862068966,19,20
ds004447,sub-004,ses-01,ses-19,smr_snr_min,-3.802146494820836e-05,0.9833333333333333,0.8181818181818182,9,11
ds004447,sub-004,ses-01,ses-19,high_beta_max,8.481807345538787e-14,0.9833333333333333,0.8181818181818182,9,11
ds004447,sub-004,ses-01,ses-19,broadband_max,-1.2249514819501294e-12,0.9833333333333333,0.8181818181818182,9,11
ds004447,sub-004,ses-01,ses-19,noise_floor_max,8.353147950572408e-14,0.9833333333333333,0.8181818181818182,9,11
ds004447,sub-004,ses-01,ses-19,transient_max,8.124603341726086e-06,0.9833333333333333,0.8181818181818182,9,11
ds004447,sub-004,ses-01,ses-19,channel_inconsistency_max,0.653577431997506,0.9833333333333333,0.8181818181818182,9,11
ds004447,sub-004,ses-19,ses-01,smr_snr_min,3.802146494820836e-05,0.9224137931034483,0.5909090909090909,18,17
ds004447,sub-004,ses-19,ses-01,high_beta_max,-8.481807345538787e-14,0.9224137931034483,0.5909090909090909,18,17
ds004447,sub-004,ses-19,ses-01,broadband_max,1.2249514819501294e-12,0.9224137931034483,0.5909090909090909,18,17
ds004447,sub-004,ses-19,ses-01,noise_floor_max,-8.353147950572408e-14,0.9224137931034483,0.5909090909090909,18,17
ds004447,sub-004,ses-19,ses-01,transient_max,-8.124603341726086e-06,0.9224137931034483,0.5909090909090909,18,17
ds004447,sub-004,ses-19,ses-01,channel_inconsistency_max,-0.653577431997506,0.9224137931034483,0.5909090909090909,18,17
ds004447,sub-005,ses-01,ses-19,smr_snr_min,0.00017617929202701655,0.9583333333333334,0.5454545454545454,6,11
ds004447,sub-005,ses-01,ses-19,high_beta_max,1.677936235387061e-13,0.9583333333333334,0.5454545454545454,6,11
