dataset,subject,session,gate,duration_s
ds004447,sub-001,ses-01,gate_a_requested,11.0
ds004447,sub-001,ses-01,gate_a_requested,7.0
ds004447,sub-001,ses-01,gate_a_requested,6.0
ds004447,sub-001,ses-01,gate_a_requested,6.0
ds004447,sub-001,ses-01,gate_b_allowed,11.0
ds004447,sub-001,ses-01,gate_b_allowed,7.0
ds004447,sub-001,ses-01,gate_b_allowed,9.0
ds004447,sub-001,ses-01,gate_b_allowed,6.0
ds004447,sub-001,ses-01,gate_c_allowed,11.0
ds004447,sub-001,ses-01,gate_c_allowed,8.5
ds004447,sub-001,ses-01,gate_c_allowed,18.0
ds004447,sub-001,ses-01,gate_c_allowed,8.5
ds004447,sub-001,ses-19,gate_a_requested,6.0
ds004447,sub-001,ses-19,gate_a_requested,7.5
ds004447,sub-001,ses-19,gate_a_requested,6.0
ds004447,sub-001,ses-19,gate_a_requested,7.5
ds004447,sub-001,ses-19,gate_a_requested,7.5
ds004447,sub-001,ses-19,gate_b_allowed,6.0
ds004447,sub-001,ses-19,gate_b_allowed,7.5
ds004447,sub-001,ses-19,gate_b_allowed,6.0
ds004447,sub-001,ses-19,gate_b_allowed,7.0
ds004447,sub-001,ses-19,gate_b_allowed,7.5
ds004447,sub-001,ses-19,gate_b_allowed,7.5
ds004447,sub-001,ses-19,gate_c_allowed,6.0
ds004447,sub-001,ses-19,gate_c_allowed,7.5
ds004447,sub-001,ses-19,gate_c_allowed,11.0
ds004447,sub-001,ses-19,gate_c_allowed,27.5
ds004447,sub-002,ses-01,gate_a_requested,5.5
ds004447,sub-002,ses-01,gate_a_requested,7.0
ds004447,sub-002,ses-01,gate_a_requested,15.5
ds004447,sub-002,ses-01,gate_a_requested,7.0
ds004447,sub-002,ses-01,gate_b_allowed,5.5
ds004447,sub-002,ses-01,gate_b_allowed,5.5
ds004447,sub-002,ses-01,gate_b_allowed,26.5
ds004447,sub-002,ses-01,gate_b_allowed,7.0
ds004447,sub-002,ses-01,gate_c_allowed,12.0
ds004447,sub-002,ses-01,gate_c_allowed,34.0
ds004447,sub-002,ses-01,gate_c_allowed,7.5
ds004447,sub-002,ses-19,gate_a_requested,6.0
ds004447,sub-002,ses-19,gate_a_requested,7.5
ds004447,sub-002,ses-19,gate_a_requested,6.0
ds004447,sub-002,ses-19,gate_a_requested,7.5
ds004447,sub-002,ses-19,gate_a_requested,7.5
ds004447,sub-002,ses-19,gate_b_allowed,6.0
ds004447,sub-002,ses-19,gate_b_allowed,7.5
ds004447,sub-002,ses-19,gate_b_allowed,6.0
ds004447,sub-002,ses-19,gate_b_allowed,7.0
ds004447,sub-002,ses-19,gate_b_allowed,7.5
