variant,gate,n_windows,accepted_windows,accepted_per_min,proportion_accepted,median_inter_accept_s,p90_inter_accept_s,p95_inter_accept_s,max_inter_accept_s,longest_feedback_free_s,starvation_gt_5s,starvation_gt_10s,starvation_gt_20s,starvation_gt_30s,accept_run_median_windows,withhold_run_median_s,accept_to_withhold,withhold_to_accept,transitions_per_min,burst_fraction,time_to_first_accept_s,time_to_final_accept_s,dataset,subject,session,original_gate_c_retained
instantaneous,gate_c_allowed,118,8,8.135593220338983,0.06779661016949153,9.0,14.300000000000002,16.399999999999995,18.5,18.0,4,2,0,0,1.0,5.75,7,7,14.237288135593221,0.25,2.5,55.5,ds004447,sub-001,ses-01,1.0
two_consecutive_pass_recovery,gate_c_allowed,118,1,1.0169491525423728,0.00847457627118644,,,,,32.0,2,2,2,1,1.0,29.25,1,1,2.0338983050847457,0.0,26.5,26.5,ds004447,sub-001,ses-01,0.125
two_of_three_voting,gate_c_allowed,118,2,2.0338983050847457,0.01694915254237288,0.5,0.5,0.5,0.5,31.5,2,2,2,1,2.0,29.0,1,1,2.0338983050847457,1.0,26.5,27.0,ds004447,sub-001,ses-01,0.25
instantaneous,gate_c_allowed,120,7,7.0,0.058333333333333334,5.0,9.75,10.625,11.5,27.5,4,2,1,0,1.0,6.0,6,6,12.0,0.2857142857142857,0.5,32.0,ds004447,sub-001,ses-19,1.0
two_consecutive_pass_recovery,gate_c_allowed,120,1,1.0,0.008333333333333333,,,,,58.5,1,1,1,1,1.0,29.75,1,1,2.0,0.0,1.0,1.0,ds004447,sub-001,ses-19,0.14285714285714285
two_of_three_voting,gate_c_allowed,120,2,2.0,0.016666666666666666,0.5,0.5,0.5,0.5,58.0,1,1,1,1,2.0,29.5,1,1,2.0,1.0,1.0,1.5,ds004447,sub-001,ses-19,0.2857142857142857
instantaneous,gate_c_allowed,118,3,3.050847457627119,0.025423728813559324,19.5,31.5,33.0,34.5,34.0,3,2,1,1,1.0,9.75,3,3,6.101694915254238,0.0,12.0,51.0,ds004447,sub-002,ses-01,1.0
two_consecutive_pass_recovery,gate_c_allowed,118,0,0.0,0.0,,,,,59.0,1,1,1,1,0.0,59.0,0,0,0.0,0.0,,,ds004447,sub-002,ses-01,0.0
two_of_three_voting,gate_c_allowed,118,0,0.0,0.0,,,,,59.0,1,1,1,1,0.0,59.0,0,0,0.0,0.0,,,ds004447,sub-002,ses-01,0.0
instantaneous,gate_c_allowed,120,7,7.0,0.058333333333333334,5.0,9.75,10.625,11.5,27.5,4,2,1,0,1.0,6.0,6,6,12.0,0.2857142857142857,0.5,32.0,ds004447,sub-002,ses-19,1.0
