dataset,subject,session,method,checkpoint_s,threshold_name,feature,threshold_value,full_threshold_value,relative_error
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,smr_snr_min,smr_snr,0.0019319321882302499,0.0019724900759973503,0.020561770241622798
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,high_beta_max,high_beta_power,2.357949534225538e-12,1.9610284521372643e-12,0.13404838504735633
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,broadband_max,broadband_power,2.648007243282124e-11,2.823152135380025e-11,0.05991644772027276
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,noise_floor_max,noise_floor_power,1.747629731414288e-12,7.307050730606034e-13,0.5875782501494264
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,transient_max,transient_score,8.950038397802335e-05,0.00011260414650186,0.2051768343919572
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,channel_inconsistency_max,channel_inconsistency,0.8835936443947341,0.0029117074522630373,302.4623699594288
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,smr_snr_min,smr_snr,0.00182087033473065,0.0019724900759973503,0.076867175675482
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,high_beta_max,high_beta_power,2.3572963254980245e-12,1.9610284521372643e-12,0.13382778307136317
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,broadband_max,broadband_power,2.616232116581372e-11,2.823152135380025e-11,0.0707866061072296
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,noise_floor_max,noise_floor_power,1.6848108424561506e-12,7.307050730606034e-13,0.551281546605912
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,transient_max,transient_score,0.00019823019034102002,0.00011260414650186,0.7604164299343029
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,channel_inconsistency_max,channel_inconsistency,0.7590969089007589,0.0029117074522630373,259.70507462934455
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,smr_snr_min,smr_snr,0.00191718475642095,0.0019724900759973503,0.028038325881258486
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,high_beta_max,high_beta_power,2.0855272923574626e-12,1.9610284521372643e-12,0.04204581017461525
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,broadband_max,broadband_power,2.5809961407021936e-11,2.823152135380025e-11,0.08284070874961483
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,noise_floor_max,noise_floor_power,1.150760643997039e-12,7.307050730606034e-13,0.24270777122852216
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,transient_max,transient_score,8.950038397802346e-05,0.00011260414650186,0.20517683439195622
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,channel_inconsistency_max,channel_inconsistency,0.70214974673322,0.0029117074522630373,240.14707882048663
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,smr_snr_min,smr_snr,0.00193562857340395,0.0019724900759973503,0.01868780128390466
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,high_beta_max,high_beta_power,1.8886498454140638e-12,1.9610284521372643e-12,0.02444373902282426
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,broadband_max,broadband_power,2.782058539675782e-11,2.823152135380025e-11,0.014057973653465193
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,noise_floor_max,noise_floor_power,7.240514560078982e-13,7.307050730606034e-13,0.003844454584592422
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,transient_max,transient_score,7.421102296482717e-05,0.00011260414650186,0.3409565667765359
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,channel_inconsistency_max,channel_inconsistency,0.6197251753527633,0.0029117074522630373,211.83909365937893
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,full,smr_snr_min,smr_snr,0.0019724900759973503,0.0019724900759973503,0.0
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,full,high_beta_max,high_beta_power,1.9610284521372643e-12,1.9610284521372643e-12,0.0
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,full,broadband_max,broadband_power,2.823152135380025e-11,2.823152135380025e-11,0.0
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,full,noise_floor_max,noise_floor_power,7.307050730606034e-13,7.307050730606034e-13,0.0
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,full,transient_max,transient_score,0.00011260414650186,0.00011260414650186,0.0
ds004447,sub-001,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,full,channel_inconsistency_max,channel_inconsistency,0.0029117074522630373,0.0029117074522630373,0.0
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,15,smr_snr_min,smr_snr,0.0019307341751664,0.0019617366280689,0.015803575486692385
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,15,high_beta_max,high_beta_power,2.4402025522805966e-12,2.04449516495829e-12,0.12997471366578042
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,15,broadband_max,broadband_power,2.8100648807971292e-11,2.9360483414872976e-11,0.041495867825494394
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,15,noise_floor_max,noise_floor_power,2.054386831261894e-12,7.318938428858848e-13,0.7636108840091008
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,15,transient_max,transient_score,9.209118675515085e-05,0.00011348520708016001,0.18851813982574317
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,15,channel_inconsistency_max,channel_inconsistency,0.8875743667871998,0.6616743711347088,0.34140659742457985
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,30,smr_snr_min,smr_snr,0.001888441691086575,0.0019617366280689,0.037362271722026656
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,30,high_beta_max,high_beta_power,2.399744170518378e-12,2.04449516495829e-12,0.11668568557735083
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,30,broadband_max,broadband_power,2.7276887171902337e-11,2.9360483414872976e-11,0.06862855951595054
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,30,noise_floor_max,noise_floor_power,1.9228670680319567e-12,7.318938428858848e-13,0.68767103136156
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,30,transient_max,transient_score,0.00015060517903406015,0.00011348520708016001,0.3270908392544033
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,30,channel_inconsistency_max,channel_inconsistency,0.7937570688573431,0.6616743711347088,0.19961888125714364
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,60,smr_snr_min,smr_snr,0.001808648775182325,0.0019617366280689,0.07803690394425424
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,60,high_beta_max,high_beta_power,2.275592401771402e-12,2.04449516495829e-12,0.07590658690248828
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,60,broadband_max,broadband_power,2.832988621608544e-11,2.9360483414872976e-11,0.03394534878462003
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,60,noise_floor_max,noise_floor_power,1.2389818062379831e-12,7.318938428858848e-13,0.29279390618256884
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,60,transient_max,transient_score,0.00010454521519795,0.00011348520708016001,0.07877671489922516
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,60,channel_inconsistency_max,channel_inconsistency,0.6644604479375591,0.6616743711347088,0.0042106463910158536
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,90,smr_snr_min,smr_snr,0.0018803131712333998,0.0019617366280689,0.04150580441276972
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,90,high_beta_max,high_beta_power,2.027772630790898e-12,2.04449516495829e-12,0.005492711684967057
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,90,broadband_max,broadband_power,2.844564181656123e-11,2.9360483414872976e-11,0.030132642679318627
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,90,noise_floor_max,noise_floor_power,7.29675970534983e-13,7.318938428858848e-13,0.0012806052518819823
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,90,transient_max,transient_score,7.71910502632147e-05,0.00011348520708016001,0.3198139866061577
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,90,channel_inconsistency_max,channel_inconsistency,0.6267982260269989,0.6616743711347088,0.0527089254610965
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,full,smr_snr_min,smr_snr,0.0019617366280689,0.0019617366280689,0.0
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,full,high_beta_max,high_beta_power,2.04449516495829e-12,2.04449516495829e-12,0.0
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,full,broadband_max,broadband_power,2.9360483414872976e-11,2.9360483414872976e-11,0.0
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,full,noise_floor_max,noise_floor_power,7.318938428858848e-13,7.318938428858848e-13,0.0
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,full,transient_max,transient_score,0.00011348520708016001,0.00011348520708016001,0.0
ds004447,sub-001,ses-01,C1_NONOVERLAP_EMPIRICAL,full,channel_inconsistency_max,channel_inconsistency,0.6616743711347088,0.6616743711347088,0.0
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,smr_snr_min,smr_snr,0.0020932330686235785,0.002000551320740637,0.04632810309625109
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,high_beta_max,high_beta_power,2.546548544407381e-12,2.0707635026977918e-12,0.15494030761131308
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,broadband_max,broadband_power,2.9578218318993804e-11,3.059605170728527e-11,0.032213942353334635
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,noise_floor_max,noise_floor_power,2.101223706279851e-12,8.183027373035426e-13,0.7055596093304132
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,transient_max,transient_score,9.720966759625685e-05,0.00012687711186947846,0.23382817911171433
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,channel_inconsistency_max,channel_inconsistency,0.8770558441283971,0.6467584746406441,0.3560793998336956
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,smr_snr_min,smr_snr,0.0019308508908254848,0.002000551320740637,0.034840610764490285
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,high_beta_max,high_beta_power,2.490699477435578e-12,2.0707635026977918e-12,0.13675295227680517
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,broadband_max,broadband_power,2.813039772603391e-11,3.059605170728527e-11,0.07803677510386026
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,noise_floor_max,noise_floor_power,2.0695020357659624e-12,8.183027373035426e-13,0.688113850786965
ds004447,sub-001,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,transient_max,transient_score,0.00020137078135069506,0.00012687711186947846,0.5871324449024155
