dataset,subject,session,method,checkpoint_s,threshold_name,feature,threshold_value,full_threshold_value,relative_error
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,30,smr_snr_min,smr_snr,0.00079951960999075,0.0007732679878546,0.03394893169576971
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,30,high_beta_max,high_beta_power,8.837882380015711e-13,6.877436059435787e-13,0.1161578283381429
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,30,broadband_max,broadband_power,1.5864687014998848e-11,1.4402097632310496e-11,0.09496040199226718
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,30,noise_floor_max,noise_floor_power,6.23536634571564e-13,2.555250059505998e-13,0.2931137387760193
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,30,transient_max,transient_score,9.492126863507996e-05,8.903133989471228e-05,0.06615567822721054
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,30,channel_inconsistency_max,channel_inconsistency,0.47491304987638194,0.35707825763367473,0.32999710770198587
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,60,smr_snr_min,smr_snr,0.0006712345458132749,0.0007732679878546,0.13195094522464543
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,60,high_beta_max,high_beta_power,6.02622100436184e-13,6.877436059435787e-13,0.050435092870522356
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,60,broadband_max,broadband_power,1.1434633700600858e-11,1.4402097632310496e-11,0.19266622005333198
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,60,noise_floor_max,noise_floor_power,3.713033627927978e-13,2.555250059505998e-13,0.09221509431788526
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,60,transient_max,transient_score,9.05570443274581e-05,8.903133989471228e-05,0.01713671182993975
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,60,channel_inconsistency_max,channel_inconsistency,0.3677513949157587,0.35707825763367473,0.02989019088640118
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,90,smr_snr_min,smr_snr,0.0006888657195262,0.0007732679878546,0.10915008709130777
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,90,high_beta_max,high_beta_power,6.060150096541465e-13,6.877436059435787e-13,0.048424770208943896
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,90,broadband_max,broadband_power,1.3752890877610429e-11,1.4402097632310496e-11,0.04215054145210472
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,90,noise_floor_max,noise_floor_power,3.093894694495624e-13,2.555250059505998e-13,0.04290194400244543
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,90,transient_max,transient_score,8.803785793850561e-05,8.903133989471228e-05,0.011158789098566458
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,90,channel_inconsistency_max,channel_inconsistency,0.3607896096646072,0.35707825763367473,0.010393665678545874
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,120,smr_snr_min,smr_snr,0.00074794519789725,0.0007732679878546,0.03274775410638592
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,120,high_beta_max,high_beta_power,6.802023303407079e-13,6.877436059435787e-13,0.004468259027208484
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,120,broadband_max,broadband_power,1.3835929783853595e-11,1.4402097632310496e-11,0.036759139045398306
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,120,noise_floor_max,noise_floor_power,3.0803538245456655e-13,2.555250059505998e-13,0.04182344139311617
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,120,transient_max,transient_score,9.05570443274581e-05,8.903133989471228e-05,0.01713671182993975
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,120,channel_inconsistency_max,channel_inconsistency,0.3027187969236257,0.35707825763367473,0.1522340258690967
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,full,smr_snr_min,smr_snr,0.0007732679878546,0.0007732679878546,0.0
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,full,high_beta_max,high_beta_power,6.877436059435787e-13,6.877436059435787e-13,0.0
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,full,broadband_max,broadband_power,1.4402097632310496e-11,1.4402097632310496e-11,0.0
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,full,noise_floor_max,noise_floor_power,2.555250059505998e-13,2.555250059505998e-13,0.0
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,full,transient_max,transient_score,8.903133989471228e-05,8.903133989471228e-05,0.0
ds004444,sub-011,ses-16,C3_BLOCK_SUBSAMPLE_EMPIRICAL,full,channel_inconsistency_max,channel_inconsistency,0.35707825763367473,0.35707825763367473,0.0
