dataset,subject,session,method,checkpoint_s,threshold_name,feature,threshold_value,full_threshold_value,relative_error
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,15,smr_snr_min,smr_snr,0.00056216098215165,0.00042943226026805,0.3090795309408559
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,15,high_beta_max,high_beta_power,6.026204468998801e-13,5.014653469694512e-13,0.06737091877251765
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,15,broadband_max,broadband_power,5.9886423221622745e-12,6.248835583209999e-12,0.03589449064762799
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,15,noise_floor_max,noise_floor_power,4.062977650151472e-13,3.1752827993949224e-13,0.0673757720629205
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,15,transient_max,transient_score,6.371497087052718e-05,0.0001059507867551,0.39863616665313356
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,15,channel_inconsistency_max,channel_inconsistency,0.8006950418614631,0.6488548732647752,0.23401252707320455
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,30,smr_snr_min,smr_snr,0.0005709887246924249,0.00042943226026805,0.3296363063324111
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,30,high_beta_max,high_beta_power,6.22832528627969e-13,5.014653469694512e-13,0.0808324893434834
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,30,broadband_max,broadband_power,6.0525001695552815e-12,6.248835583209999e-12,0.027085096827065027
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,30,noise_floor_max,noise_floor_power,4.065951148446335e-13,3.1752827993949224e-13,0.06760145968876788
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,30,transient_max,transient_score,6.74384630045014e-05,0.0001059507867551,0.36349256637541894
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,30,channel_inconsistency_max,channel_inconsistency,0.8563672298345406,0.6488548732647752,0.3198132049549499
ds004444,sub-014,ses-01,C1_NONOVERLAP_EMPIRICAL,60,smr_snr_min,smr_snr,0.000671116945183975,0.00042943226026805,0.5628004849991144
