dataset,subject,session,method,checkpoint_s,threshold_name,feature,threshold_value,full_threshold_value,relative_error
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,15,smr_snr_min,smr_snr,0.0008140198917291714,0.0014177681796507672,0.425844151506116
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,15,high_beta_max,high_beta_power,1.794617862725829e-12,1.4203952315383322e-12,0.15461219982227942
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,15,broadband_max,broadband_power,1.7614719163494104e-11,2.566927470952482e-11,0.3020162952970771
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,15,noise_floor_max,noise_floor_power,7.101350181381238e-13,5.348172234157642e-13,0.11422714838460479
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,15,transient_max,transient_score,0.00019586238361612285,0.00011382948922038607,0.720664690994507
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,15,channel_inconsistency_max,channel_inconsistency,0.39588510600800025,0.44960577489838444,0.11948393879595103
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,30,smr_snr_min,smr_snr,0.00084068859997082,0.0014177681796507672,0.4070338067645607
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,30,high_beta_max,high_beta_power,1.1947721295374158e-12,1.4203952315383322e-12,0.09321746261147479
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,30,broadband_max,broadband_power,1.8777665829263894e-11,2.566927470952482e-11,0.25841006009059625
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,30,noise_floor_max,noise_floor_power,6.419758089489545e-13,5.348172234157642e-13,0.06981846691471631
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,30,transient_max,transient_score,0.00017834399124127805,0.00011382948922038607,0.5667643937962386
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,30,channel_inconsistency_max,channel_inconsistency,0.4419877864856138,0.44960577489838444,0.016943706771727778
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,60,smr_snr_min,smr_snr,0.0010306527765194375,0.0014177681796507672,0.2730456279203844
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,60,high_beta_max,high_beta_power,1.35361878540027e-12,1.4203952315383322e-12,0.027589066970529853
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,60,broadband_max,broadband_power,2.013997499607784e-11,2.566927470952482e-11,0.20732846219744464
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,60,noise_floor_max,noise_floor_power,5.859593434539474e-13,5.348172234157642e-13,0.033321309702510016
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,60,transient_max,transient_score,0.00014351442191190753,0.00011382948922038607,0.26078420130010477
ds004444,sub-020,ses-01,C4_LOSO_SHRINKAGE,60,channel_inconsistency_max,channel_inconsistency,0.36963880913899433,0.44960577489838444,0.17786018379609472
