dataset,subject,session,method,checkpoint_s,threshold_name,feature,threshold_value,full_threshold_value,relative_error
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,smr_snr_min,smr_snr,0.0016860814478722001,0.0015058650101757,0.11967635635268305
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,high_beta_max,high_beta_power,1.7884983910222657e-12,1.4592310104387045e-12,0.13389038247562718
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,broadband_max,broadband_power,1.66700607857848e-11,1.6853597607127648e-11,0.010280102945166401
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,noise_floor_max,noise_floor_power,5.974945133048252e-13,5.786591820685503e-13,0.01193122077913906
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,transient_max,transient_score,5.704644632639048e-05,6.967385265888457e-05,0.18123593958669873
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,15,channel_inconsistency_max,channel_inconsistency,0.8582436661188652,0.055921993895404296,14.347157823266546
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,smr_snr_min,smr_snr,0.0012615362984245,0.0015058650101757,0.1622514036370638
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,high_beta_max,high_beta_power,1.5565737063522946e-12,1.4592310104387045e-12,0.03958257500023351
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,broadband_max,broadband_power,1.5240220849801532e-11,1.6853597607127648e-11,0.09036703934012784
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,noise_floor_max,noise_floor_power,6.567842780348647e-13,5.786591820685503e-13,0.049488259944711725
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,transient_max,transient_score,5.708366024261845e-05,6.967385265888457e-05,0.18070182364113663
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,30,channel_inconsistency_max,channel_inconsistency,0.8027686657189479,0.055921993895404296,13.355150984192013
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,smr_snr_min,smr_snr,0.0013279521265438,0.0015058650101757,0.11814663486536219
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,high_beta_max,high_beta_power,1.448634299399082e-12,1.4592310104387045e-12,0.00430895308112273
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,broadband_max,broadband_power,1.5875351033403413e-11,1.6853597607127648e-11,0.0547926863397936
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,noise_floor_max,noise_floor_power,5.831107194929271e-13,5.786591820685503e-13,0.0028198217037219346
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,transient_max,transient_score,6.752225528343634e-05,6.967385265888457e-05,0.030880987091401833
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,60,channel_inconsistency_max,channel_inconsistency,0.7652698128342255,0.055921993895404296,12.684594548844068
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,smr_snr_min,smr_snr,0.001524814418766925,0.0015058650101757,0.012583736557123582
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,high_beta_max,high_beta_power,1.3699966483840272e-12,1.4592310104387045e-12,0.036285473660629654
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,broadband_max,broadband_power,1.694442000197676e-11,1.6853597607127648e-11,0.005087064066731937
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,noise_floor_max,noise_floor_power,5.729966606136618e-13,5.786591820685503e-13,0.003586918265327349
ds004444,sub-026,ses-01,C0_CURRENT_OVERLAP_EMPIRICAL,90,transient_max,transient_score,6.641700938429844e-05,6.967385265888457e-05,0.04674412428127303
