dataset,subject,session,method,checkpoint_s,threshold_name,feature,threshold_value,full_threshold_value,relative_error
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,smr_snr_min,smr_snr,0.0001934986024800301,0.0002974233009969998,0.34941680029501526
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,high_beta_max,high_beta_power,2.8212042294239984e-13,3.0923010392363404e-13,0.020706582364695972
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,broadband_max,broadband_power,3.511580335123507e-12,4.705544338974273e-12,0.20926382005216587
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,noise_floor_max,noise_floor_power,2.5858675267761343e-13,2.2820208032766314e-13,0.02473914743886787
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,transient_max,transient_score,3.794763099301554e-05,3.946311662203016e-05,0.03840258247028617
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,15,channel_inconsistency_max,channel_inconsistency,0.7770779875171311,0.6475058927507213,0.20010952211687852
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,smr_snr_min,smr_snr,0.00023770936873835063,0.0002974233009969998,0.20077086044607062
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,high_beta_max,high_beta_power,2.8596780716189043e-13,3.0923010392363404e-13,0.017767920774223563
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,broadband_max,broadband_power,3.737847805307555e-12,4.705544338974273e-12,0.16960634712036743
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,noise_floor_max,noise_floor_power,2.2353898332431762e-13,2.2820208032766314e-13,0.0037966854787458816
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,transient_max,transient_score,3.4408388892659225e-05,3.946311662203016e-05,0.1280873897947979
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,30,channel_inconsistency_max,channel_inconsistency,0.8057168076345945,0.6475058927507213,0.24433895761399244
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,60,smr_snr_min,smr_snr,0.00027852766114731765,0.0002974233009969998,0.06353113465828156
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,60,high_beta_max,high_beta_power,2.832909134334602e-13,3.0923010392363404e-13,0.019812552745645414
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,60,broadband_max,broadband_power,4.2171165209575115e-12,4.705544338974273e-12,0.08560582286256836
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,60,noise_floor_max,noise_floor_power,2.168191799004752e-13,2.2820208032766314e-13,0.00926793775186506
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,60,transient_max,transient_score,3.4420944754150473e-05,3.946311662203016e-05,0.127769222801214
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,60,channel_inconsistency_max,channel_inconsistency,0.7395332231746817,0.6475058927507213,0.14212585777848233
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,90,smr_snr_min,smr_snr,0.0002857744731501469,0.0002974233009969998,0.039165821133175294
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,90,high_beta_max,high_beta_power,2.9340989284887144e-13,3.0923010392363404e-13,0.012083598618265029
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,90,broadband_max,broadband_power,4.437574867651432e-12,4.705544338974273e-12,0.0469665040533215
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,90,noise_floor_max,noise_floor_power,2.2205272883052926e-13,2.2820208032766314e-13,0.005006791305461185
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,90,transient_max,transient_score,3.6637855202287745e-05,3.946311662203016e-05,0.07159245366273904
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,90,channel_inconsistency_max,channel_inconsistency,0.7052219218317755,0.6475058927507213,0.08913591324362612
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,full,smr_snr_min,smr_snr,0.0002974233009969998,0.0002974233009969998,0.0
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,full,high_beta_max,high_beta_power,3.0923010392363404e-13,3.0923010392363404e-13,0.0
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,full,broadband_max,broadband_power,4.705544338974273e-12,4.705544338974273e-12,0.0
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,full,noise_floor_max,noise_floor_power,2.2820208032766314e-13,2.2820208032766314e-13,0.0
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,full,transient_max,transient_score,3.946311662203016e-05,3.946311662203016e-05,0.0
ds004447,sub-002,ses-01,C2_NONOVERLAP_HARRELL_DAVIS,full,channel_inconsistency_max,channel_inconsistency,0.6475058927507213,0.6475058927507213,0.0
