n_windows,displayed_reward_windows,displayed_reward_time_percent,displayed_reward_windows_per_min,display_transitions_per_min,median_no_feedback_interval_s,p95_no_feedback_interval_s,longest_no_feedback_interval_s,gaps_gt_5s,gaps_gt_10s,gaps_gt_20s,gaps_gt_30s,time_to_first_displayed_feedback_s,transitions,dataset,subject,session,scheduler,monitor_passing_windows_per_min,availability_retained_relative_to_S0,delay_introduced_s,invalid_input_acceptance_count,deterministic_replay_agreement
118,8,6.779661016949152,8.135593220338983,14.237288135593221,9.0,16.399999999999995,18.0,4,2,0,0,2.5,14,ds004447,sub-001,ses-01,S0_instantaneous,8.135593220338983,1.0,0.0,0,1.0
118,14,11.864406779661017,14.237288135593221,14.237288135593221,0.5,13.899999999999991,17.0,4,2,0,0,2.0,14,ds004447,sub-001,ses-01,S1_fixed_1s_any,8.135593220338983,1.75,0.5,0,1.0
118,2,1.694915254237288,2.0338983050847457,2.0338983050847457,0.5,0.5,32.0,2,2,2,1,26.0,2,ds004447,sub-001,ses-01,S2_fixed_1s_all,8.135593220338983,0.25,0.5,0,1.0
118,4,3.389830508474576,4.067796610169491,2.0338983050847457,0.5,0.5,31.0,2,2,2,1,26.0,2,ds004447,sub-001,ses-01,S3_fixed_2s_prop50,8.135593220338983,0.5,1.0,0,1.0
118,0,0.0,0.0,0.0,,,59.0,1,1,1,1,,0,ds004447,sub-001,ses-01,S4_fixed_2s_prop75,8.135593220338983,0.0,1.0,0,1.0
118,15,12.711864406779661,15.254237288135592,14.237288135593221,0.5,13.449999999999998,17.5,4,2,0,0,2.5,14,ds004447,sub-001,ses-01,S5_reward_hold_1s,8.135593220338983,1.875,1.0,0,1.0
118,28,23.728813559322035,28.474576271186443,12.203389830508476,0.5,9.249999999999998,16.5,4,1,0,0,2.5,12,ds004447,sub-001,ses-01,S6_reward_hold_2s,8.135593220338983,3.5,2.0,0,1.0
120,7,5.833333333333333,7.0,12.0,5.0,10.625,27.5,4,2,1,0,0.5,12,ds004447,sub-001,ses-19,S0_instantaneous,7.0,1.0,0.0,0,1.0
120,14,11.666666666666666,14.0,11.0,0.5,8.699999999999996,27.0,4,1,1,0,0.0,11,ds004447,sub-001,ses-19,S1_fixed_1s_any,7.0,2.0,0.5,0,1.0
120,0,0.0,0.0,0.0,,,60.0,1,1,1,1,,0,ds004447,sub-001,ses-19,S2_fixed_1s_all,7.0,0.0,0.5,0,1.0
120,4,3.3333333333333335,4.0,1.0,0.5,0.5,58.0,1,1,1,1,0.0,1,ds004447,sub-001,ses-19,S3_fixed_2s_prop50,7.0,0.5714285714285714,1.0,0,1.0
120,0,0.0,0.0,0.0,,,60.0,1,1,1,1,,0,ds004447,sub-001,ses-19,S4_fixed_2s_prop75,7.0,0.0,1.0,0,1.0
120,13,10.833333333333334,13.0,12.0,0.5,9.074999999999998,27.0,4,2,1,0,0.5,12,ds004447,sub-001,ses-19,S5_reward_hold_1s,7.0,1.8571428571428572,1.0,0,1.0
120,24,20.0,24.0,10.0,0.5,6.349999999999998,26.0,3,1,1,0,0.5,10,ds004447,sub-001,ses-19,S6_reward_hold_2s,7.0,3.4285714285714284,2.0,0,1.0
118,3,2.5423728813559325,3.050847457627119,6.101694915254238,19.5,33.0,34.0,3,2,1,1,12.0,6,ds004447,sub-002,ses-01,S0_instantaneous,3.050847457627119,1.0,0.0,0,1.0
118,6,5.084745762711865,6.101694915254238,6.101694915254238,0.5,27.699999999999996,33.0,3,2,1,1,12.0,6,ds004447,sub-002,ses-01,S1_fixed_1s_any,3.050847457627119,2.0,0.5,0,1.0
118,0,0.0,0.0,0.0,,,59.0,1,1,1,1,,0,ds004447,sub-002,ses-01,S2_fixed_1s_all,3.050847457627119,0.0,0.5,0,1.0
118,0,0.0,0.0,0.0,,,59.0,1,1,1,1,,0,ds004447,sub-002,ses-01,S3_fixed_2s_prop50,3.050847457627119,0.0,1.0,0,1.0
118,0,0.0,0.0,0.0,,,59.0,1,1,1,1,,0,ds004447,sub-002,ses-01,S4_fixed_2s_prop75,3.050847457627119,0.0,1.0,0,1.0
118,6,5.084745762711865,6.101694915254238,6.101694915254238,0.5,27.999999999999993,33.5,3,2,1,1,12.0,6,ds004447,sub-002,ses-01,S5_reward_hold_1s,3.050847457627119,2.0,1.0,0,1.0
118,12,10.16949152542373,12.203389830508476,6.101694915254238,0.5,18.0,32.5,3,2,1,1,12.0,6,ds004447,sub-002,ses-01,S6_reward_hold_2s,3.050847457627119,4.0,2.0,0,1.0
120,7,5.833333333333333,7.0,12.0,5.0,10.625,27.5,4,2,1,0,0.5,12,ds004447,sub-002,ses-19,S0_instantaneous,7.0,1.0,0.0,0,1.0
120,14,11.666666666666666,14.0,11.0,0.5,8.699999999999996,27.0,4,1,1,0,0.0,11,ds004447,sub-002,ses-19,S1_fixed_1s_any,7.0,2.0,0.5,0,1.0
120,0,0.0,0.0,0.0,,,60.0,1,1,1,1,,0,ds004447,sub-002,ses-19,S2_fixed_1s_all,7.0,0.0,0.5,0,1.0
120,4,3.3333333333333335,4.0,1.0,0.5,0.5,58.0,1,1,1,1,0.0,1,ds004447,sub-002,ses-19,S3_fixed_2s_prop50,7.0,0.5714285714285714,1.0,0,1.0
120,0,0.0,0.0,0.0,,,60.0,1,1,1,1,,0,ds004447,sub-002,ses-19,S4_fixed_2s_prop75,7.0,0.0,1.0,0,1.0
120,13,10.833333333333334,13.0,12.0,0.5,9.074999999999998,27.0,4,2,1,0,0.5,12,ds004447,sub-002,ses-19,S5_reward_hold_1s,7.0,1.8571428571428572,1.0,0,1.0
120,24,20.0,24.0,10.0,0.5,6.349999999999998,26.0,3,1,1,0,0.5,10,ds004447,sub-002,ses-19,S6_reward_hold_2s,7.0,3.4285714285714284,2.0,0,1.0
120,20,16.666666666666664,20.0,32.0,2.0,7.5,7.0,4,0,0,0,0.5,32,ds004447,sub-003,ses-01,S0_instantaneous,20.0,1.0,0.0,0,1.0
120,38,31.666666666666664,38.0,25.0,0.5,6.5,6.0,3,0,0,0,0.0,25,ds004447,sub-003,ses-01,S1_fixed_1s_any,20.0,1.9,0.5,0,1.0
120,2,1.6666666666666667,2.0,2.0,0.5,0.5,33.0,2,2,2,1,26.0,2,ds004447,sub-003,ses-01,S2_fixed_1s_all,20.0,0.1,0.5,0,1.0
120,12,10.0,12.0,6.0,0.5,5.5,32.0,3,2,1,1,12.0,6,ds004447,sub-003,ses-01,S3_fixed_2s_prop50,20.0,0.6,1.0,0,1.0
120,4,3.3333333333333335,4.0,2.0,0.5,0.5,32.0,2,2,2,1,26.0,2,ds004447,sub-003,ses-01,S4_fixed_2s_prop75,20.0,0.2,1.0,0,1.0
120,36,30.0,36.0,28.0,0.5,6.649999999999999,6.5,3,0,0,0,0.5,28,ds004447,sub-003,ses-01,S5_reward_hold_1s,20.0,1.8,1.0,0,1.0
120,60,50.0,60.0,19.0,0.5,4.599999999999994,5.5,2,0,0,0,0.5,19,ds004447,sub-003,ses-01,S6_reward_hold_2s,20.0,3.0,2.0,0,1.0
120,14,11.666666666666666,14.0,28.0,2.5,10.399999999999995,12.0,3,1,0,0,8.5,28,ds004447,sub-003,ses-19,S0_instantaneous,14.0,1.0,0.0,0,1.0
120,28,23.333333333333332,28.0,26.0,0.5,6.9999999999999964,11.0,3,1,0,0,8.0,26,ds004447,sub-003,ses-19,S1_fixed_1s_any,14.0,2.0,0.5,0,1.0
120,0,0.0,0.0,0.0,,,60.0,1,1,1,1,,0,ds004447,sub-003,ses-19,S2_fixed_1s_all,14.0,0.0,0.5,0,1.0
120,0,0.0,0.0,0.0,,,60.0,1,1,1,1,,0,ds004447,sub-003,ses-19,S3_fixed_2s_prop50,14.0,0.0,1.0,0,1.0
120,0,0.0,0.0,0.0,,,60.0,1,1,1,1,,0,ds004447,sub-003,ses-19,S4_fixed_2s_prop75,14.0,0.0,1.0,0,1.0
120,28,23.333333333333332,28.0,26.0,0.5,6.9999999999999964,11.5,3,1,0,0,8.5,26,ds004447,sub-003,ses-19,S5_reward_hold_1s,14.0,2.0,1.0,0,1.0
120,52,43.333333333333336,52.0,18.0,0.5,2.5,10.5,3,1,0,0,8.5,18,ds004447,sub-003,ses-19,S6_reward_hold_2s,14.0,3.7142857142857144,2.0,0,1.0
