dataset,subject,scheduler,n_windows,displayed_reward_windows,displayed_reward_time_percent,displayed_reward_windows_per_min,display_transitions_per_min,median_no_feedback_interval_s,p95_no_feedback_interval_s,longest_no_feedback_interval_s,gaps_gt_5s,gaps_gt_10s,gaps_gt_20s,gaps_gt_30s,time_to_first_displayed_feedback_s,transitions,monitor_passing_windows_per_min,availability_retained_relative_to_S0,delay_introduced_s,invalid_input_acceptance_count,deterministic_replay_agreement
ds004444,sub-001,S0_instantaneous,240.0,17.5,7.291666666666666,8.75,16.0,4.625,13.974999999999994,24.5,7.0,3.5,0.5,0.0,16.0,32.0,8.75,1.0,0.0,0.0,1.0
ds004444,sub-001,S1_fixed_1s_any,240.0,34.0,14.166666666666668,17.0,14.0,0.5,11.299999999999997,24.0,7.0,3.0,0.5,0.0,15.5,28.0,8.75,1.9473684210526314,0.5,0.0,1.0
ds004444,sub-001,S2_fixed_1s_all,240.0,1.0,0.4166666666666667,0.5,0.5,0.5,0.5,112.5,1.5,1.5,1.0,1.0,105.0,1.0,8.75,0.05263157894736842,0.5,0.0,1.0
ds004444,sub-001,S3_fixed_2s_prop50,240.0,10.0,4.166666666666667,5.0,2.5,0.5,17.89999999999999,73.0,3.0,3.0,1.5,1.0,52.0,5.0,8.75,0.5460526315789473,1.0,0.0,1.0
ds004444,sub-001,S4_fixed_2s_prop75,240.0,0.0,0.0,0.0,0.0,,,120.0,1.0,1.0,1.0,1.0,,0.0,8.75,0.0,1.0,0.0,1.0
ds004444,sub-001,S5_reward_hold_1s,240.0,33.5,13.958333333333334,16.75,15.5,0.5,11.162499999999998,24.25,7.0,3.0,0.5,0.0,16.0,31.0,8.75,1.911184210526316,1.0,0.0,1.0
ds004444,sub-001,S6_reward_hold_2s,240.0,61.5,25.625,30.75,12.0,0.5,7.449999999999999,23.75,7.0,2.0,0.5,0.0,16.0,24.0,8.75,3.518092105263158,2.0,0.0,1.0
ds004444,sub-002,S0_instantaneous,240.0,10.0,4.166666666666666,5.0,9.5,8.875,21.612499999999997,26.25,7.5,5.0,0.5,0.5,18.5,19.0,5.0,1.0,0.0,0.0,1.0
ds004444,sub-002,S1_fixed_1s_any,240.0,20.0,8.333333333333332,10.0,9.5,0.5,18.299999999999997,26.0,7.0,5.0,0.5,0.5,18.0,19.0,5.0,2.0,0.5,0.0,1.0
ds004444,sub-002,S2_fixed_1s_all,240.0,0.0,0.0,0.0,0.0,,,120.0,1.0,1.0,1.0,1.0,,0.0,5.0,0.0,0.5,0.0,1.0
ds004444,sub-002,S3_fixed_2s_prop50,240.0,2.0,0.8333333333333334,1.0,0.5,0.5,0.5,94.0,1.5,1.5,1.5,1.5,50.0,1.0,5.0,0.2222222222222222,1.0,0.0,1.0
ds004444,sub-002,S4_fixed_2s_prop75,240.0,0.0,0.0,0.0,0.0,,,120.0,1.0,1.0,1.0,1.0,,0.0,5.0,0.0,1.0,0.0,1.0
ds004444,sub-002,S5_reward_hold_1s,240.0,19.5,8.125,9.75,9.5,0.5,18.375,26.0,7.0,5.0,0.5,0.5,18.5,19.0,5.0,1.9444444444444444,1.0,0.0,1.0
ds004444,sub-002,S6_reward_hold_2s,240.0,38.0,15.833333333333332,19.0,9.0,0.5,14.549999999999999,25.5,7.0,5.0,0.5,0.5,18.5,18.0,5.0,3.7777777777777777,2.0,0.0,1.0
ds004444,sub-003,S0_instantaneous,240.0,14.5,6.041666666666667,7.25,13.5,3.375,28.474999999999987,36.0,6.5,3.5,1.5,0.5,7.5,27.0,7.25,1.0,0.0,0.0,1.0
ds004444,sub-003,S1_fixed_1s_any,240.0,27.0,11.25,13.5,10.0,0.5,18.849999999999984,35.5,6.5,3.5,1.5,0.5,7.5,20.0,7.25,1.8605769230769231,0.5,0.0,1.0
ds004444,sub-003,S2_fixed_1s_all,240.0,2.0,0.8333333333333334,1.0,1.0,0.5,0.5,96.5,1.5,1.5,1.5,1.5,78.0,2.0,7.25,0.13942307692307693,0.5,0.0,1.0
ds004444,sub-003,S3_fixed_2s_prop50,240.0,8.0,3.3333333333333335,4.0,2.0,0.5,50.89999999999995,72.0,2.5,2.5,2.0,1.5,29.0,4.0,7.25,0.5576923076923077,1.0,0.0,1.0
ds004444,sub-003,S4_fixed_2s_prop75,240.0,0.0,0.0,0.0,0.0,,,120.0,1.0,1.0,1.0,1.0,,0.0,7.25,0.0,1.0,0.0,1.0
ds004444,sub-003,S5_reward_hold_1s,240.0,28.0,11.666666666666668,14.0,11.5,0.5,18.78749999999998,35.5,6.5,3.5,1.5,0.5,7.5,23.0,7.25,1.9302884615384617,1.0,0.0,1.0
ds004444,sub-003,S6_reward_hold_2s,240.0,49.0,20.416666666666664,24.5,8.5,0.5,11.399999999999993,34.5,5.5,3.5,1.5,0.5,7.5,17.0,7.25,3.3798076923076925,2.0,0.0,1.0
ds004444,sub-004,S0_instantaneous,240.0,18.0,7.5,9.0,18.0,4.5,16.999999999999986,25.5,7.0,3.5,0.5,0.5,7.5,36.0,9.0,1.0,0.0,0.0,1.0
ds004444,sub-004,S1_fixed_1s_any,240.0,36.0,15.0,18.0,15.5,0.5,9.399999999999999,25.5,5.5,3.5,0.5,0.5,7.0,31.0,9.0,2.0,0.5,0.0,1.0
ds004444,sub-004,S2_fixed_1s_all,240.0,0.0,0.0,0.0,0.0,,,120.0,1.0,1.0,1.0,1.0,,0.0,9.0,0.0,0.5,0.0,1.0
ds004444,sub-004,S3_fixed_2s_prop50,240.0,2.0,0.8333333333333334,1.0,0.5,0.5,0.5,99.0,1.5,1.5,1.5,1.5,78.0,1.0,9.0,0.14285714285714285,1.0,0.0,1.0
ds004444,sub-004,S4_fixed_2s_prop75,240.0,0.0,0.0,0.0,0.0,,,120.0,1.0,1.0,1.0,1.0,,0.0,9.0,0.0,1.0,0.0,1.0
ds004444,sub-004,S5_reward_hold_1s,240.0,36.0,15.0,18.0,17.0,0.5,9.599999999999998,25.0,6.5,3.5,0.5,0.5,7.5,34.0,9.0,2.0,1.0,0.0,1.0
ds004444,sub-004,S6_reward_hold_2s,240.0,67.5,28.125,33.75,13.0,0.5,6.862500000000001,24.0,5.5,3.0,0.5,0.5,7.5,26.0,9.0,3.7435064935064934,2.0,0.0,1.0
ds004444,sub-005,S0_instantaneous,240.0,15.0,6.25,7.5,14.5,4.0,19.849999999999994,25.25,6.0,4.0,1.5,0.0,5.0,29.0,7.5,1.0,0.0,0.0,1.0
ds004444,sub-005,S1_fixed_1s_any,240.0,29.0,12.083333333333332,14.5,14.0,0.5,16.249999999999996,25.0,6.0,3.0,1.5,0.0,4.5,28.0,7.5,1.9444444444444444,0.5,0.0,1.0
